candidate_num,county,election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,vote
1,Adams,pa.uscongress5.1812,1812-10,1812,General,"Pennsylvania 1812 U.S. House of Representatives, District 5",U.S. House of Representatives,ON125,Robert Whitehill,WR0153,Republican,A03,531
2,Adams,pa.uscongress5.1812,1812-10,1812,General,"Pennsylvania 1812 U.S. House of Representatives, District 5",U.S. House of Representatives,ON125,William Crawford,CW0246,Republican,A03,482
3,Adams,pa.uscongress5.1812,1812-10,1812,General,"Pennsylvania 1812 U.S. House of Representatives, District 5",U.S. House of Representatives,ON125,Edward Crawford,CE0142,Federalist,A01,1560
4,Adams,pa.uscongress5.1812,1812-10,1812,General,"Pennsylvania 1812 U.S. House of Representatives, District 5",U.S. House of Representatives,ON125,James Duncan,DJ0409,Federalist,A01,1531
1,Cumberland,pa.uscongress5.1812,1812-10,1812,General,"Pennsylvania 1812 U.S. House of Representatives, District 5",U.S. House of Representatives,ON125,Robert Whitehill,WR0153,Republican,A03,2553
2,Cumberland,pa.uscongress5.1812,1812-10,1812,General,"Pennsylvania 1812 U.S. House of Representatives, District 5",U.S. House of Representatives,ON125,William Crawford,CW0246,Republican,A03,2532
3,Cumberland,pa.uscongress5.1812,1812-10,1812,General,"Pennsylvania 1812 U.S. House of Representatives, District 5",U.S. House of Representatives,ON125,Edward Crawford,CE0142,Federalist,A01,1099
4,Cumberland,pa.uscongress5.1812,1812-10,1812,General,"Pennsylvania 1812 U.S. House of Representatives, District 5",U.S. House of Representatives,ON125,James Duncan,DJ0409,Federalist,A01,1110
1,Franklin,pa.uscongress5.1812,1812-10,1812,General,"Pennsylvania 1812 U.S. House of Representatives, District 5",U.S. House of Representatives,ON125,Robert Whitehill,WR0153,Republican,A03,1780
2,Franklin,pa.uscongress5.1812,1812-10,1812,General,"Pennsylvania 1812 U.S. House of Representatives, District 5",U.S. House of Representatives,ON125,William Crawford,CW0246,Republican,A03,1753
3,Franklin,pa.uscongress5.1812,1812-10,1812,General,"Pennsylvania 1812 U.S. House of Representatives, District 5",U.S. House of Representatives,ON125,Edward Crawford,CE0142,Federalist,A01,1395
4,Franklin,pa.uscongress5.1812,1812-10,1812,General,"Pennsylvania 1812 U.S. House of Representatives, District 5",U.S. House of Representatives,ON125,James Duncan,DJ0409,Federalist,A01,1371
