candidate_num,county,election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,vote
1,Bristol,ri.uscongress.1814,1814,1814,General,Rhode Island 1814 U.S. House of Representatives,U.S. House of Representatives,ON125,John Boss,BJ0012,Federalist,A01,258
2,Bristol,ri.uscongress.1814,1814,1814,General,Rhode Island 1814 U.S. House of Representatives,U.S. House of Representatives,ON125,James Mason,MJ1283,Federalist,A01,204
3,Bristol,ri.uscongress.1814,1814,1814,General,Rhode Island 1814 U.S. House of Representatives,U.S. House of Representatives,ON125,Nehemiah Knight,KN0016,Republican,A03,187
4,Bristol,ri.uscongress.1814,1814,1814,General,Rhode Island 1814 U.S. House of Representatives,U.S. House of Representatives,ON125,"John DeWolf, Jr.",DJ0019,Republican,A03,207
1,Kent,ri.uscongress.1814,1814,1814,General,Rhode Island 1814 U.S. House of Representatives,U.S. House of Representatives,ON125,John Boss,BJ0012,Federalist,A01,607
2,Kent,ri.uscongress.1814,1814,1814,General,Rhode Island 1814 U.S. House of Representatives,U.S. House of Representatives,ON125,James Mason,MJ1283,Federalist,A01,602
3,Kent,ri.uscongress.1814,1814,1814,General,Rhode Island 1814 U.S. House of Representatives,U.S. House of Representatives,ON125,Nehemiah Knight,KN0016,Republican,A03,357
4,Kent,ri.uscongress.1814,1814,1814,General,Rhode Island 1814 U.S. House of Representatives,U.S. House of Representatives,ON125,"John DeWolf, Jr.",DJ0019,Republican,A03,354
1,Newport,ri.uscongress.1814,1814,1814,General,Rhode Island 1814 U.S. House of Representatives,U.S. House of Representatives,ON125,John Boss,BJ0012,Federalist,A01,735
2,Newport,ri.uscongress.1814,1814,1814,General,Rhode Island 1814 U.S. House of Representatives,U.S. House of Representatives,ON125,James Mason,MJ1283,Federalist,A01,724
3,Newport,ri.uscongress.1814,1814,1814,General,Rhode Island 1814 U.S. House of Representatives,U.S. House of Representatives,ON125,Nehemiah Knight,KN0016,Republican,A03,461
4,Newport,ri.uscongress.1814,1814,1814,General,Rhode Island 1814 U.S. House of Representatives,U.S. House of Representatives,ON125,"John DeWolf, Jr.",DJ0019,Republican,A03,455
1,Providence,ri.uscongress.1814,1814,1814,General,Rhode Island 1814 U.S. House of Representatives,U.S. House of Representatives,ON125,John Boss,BJ0012,Federalist,A01,1451
2,Providence,ri.uscongress.1814,1814,1814,General,Rhode Island 1814 U.S. House of Representatives,U.S. House of Representatives,ON125,James Mason,MJ1283,Federalist,A01,1425
3,Providence,ri.uscongress.1814,1814,1814,General,Rhode Island 1814 U.S. House of Representatives,U.S. House of Representatives,ON125,Nehemiah Knight,KN0016,Republican,A03,1504
4,Providence,ri.uscongress.1814,1814,1814,General,Rhode Island 1814 U.S. House of Representatives,U.S. House of Representatives,ON125,"John DeWolf, Jr.",DJ0019,Republican,A03,1491
1,Washington,ri.uscongress.1814,1814,1814,General,Rhode Island 1814 U.S. House of Representatives,U.S. House of Representatives,ON125,John Boss,BJ0012,Federalist,A01,720
2,Washington,ri.uscongress.1814,1814,1814,General,Rhode Island 1814 U.S. House of Representatives,U.S. House of Representatives,ON125,James Mason,MJ1283,Federalist,A01,717
3,Washington,ri.uscongress.1814,1814,1814,General,Rhode Island 1814 U.S. House of Representatives,U.S. House of Representatives,ON125,Nehemiah Knight,KN0016,Republican,A03,444
4,Washington,ri.uscongress.1814,1814,1814,General,Rhode Island 1814 U.S. House of Representatives,U.S. House of Representatives,ON125,"John DeWolf, Jr.",DJ0019,Republican,A03,445
