election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,candidate_num,district,vote
sc.uscongress.orangeburgh.1806,1806,1806,General,"South Carolina 1806 U.S. House of Representatives, District 4",U.S. House of Representatives,ON125,John Taylor,TJ0451,Republican,A03,1,Four,957
sc.uscongress.orangeburgh.1806,1806,1806,General,"South Carolina 1806 U.S. House of Representatives, District 4",U.S. House of Representatives,ON125,John Taylor,TJ0451,Republican,A03,1,Colleton,362
sc.uscongress.orangeburgh.1806,1806,1806,General,"South Carolina 1806 U.S. House of Representatives, District 4",U.S. House of Representatives,ON125,John Taylor,TJ0451,Republican,A03,1,Lexington,229
sc.uscongress.orangeburgh.1806,1806,1806,General,"South Carolina 1806 U.S. House of Representatives, District 4",U.S. House of Representatives,ON125,John Taylor,TJ0451,Republican,A03,1,Orangeburgh,82
sc.uscongress.orangeburgh.1806,1806,1806,General,"South Carolina 1806 U.S. House of Representatives, District 4",U.S. House of Representatives,ON125,John Taylor,TJ0451,Republican,A03,1,Richland,287
sc.uscongress.orangeburgh.1806,1806,1806,General,"South Carolina 1806 U.S. House of Representatives, District 4",U.S. House of Representatives,ON125,Henry Dana Ward,WH0105,Federalist,A01,2,Four,520
sc.uscongress.orangeburgh.1806,1806,1806,General,"South Carolina 1806 U.S. House of Representatives, District 4",U.S. House of Representatives,ON125,Henry Dana Ward,WH0105,Federalist,A01,2,Colleton,169
sc.uscongress.orangeburgh.1806,1806,1806,General,"South Carolina 1806 U.S. House of Representatives, District 4",U.S. House of Representatives,ON125,Henry Dana Ward,WH0105,Federalist,A01,2,Lexington,16
sc.uscongress.orangeburgh.1806,1806,1806,General,"South Carolina 1806 U.S. House of Representatives, District 4",U.S. House of Representatives,ON125,Henry Dana Ward,WH0105,Federalist,A01,2,Orangeburgh,314
sc.uscongress.orangeburgh.1806,1806,1806,General,"South Carolina 1806 U.S. House of Representatives, District 4",U.S. House of Representatives,ON125,Henry Dana Ward,WH0105,Federalist,A01,2,Richland,11
sc.uscongress.orangeburgh.1806,1806,1806,General,"South Carolina 1806 U.S. House of Representatives, District 4",U.S. House of Representatives,ON125,Miles B. Pinckney,PM0021,Republican,A03,3,Four,247
sc.uscongress.orangeburgh.1806,1806,1806,General,"South Carolina 1806 U.S. House of Representatives, District 4",U.S. House of Representatives,ON125,Miles B. Pinckney,PM0021,Republican,A03,3,Colleton,231
sc.uscongress.orangeburgh.1806,1806,1806,General,"South Carolina 1806 U.S. House of Representatives, District 4",U.S. House of Representatives,ON125,Miles B. Pinckney,PM0021,Republican,A03,3,Lexington,9
sc.uscongress.orangeburgh.1806,1806,1806,General,"South Carolina 1806 U.S. House of Representatives, District 4",U.S. House of Representatives,ON125,Miles B. Pinckney,PM0021,Republican,A03,3,Orangeburgh,NA
sc.uscongress.orangeburgh.1806,1806,1806,General,"South Carolina 1806 U.S. House of Representatives, District 4",U.S. House of Representatives,ON125,Miles B. Pinckney,PM0021,Republican,A03,3,Richland,6
sc.uscongress.orangeburgh.1806,1806,1806,General,"South Carolina 1806 U.S. House of Representatives, District 4",U.S. House of Representatives,ON125,scattering,null,null,null,4,Four,8
sc.uscongress.orangeburgh.1806,1806,1806,General,"South Carolina 1806 U.S. House of Representatives, District 4",U.S. House of Representatives,ON125,scattering,null,null,null,4,Colleton,8
