candidate_num,county,election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,vote
1,Carter,tn.congress.1.1815,1815-08,1815,General,"Tennessee 1815 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,Samuel Powell,PS0136,null,null,445
2,Carter,tn.congress.1.1815,1815-08,1815,General,"Tennessee 1815 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,John Rhea,RJ0595,null,null,89
1,Greene,tn.congress.1.1815,1815-08,1815,General,"Tennessee 1815 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,Samuel Powell,PS0136,null,null,553
2,Greene,tn.congress.1.1815,1815-08,1815,General,"Tennessee 1815 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,John Rhea,RJ0595,null,null,644
1,Hawkins,tn.congress.1.1815,1815-08,1815,General,"Tennessee 1815 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,Samuel Powell,PS0136,null,null,717
2,Hawkins,tn.congress.1.1815,1815-08,1815,General,"Tennessee 1815 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,John Rhea,RJ0595,null,null,192
1,Sullivan,tn.congress.1.1815,1815-08,1815,General,"Tennessee 1815 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,Samuel Powell,PS0136,null,null,546
2,Sullivan,tn.congress.1.1815,1815-08,1815,General,"Tennessee 1815 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,John Rhea,RJ0595,null,null,240
1,Washington,tn.congress.1.1815,1815-08,1815,General,"Tennessee 1815 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,Samuel Powell,PS0136,null,null,441
2,Washington,tn.congress.1.1815,1815-08,1815,General,"Tennessee 1815 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,John Rhea,RJ0595,null,null,717
