candidate_num,county,election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,vote
1,Blount,tn.congress.2nd.1825,1825,1825,General,"Tennessee 1825 U.S. House of Representatives, District 2",U.S. House of Representatives,ON125,John Cocke,CJ1064,null,null,1005
2,Blount,tn.congress.2nd.1825,1825,1825,General,"Tennessee 1825 U.S. House of Representatives, District 2",U.S. House of Representatives,ON125,Thomas D. Arnold,AT0047,null,null,302
1,Claiborne,tn.congress.2nd.1825,1825,1825,General,"Tennessee 1825 U.S. House of Representatives, District 2",U.S. House of Representatives,ON125,John Cocke,CJ1064,null,null,516
2,Claiborne,tn.congress.2nd.1825,1825,1825,General,"Tennessee 1825 U.S. House of Representatives, District 2",U.S. House of Representatives,ON125,Thomas D. Arnold,AT0047,null,null,367
1,Cocke,tn.congress.2nd.1825,1825,1825,General,"Tennessee 1825 U.S. House of Representatives, District 2",U.S. House of Representatives,ON125,John Cocke,CJ1064,null,null,335
2,Cocke,tn.congress.2nd.1825,1825,1825,General,"Tennessee 1825 U.S. House of Representatives, District 2",U.S. House of Representatives,ON125,Thomas D. Arnold,AT0047,null,null,470
1,Grainger,tn.congress.2nd.1825,1825,1825,General,"Tennessee 1825 U.S. House of Representatives, District 2",U.S. House of Representatives,ON125,John Cocke,CJ1064,null,null,883
2,Grainger,tn.congress.2nd.1825,1825,1825,General,"Tennessee 1825 U.S. House of Representatives, District 2",U.S. House of Representatives,ON125,Thomas D. Arnold,AT0047,null,null,299
1,Jefferson,tn.congress.2nd.1825,1825,1825,General,"Tennessee 1825 U.S. House of Representatives, District 2",U.S. House of Representatives,ON125,John Cocke,CJ1064,null,null,928
2,Jefferson,tn.congress.2nd.1825,1825,1825,General,"Tennessee 1825 U.S. House of Representatives, District 2",U.S. House of Representatives,ON125,Thomas D. Arnold,AT0047,null,null,453
1,Knox,tn.congress.2nd.1825,1825,1825,General,"Tennessee 1825 U.S. House of Representatives, District 2",U.S. House of Representatives,ON125,John Cocke,CJ1064,null,null,691
2,Knox,tn.congress.2nd.1825,1825,1825,General,"Tennessee 1825 U.S. House of Representatives, District 2",U.S. House of Representatives,ON125,Thomas D. Arnold,AT0047,null,null,1101
1,Sevier,tn.congress.2nd.1825,1825,1825,General,"Tennessee 1825 U.S. House of Representatives, District 2",U.S. House of Representatives,ON125,John Cocke,CJ1064,null,null,412
2,Sevier,tn.congress.2nd.1825,1825,1825,General,"Tennessee 1825 U.S. House of Representatives, District 2",U.S. House of Representatives,ON125,Thomas D. Arnold,AT0047,null,null,351
