candidate_num,county,election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,vote
1,Anderson,tn.congress.3rd.1823,1823,1823,General,"Tennessee 1823 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,James Standifer,SJ0195,null,null,217
2,Anderson,tn.congress.3rd.1823,1823,1823,General,"Tennessee 1823 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,James C. Mitchell,MJ1383,null,null,277
3,Anderson,tn.congress.3rd.1823,1823,1823,General,"Tennessee 1823 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,William Dunlap,DW0015,null,null,176
1,Bledsoe,tn.congress.3rd.1823,1823,1823,General,"Tennessee 1823 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,James Standifer,SJ0195,null,null,463
2,Bledsoe,tn.congress.3rd.1823,1823,1823,General,"Tennessee 1823 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,James C. Mitchell,MJ1383,null,null,172
3,Bledsoe,tn.congress.3rd.1823,1823,1823,General,"Tennessee 1823 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,William Dunlap,DW0015,null,null,148
1,Campbell,tn.congress.3rd.1823,1823,1823,General,"Tennessee 1823 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,James Standifer,SJ0195,null,null,320
2,Campbell,tn.congress.3rd.1823,1823,1823,General,"Tennessee 1823 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,James C. Mitchell,MJ1383,null,null,104
3,Campbell,tn.congress.3rd.1823,1823,1823,General,"Tennessee 1823 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,William Dunlap,DW0015,null,null,58
1,Hamilton,tn.congress.3rd.1823,1823,1823,General,"Tennessee 1823 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,James Standifer,SJ0195,null,null,82
2,Hamilton,tn.congress.3rd.1823,1823,1823,General,"Tennessee 1823 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,James C. Mitchell,MJ1383,null,null,45
3,Hamilton,tn.congress.3rd.1823,1823,1823,General,"Tennessee 1823 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,William Dunlap,DW0015,null,null,5
1,Marion,tn.congress.3rd.1823,1823,1823,General,"Tennessee 1823 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,James Standifer,SJ0195,null,null,240
2,Marion,tn.congress.3rd.1823,1823,1823,General,"Tennessee 1823 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,James C. Mitchell,MJ1383,null,null,124
3,Marion,tn.congress.3rd.1823,1823,1823,General,"Tennessee 1823 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,William Dunlap,DW0015,null,null,68
1,McMinn,tn.congress.3rd.1823,1823,1823,General,"Tennessee 1823 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,James Standifer,SJ0195,null,null,394
2,McMinn,tn.congress.3rd.1823,1823,1823,General,"Tennessee 1823 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,James C. Mitchell,MJ1383,null,null,633
3,McMinn,tn.congress.3rd.1823,1823,1823,General,"Tennessee 1823 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,William Dunlap,DW0015,null,null,85
1,Monroe,tn.congress.3rd.1823,1823,1823,General,"Tennessee 1823 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,James Standifer,SJ0195,null,null,336
2,Monroe,tn.congress.3rd.1823,1823,1823,General,"Tennessee 1823 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,James C. Mitchell,MJ1383,null,null,359
3,Monroe,tn.congress.3rd.1823,1823,1823,General,"Tennessee 1823 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,William Dunlap,DW0015,null,null,223
1,Morgan,tn.congress.3rd.1823,1823,1823,General,"Tennessee 1823 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,James Standifer,SJ0195,null,null,166
2,Morgan,tn.congress.3rd.1823,1823,1823,General,"Tennessee 1823 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,James C. Mitchell,MJ1383,null,null,10
3,Morgan,tn.congress.3rd.1823,1823,1823,General,"Tennessee 1823 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,William Dunlap,DW0015,null,null,118
1,Rhea,tn.congress.3rd.1823,1823,1823,General,"Tennessee 1823 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,James Standifer,SJ0195,null,null,277
2,Rhea,tn.congress.3rd.1823,1823,1823,General,"Tennessee 1823 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,James C. Mitchell,MJ1383,null,null,444
3,Rhea,tn.congress.3rd.1823,1823,1823,General,"Tennessee 1823 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,William Dunlap,DW0015,null,null,92
1,Roane,tn.congress.3rd.1823,1823,1823,General,"Tennessee 1823 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,James Standifer,SJ0195,null,null,461
2,Roane,tn.congress.3rd.1823,1823,1823,General,"Tennessee 1823 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,James C. Mitchell,MJ1383,null,null,434
3,Roane,tn.congress.3rd.1823,1823,1823,General,"Tennessee 1823 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,William Dunlap,DW0015,null,null,425
