candidate_num,county,election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,vote
1,Bedford,tn.congress.6th.1823,1823,1823,General,"Tennessee 1823 U.S. House of Representatives, District 6",U.S. House of Representatives,ON125,James T. Sandford,SJ1542,null,null,1118
2,Bedford,tn.congress.6th.1823,1823,1823,General,"Tennessee 1823 U.S. House of Representatives, District 6",U.S. House of Representatives,ON125,Andrew Erwin,EA0049,null,null,1261
3,Bedford,tn.congress.6th.1823,1823,1823,General,"Tennessee 1823 U.S. House of Representatives, District 6",U.S. House of Representatives,ON125,Alfred M. Harris,HA0185,null,null,352
1,Giles,tn.congress.6th.1823,1823,1823,General,"Tennessee 1823 U.S. House of Representatives, District 6",U.S. House of Representatives,ON125,James T. Sandford,SJ1542,null,null,521
2,Giles,tn.congress.6th.1823,1823,1823,General,"Tennessee 1823 U.S. House of Representatives, District 6",U.S. House of Representatives,ON125,Andrew Erwin,EA0049,null,null,203
3,Giles,tn.congress.6th.1823,1823,1823,General,"Tennessee 1823 U.S. House of Representatives, District 6",U.S. House of Representatives,ON125,Alfred M. Harris,HA0185,null,null,837
1,Lincoln,tn.congress.6th.1823,1823,1823,General,"Tennessee 1823 U.S. House of Representatives, District 6",U.S. House of Representatives,ON125,James T. Sandford,SJ1542,null,null,922
2,Lincoln,tn.congress.6th.1823,1823,1823,General,"Tennessee 1823 U.S. House of Representatives, District 6",U.S. House of Representatives,ON125,Andrew Erwin,EA0049,null,null,717
3,Lincoln,tn.congress.6th.1823,1823,1823,General,"Tennessee 1823 U.S. House of Representatives, District 6",U.S. House of Representatives,ON125,Alfred M. Harris,HA0185,null,null,445
1,Maury,tn.congress.6th.1823,1823,1823,General,"Tennessee 1823 U.S. House of Representatives, District 6",U.S. House of Representatives,ON125,James T. Sandford,SJ1542,null,null,1407
2,Maury,tn.congress.6th.1823,1823,1823,General,"Tennessee 1823 U.S. House of Representatives, District 6",U.S. House of Representatives,ON125,Andrew Erwin,EA0049,null,null,612
3,Maury,tn.congress.6th.1823,1823,1823,General,"Tennessee 1823 U.S. House of Representatives, District 6",U.S. House of Representatives,ON125,Alfred M. Harris,HA0185,null,null,629
