candidate_num,county,election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,vote
1,Anderson,tn.congress.hamilton.1807,1807,1807,General,"Tennessee 1807 U.S. House of Representatives, Hamilton District",U.S. House of Representatives,ON125,George W. Campbell,CG0108,Republican,A03,203
2,Anderson,tn.congress.hamilton.1807,1807,1807,General,"Tennessee 1807 U.S. House of Representatives, Hamilton District",U.S. House of Representatives,ON125,Pleasant M. Miller,MP0110,null,null,273
1,Blount,tn.congress.hamilton.1807,1807,1807,General,"Tennessee 1807 U.S. House of Representatives, Hamilton District",U.S. House of Representatives,ON125,George W. Campbell,CG0108,Republican,A03,869
2,Blount,tn.congress.hamilton.1807,1807,1807,General,"Tennessee 1807 U.S. House of Representatives, Hamilton District",U.S. House of Representatives,ON125,Pleasant M. Miller,MP0110,null,null,62
1,Claiborne,tn.congress.hamilton.1807,1807,1807,General,"Tennessee 1807 U.S. House of Representatives, Hamilton District",U.S. House of Representatives,ON125,George W. Campbell,CG0108,Republican,A03,415
2,Claiborne,tn.congress.hamilton.1807,1807,1807,General,"Tennessee 1807 U.S. House of Representatives, Hamilton District",U.S. House of Representatives,ON125,Pleasant M. Miller,MP0110,null,null,229
1,Cocke,tn.congress.hamilton.1807,1807,1807,General,"Tennessee 1807 U.S. House of Representatives, Hamilton District",U.S. House of Representatives,ON125,George W. Campbell,CG0108,Republican,A03,464
2,Cocke,tn.congress.hamilton.1807,1807,1807,General,"Tennessee 1807 U.S. House of Representatives, Hamilton District",U.S. House of Representatives,ON125,Pleasant M. Miller,MP0110,null,null,233
1,Grainger,tn.congress.hamilton.1807,1807,1807,General,"Tennessee 1807 U.S. House of Representatives, Hamilton District",U.S. House of Representatives,ON125,George W. Campbell,CG0108,Republican,A03,453
2,Grainger,tn.congress.hamilton.1807,1807,1807,General,"Tennessee 1807 U.S. House of Representatives, Hamilton District",U.S. House of Representatives,ON125,Pleasant M. Miller,MP0110,null,null,472
1,Jefferson,tn.congress.hamilton.1807,1807,1807,General,"Tennessee 1807 U.S. House of Representatives, Hamilton District",U.S. House of Representatives,ON125,George W. Campbell,CG0108,Republican,A03,810
2,Jefferson,tn.congress.hamilton.1807,1807,1807,General,"Tennessee 1807 U.S. House of Representatives, Hamilton District",U.S. House of Representatives,ON125,Pleasant M. Miller,MP0110,null,null,220
1,Knox,tn.congress.hamilton.1807,1807,1807,General,"Tennessee 1807 U.S. House of Representatives, Hamilton District",U.S. House of Representatives,ON125,George W. Campbell,CG0108,Republican,A03,851
2,Knox,tn.congress.hamilton.1807,1807,1807,General,"Tennessee 1807 U.S. House of Representatives, Hamilton District",U.S. House of Representatives,ON125,Pleasant M. Miller,MP0110,null,null,541
1,Roane,tn.congress.hamilton.1807,1807,1807,General,"Tennessee 1807 U.S. House of Representatives, Hamilton District",U.S. House of Representatives,ON125,George W. Campbell,CG0108,Republican,A03,482
2,Roane,tn.congress.hamilton.1807,1807,1807,General,"Tennessee 1807 U.S. House of Representatives, Hamilton District",U.S. House of Representatives,ON125,Pleasant M. Miller,MP0110,null,null,169
1,Sevier,tn.congress.hamilton.1807,1807,1807,General,"Tennessee 1807 U.S. House of Representatives, Hamilton District",U.S. House of Representatives,ON125,George W. Campbell,CG0108,Republican,A03,596
2,Sevier,tn.congress.hamilton.1807,1807,1807,General,"Tennessee 1807 U.S. House of Representatives, Hamilton District",U.S. House of Representatives,ON125,Pleasant M. Miller,MP0110,null,null,82
