candidate_num,county,election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,vote
1,Brooke,va.congress.18.1823,1823,1823,General,"Virginia 1823 U.S. House of Representatives, District 18",U.S. House of Representatives,ON125,Joseph Johnson,JJ0298,Republican,A03,13
2,Brooke,va.congress.18.1823,1823,1823,General,"Virginia 1823 U.S. House of Representatives, District 18",U.S. House of Representatives,ON125,Phillip Doddridge,DP0050,Federalist,A01,369
3,Brooke,va.congress.18.1823,1823,1823,General,"Virginia 1823 U.S. House of Representatives, District 18",U.S. House of Representatives,ON125,Edwin S. Duncan,DE0083,Republican,A03,NA
4,Brooke,va.congress.18.1823,1823,1823,General,"Virginia 1823 U.S. House of Representatives, District 18",U.S. House of Representatives,ON125,Jeremiah Browning,BJ1399,Republican,A03,NA
1,Harrison,va.congress.18.1823,1823,1823,General,"Virginia 1823 U.S. House of Representatives, District 18",U.S. House of Representatives,ON125,Joseph Johnson,JJ0298,Republican,A03,569
2,Harrison,va.congress.18.1823,1823,1823,General,"Virginia 1823 U.S. House of Representatives, District 18",U.S. House of Representatives,ON125,Phillip Doddridge,DP0050,Federalist,A01,166
3,Harrison,va.congress.18.1823,1823,1823,General,"Virginia 1823 U.S. House of Representatives, District 18",U.S. House of Representatives,ON125,Edwin S. Duncan,DE0083,Republican,A03,NA
4,Harrison,va.congress.18.1823,1823,1823,General,"Virginia 1823 U.S. House of Representatives, District 18",U.S. House of Representatives,ON125,Jeremiah Browning,BJ1399,Republican,A03,NA
1,Monongalia,va.congress.18.1823,1823,1823,General,"Virginia 1823 U.S. House of Representatives, District 18",U.S. House of Representatives,ON125,Joseph Johnson,JJ0298,Republican,A03,580
2,Monongalia,va.congress.18.1823,1823,1823,General,"Virginia 1823 U.S. House of Representatives, District 18",U.S. House of Representatives,ON125,Phillip Doddridge,DP0050,Federalist,A01,257
3,Monongalia,va.congress.18.1823,1823,1823,General,"Virginia 1823 U.S. House of Representatives, District 18",U.S. House of Representatives,ON125,Edwin S. Duncan,DE0083,Republican,A03,NA
4,Monongalia,va.congress.18.1823,1823,1823,General,"Virginia 1823 U.S. House of Representatives, District 18",U.S. House of Representatives,ON125,Jeremiah Browning,BJ1399,Republican,A03,NA
1,Ohio,va.congress.18.1823,1823,1823,General,"Virginia 1823 U.S. House of Representatives, District 18",U.S. House of Representatives,ON125,Joseph Johnson,JJ0298,Republican,A03,202
2,Ohio,va.congress.18.1823,1823,1823,General,"Virginia 1823 U.S. House of Representatives, District 18",U.S. House of Representatives,ON125,Phillip Doddridge,DP0050,Federalist,A01,173
3,Ohio,va.congress.18.1823,1823,1823,General,"Virginia 1823 U.S. House of Representatives, District 18",U.S. House of Representatives,ON125,Edwin S. Duncan,DE0083,Republican,A03,65
4,Ohio,va.congress.18.1823,1823,1823,General,"Virginia 1823 U.S. House of Representatives, District 18",U.S. House of Representatives,ON125,Jeremiah Browning,BJ1399,Republican,A03,30
1,Preston,va.congress.18.1823,1823,1823,General,"Virginia 1823 U.S. House of Representatives, District 18",U.S. House of Representatives,ON125,Joseph Johnson,JJ0298,Republican,A03,218
2,Preston,va.congress.18.1823,1823,1823,General,"Virginia 1823 U.S. House of Representatives, District 18",U.S. House of Representatives,ON125,Phillip Doddridge,DP0050,Federalist,A01,4
3,Preston,va.congress.18.1823,1823,1823,General,"Virginia 1823 U.S. House of Representatives, District 18",U.S. House of Representatives,ON125,Edwin S. Duncan,DE0083,Republican,A03,5
4,Preston,va.congress.18.1823,1823,1823,General,"Virginia 1823 U.S. House of Representatives, District 18",U.S. House of Representatives,ON125,Jeremiah Browning,BJ1399,Republican,A03,NA
1,Tyler,va.congress.18.1823,1823,1823,General,"Virginia 1823 U.S. House of Representatives, District 18",U.S. House of Representatives,ON125,Joseph Johnson,JJ0298,Republican,A03,97
2,Tyler,va.congress.18.1823,1823,1823,General,"Virginia 1823 U.S. House of Representatives, District 18",U.S. House of Representatives,ON125,Phillip Doddridge,DP0050,Federalist,A01,135
3,Tyler,va.congress.18.1823,1823,1823,General,"Virginia 1823 U.S. House of Representatives, District 18",U.S. House of Representatives,ON125,Edwin S. Duncan,DE0083,Republican,A03,1
4,Tyler,va.congress.18.1823,1823,1823,General,"Virginia 1823 U.S. House of Representatives, District 18",U.S. House of Representatives,ON125,Jeremiah Browning,BJ1399,Republican,A03,NA
