candidate_num,county,election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,vote
1,Caledonia,vt.uscongress.eastern.2.1800,1800-12,1800,General,"Vermont 1800 U.S. House of Representatives, Eastern District, Ballot 2",U.S. House of Representatives,ON125,Lewis R. Morris,ML0045,Federalist,A01,322
2,Caledonia,vt.uscongress.eastern.2.1800,1800-12,1800,General,"Vermont 1800 U.S. House of Representatives, Eastern District, Ballot 2",U.S. House of Representatives,ON125,Nathaniel Niles,NN0014,Republican,A03,52
3,Caledonia,vt.uscongress.eastern.2.1800,1800-12,1800,General,"Vermont 1800 U.S. House of Representatives, Eastern District, Ballot 2",U.S. House of Representatives,ON125,Amasa Paine,PA0117,Federalist,A01,6
4,Caledonia,vt.uscongress.eastern.2.1800,1800-12,1800,General,"Vermont 1800 U.S. House of Representatives, Eastern District, Ballot 2",U.S. House of Representatives,ON125,William Chamberlain,CW0352,Federalist,A01,15
5,Caledonia,vt.uscongress.eastern.2.1800,1800-12,1800,General,"Vermont 1800 U.S. House of Representatives, Eastern District, Ballot 2",U.S. House of Representatives,ON125,Stephen Jacobs,JS0060,Federalist,A01,2
6,Caledonia,vt.uscongress.eastern.2.1800,1800-12,1800,General,"Vermont 1800 U.S. House of Representatives, Eastern District, Ballot 2",U.S. House of Representatives,ON125,David Dunbar,DD0007,null,null,NA
7,Caledonia,vt.uscongress.eastern.2.1800,1800-12,1800,General,"Vermont 1800 U.S. House of Representatives, Eastern District, Ballot 2",U.S. House of Representatives,ON125,Stephen R. Bradley,BS0312,null,null,NA
8,Caledonia,vt.uscongress.eastern.2.1800,1800-12,1800,General,"Vermont 1800 U.S. House of Representatives, Eastern District, Ballot 2",U.S. House of Representatives,ON125,Samuel Chamberlain,CS0044,null,null,NA
9,Caledonia,vt.uscongress.eastern.2.1800,1800-12,1800,General,"Vermont 1800 U.S. House of Representatives, Eastern District, Ballot 2",U.S. House of Representatives,ON125,Charles Marsh,MC0079,Federalist,null,NA
10,Caledonia,vt.uscongress.eastern.2.1800,1800-12,1800,General,"Vermont 1800 U.S. House of Representatives, Eastern District, Ballot 2",U.S. House of Representatives,ON125,Robert Niles,NR0009,null,null,NA
