election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,candidate_num,district,vote
vt.uscongress.eastern.2.1800,1800-12,1800,General,"Vermont 1800 U.S. House of Representatives, Eastern District, Ballot 2",U.S. House of Representatives,ON125,Lewis R. Morris,ML0045,Federalist,A01,1,NA,NA
vt.uscongress.eastern.2.1800,1800-12,1800,General,"Vermont 1800 U.S. House of Representatives, Eastern District, Ballot 2",U.S. House of Representatives,ON125,Nathaniel Niles,NN0014,Republican,A03,2,NA,NA
vt.uscongress.eastern.2.1800,1800-12,1800,General,"Vermont 1800 U.S. House of Representatives, Eastern District, Ballot 2",U.S. House of Representatives,ON125,Amasa Paine,PA0117,Federalist,A01,3,NA,NA
vt.uscongress.eastern.2.1800,1800-12,1800,General,"Vermont 1800 U.S. House of Representatives, Eastern District, Ballot 2",U.S. House of Representatives,ON125,William Chamberlain,CW0352,Federalist,A01,4,NA,NA
vt.uscongress.eastern.2.1800,1800-12,1800,General,"Vermont 1800 U.S. House of Representatives, Eastern District, Ballot 2",U.S. House of Representatives,ON125,Stephen Jacobs,JS0060,Federalist,A01,5,NA,NA
vt.uscongress.eastern.2.1800,1800-12,1800,General,"Vermont 1800 U.S. House of Representatives, Eastern District, Ballot 2",U.S. House of Representatives,ON125,David Dunbar,DD0007,null,null,6,NA,NA
vt.uscongress.eastern.2.1800,1800-12,1800,General,"Vermont 1800 U.S. House of Representatives, Eastern District, Ballot 2",U.S. House of Representatives,ON125,Stephen R. Bradley,BS0312,null,null,7,NA,NA
vt.uscongress.eastern.2.1800,1800-12,1800,General,"Vermont 1800 U.S. House of Representatives, Eastern District, Ballot 2",U.S. House of Representatives,ON125,Samuel Chamberlain,CS0044,null,null,8,NA,NA
vt.uscongress.eastern.2.1800,1800-12,1800,General,"Vermont 1800 U.S. House of Representatives, Eastern District, Ballot 2",U.S. House of Representatives,ON125,Charles Marsh,MC0079,Federalist,null,9,NA,NA
vt.uscongress.eastern.2.1800,1800-12,1800,General,"Vermont 1800 U.S. House of Representatives, Eastern District, Ballot 2",U.S. House of Representatives,ON125,Robert Niles,NR0009,null,null,10,NA,NA
vt.uscongress.eastern.2.1800,1800-12,1800,General,"Vermont 1800 U.S. House of Representatives, Eastern District, Ballot 2",U.S. House of Representatives,ON125,Daniel Farrand,FD0052,null,null,11,NA,NA
vt.uscongress.eastern.2.1800,1800-12,1800,General,"Vermont 1800 U.S. House of Representatives, Eastern District, Ballot 2",U.S. House of Representatives,ON125,Lot Hall,HL0043,Federalist,A01,12,NA,NA
vt.uscongress.eastern.2.1800,1800-12,1800,General,"Vermont 1800 U.S. House of Representatives, Eastern District, Ballot 2",U.S. House of Representatives,ON125,scattering,null,null,null,13,NA,NA
