election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,candidate_num,district,vote
vt.uscongress.northwest.1804,1804-09,1804,General,"Vermont 1804 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Martin Chittenden,CM0084,Federalist,A01,1,Northwest,2354
vt.uscongress.northwest.1804,1804-09,1804,General,"Vermont 1804 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Ezra Butler,BE0213,Republican,A03,2,Northwest,2180
vt.uscongress.northwest.1804,1804-09,1804,General,"Vermont 1804 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Noah Chittenden,CN0046,null,null,3,Northwest,43
vt.uscongress.northwest.1804,1804-09,1804,General,"Vermont 1804 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Udney Hay,HU0003,null,null,4,Northwest,15
vt.uscongress.northwest.1804,1804-09,1804,General,"Vermont 1804 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Isaac Tichenor,TI0032,Federalist,null,5,Northwest,9
vt.uscongress.northwest.1804,1804-09,1804,General,"Vermont 1804 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Amos Marsh,MA0292,null,null,6,Northwest,8
vt.uscongress.northwest.1804,1804-09,1804,General,"Vermont 1804 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Charles Rich,RC0058,null,null,7,Northwest,4
vt.uscongress.northwest.1804,1804-09,1804,General,"Vermont 1804 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Jonathan Robinson,RJ0696,null,null,8,Northwest,4
vt.uscongress.northwest.1804,1804-09,1804,General,"Vermont 1804 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Timothy Allen,AT0057,null,null,9,Northwest,3
vt.uscongress.northwest.1804,1804-09,1804,General,"Vermont 1804 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Daniel Chipman,CD0204,Federalist,null,10,Northwest,3
vt.uscongress.northwest.1804,1804-09,1804,General,"Vermont 1804 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Elisha Reynolds,RE0077,null,null,11,Northwest,3
vt.uscongress.northwest.1804,1804-09,1804,General,"Vermont 1804 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,David Foot,FD0066,null,null,12,Northwest,2
vt.uscongress.northwest.1804,1804-09,1804,General,"Vermont 1804 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Silas Hathaway,HS0237,null,null,13,Northwest,2
vt.uscongress.northwest.1804,1804-09,1804,General,"Vermont 1804 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Gideon Hawley,HG0118,null,null,14,Northwest,2
vt.uscongress.northwest.1804,1804-09,1804,General,"Vermont 1804 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Jacob Shafford,SJ1149,null,null,15,Northwest,2
vt.uscongress.northwest.1804,1804-09,1804,General,"Vermont 1804 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Gideon Spencer,SG0171,null,null,16,Northwest,2
vt.uscongress.northwest.1804,1804-09,1804,General,"Vermont 1804 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Benjamin Swan,SB0024,null,null,17,Northwest,2
vt.uscongress.northwest.1804,1804-09,1804,General,"Vermont 1804 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Elihu Allen,AE0051,null,null,18,Northwest,1
vt.uscongress.northwest.1804,1804-09,1804,General,"Vermont 1804 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Titus Auger,AT0055,null,null,19,Northwest,1
