election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,candidate_num,overview_vote
vt.uscongress.northwest.1804,1804-09,1804,General,"Vermont 1804 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Martin Chittenden,CM0084,Federalist,A01,1,2354
vt.uscongress.northwest.1804,1804-09,1804,General,"Vermont 1804 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Ezra Butler,BE0213,Republican,A03,2,2180
vt.uscongress.northwest.1804,1804-09,1804,General,"Vermont 1804 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Noah Chittenden,CN0046,null,null,3,43
vt.uscongress.northwest.1804,1804-09,1804,General,"Vermont 1804 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Udney Hay,HU0003,null,null,4,15
vt.uscongress.northwest.1804,1804-09,1804,General,"Vermont 1804 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Isaac Tichenor,TI0032,Federalist,null,5,9
vt.uscongress.northwest.1804,1804-09,1804,General,"Vermont 1804 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Amos Marsh,MA0292,null,null,6,8
vt.uscongress.northwest.1804,1804-09,1804,General,"Vermont 1804 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Charles Rich,RC0058,null,null,7,4
vt.uscongress.northwest.1804,1804-09,1804,General,"Vermont 1804 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Jonathan Robinson,RJ0696,null,null,8,4
vt.uscongress.northwest.1804,1804-09,1804,General,"Vermont 1804 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Timothy Allen,AT0057,null,null,9,3
vt.uscongress.northwest.1804,1804-09,1804,General,"Vermont 1804 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Daniel Chipman,CD0204,Federalist,null,10,3
vt.uscongress.northwest.1804,1804-09,1804,General,"Vermont 1804 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Elisha Reynolds,RE0077,null,null,11,3
vt.uscongress.northwest.1804,1804-09,1804,General,"Vermont 1804 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,David Foot,FD0066,null,null,12,2
vt.uscongress.northwest.1804,1804-09,1804,General,"Vermont 1804 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Silas Hathaway,HS0237,null,null,13,2
vt.uscongress.northwest.1804,1804-09,1804,General,"Vermont 1804 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Gideon Hawley,HG0118,null,null,14,2
vt.uscongress.northwest.1804,1804-09,1804,General,"Vermont 1804 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Jacob Shafford,SJ1149,null,null,15,2
vt.uscongress.northwest.1804,1804-09,1804,General,"Vermont 1804 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Gideon Spencer,SG0171,null,null,16,2
vt.uscongress.northwest.1804,1804-09,1804,General,"Vermont 1804 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Benjamin Swan,SB0024,null,null,17,2
vt.uscongress.northwest.1804,1804-09,1804,General,"Vermont 1804 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Elihu Allen,AE0051,null,null,18,1
vt.uscongress.northwest.1804,1804-09,1804,General,"Vermont 1804 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Titus Auger,AT0055,null,null,19,1
vt.uscongress.northwest.1804,1804-09,1804,General,"Vermont 1804 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,William Barber,BW0344,null,null,20,1
vt.uscongress.northwest.1804,1804-09,1804,General,"Vermont 1804 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,William Barney,BW0343,null,null,21,1
vt.uscongress.northwest.1804,1804-09,1804,General,"Vermont 1804 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Timothy Bliss,BT0152,null,null,22,1
vt.uscongress.northwest.1804,1804-09,1804,General,"Vermont 1804 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Ezra Bull,BE0157,null,null,23,1
vt.uscongress.northwest.1804,1804-09,1804,General,"Vermont 1804 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Paul Butler,BP0129,null,null,24,1
vt.uscongress.northwest.1804,1804-09,1804,General,"Vermont 1804 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Asaph Butler,BA0250,null,null,25,1
vt.uscongress.northwest.1804,1804-09,1804,General,"Vermont 1804 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Reuben Curtis,CR0176,null,null,26,1
vt.uscongress.northwest.1804,1804-09,1804,General,"Vermont 1804 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Francis Davis,DF0010,null,null,27,1
vt.uscongress.northwest.1804,1804-09,1804,General,"Vermont 1804 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,John Fay,FJ0059,null,null,28,1
vt.uscongress.northwest.1804,1804-09,1804,General,"Vermont 1804 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Elisha Fuller,FE0063,null,null,29,1
vt.uscongress.northwest.1804,1804-09,1804,General,"Vermont 1804 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,William C. Harrington,HW0348,null,null,30,1
vt.uscongress.northwest.1804,1804-09,1804,General,"Vermont 1804 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,James Hill,HJ0984,null,null,31,1
vt.uscongress.northwest.1804,1804-09,1804,General,"Vermont 1804 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Samuel Hitchcock,HS0250,null,null,32,1
vt.uscongress.northwest.1804,1804-09,1804,General,"Vermont 1804 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Arad Hunt,HA0044,null,null,33,1
vt.uscongress.northwest.1804,1804-09,1804,General,"Vermont 1804 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,William Hunter,HW0335,null,null,34,1
vt.uscongress.northwest.1804,1804-09,1804,General,"Vermont 1804 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Joel Lindy,LJ0471,null,null,35,1
vt.uscongress.northwest.1804,1804-09,1804,General,"Vermont 1804 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Asa Lyon,LA0126,Federalist,null,36,1
vt.uscongress.northwest.1804,1804-09,1804,General,"Vermont 1804 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Simon Marsh,MS0153,null,null,37,1
vt.uscongress.northwest.1804,1804-09,1804,General,"Vermont 1804 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Ezra Meach,ME0130,null,null,38,1
vt.uscongress.northwest.1804,1804-09,1804,General,"Vermont 1804 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Theophilus Middlebrooks,MT0123,null,null,39,1
vt.uscongress.northwest.1804,1804-09,1804,General,"Vermont 1804 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Nathaniel Newall,NN0022,null,null,40,1
vt.uscongress.northwest.1804,1804-09,1804,General,"Vermont 1804 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Stephen Pearl,PS0009,null,null,41,1
vt.uscongress.northwest.1804,1804-09,1804,General,"Vermont 1804 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Stephen Pierce,PS0188,null,null,42,1
