candidate_num,county,election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,vote
1,Addison,vt.uscongress.northwest.1810,1810-09,1810,General,"Vermont 1810 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Martin Chittenden,CM0084,Federalist,A01,1006
2,Addison,vt.uscongress.northwest.1810,1810-09,1810,General,"Vermont 1810 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Ezra Butler,BE0213,Republican,A03,1137
3,Addison,vt.uscongress.northwest.1810,1810-09,1810,General,"Vermont 1810 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Charles Rich,RC0058,null,null,33
4,Addison,vt.uscongress.northwest.1810,1810-09,1810,General,"Vermont 1810 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Isaac Tichenor,TI0032,Federalist,null,1
5,Addison,vt.uscongress.northwest.1810,1810-09,1810,General,"Vermont 1810 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Jonas Galusha,GJ0613,Republican,A03,4
6,Addison,vt.uscongress.northwest.1810,1810-09,1810,General,"Vermont 1810 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Paul Brigham,BP0101,Republican,A03,3
7,Addison,vt.uscongress.northwest.1810,1810-09,1810,General,"Vermont 1810 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Noah Chittenden,CN0046,Republican,A03,2
8,Addison,vt.uscongress.northwest.1810,1810-09,1810,General,"Vermont 1810 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Lewis R. Morris,ML0045,Federalist,null,4
9,Addison,vt.uscongress.northwest.1810,1810-09,1810,General,"Vermont 1810 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Philip Loop,LP0023,null,null,NA
10,Addison,vt.uscongress.northwest.1810,1810-09,1810,General,"Vermont 1810 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Benjamin Swan,SB0024,null,null,4
11,Addison,vt.uscongress.northwest.1810,1810-09,1810,General,"Vermont 1810 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Bushnett B. Tawens,TB0020,null,null,NA
12,Addison,vt.uscongress.northwest.1810,1810-09,1810,General,"Vermont 1810 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Cyrus Curtis,CC0111,null,null,5
13,Addison,vt.uscongress.northwest.1810,1810-09,1810,General,"Vermont 1810 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Martin Folk,FM0028,null,null,NA
14,Addison,vt.uscongress.northwest.1810,1810-09,1810,General,"Vermont 1810 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Enoch Chilton,CE0145,null,null,NA
15,Addison,vt.uscongress.northwest.1810,1810-09,1810,General,"Vermont 1810 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,William C. Harrington,HW0348,null,null,NA
16,Addison,vt.uscongress.northwest.1810,1810-09,1810,General,"Vermont 1810 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Carter Hickok,HC0123,null,null,NA
17,Addison,vt.uscongress.northwest.1810,1810-09,1810,General,"Vermont 1810 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Asaph Howard,HA0225,null,null,2
18,Addison,vt.uscongress.northwest.1810,1810-09,1810,General,"Vermont 1810 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Josiah Land,LJ0475,null,null,2
19,Addison,vt.uscongress.northwest.1810,1810-09,1810,General,"Vermont 1810 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Nathan Leavenworth,LN0032,null,null,NA
20,Addison,vt.uscongress.northwest.1810,1810-09,1810,General,"Vermont 1810 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Thomas W. Rich,RT0111,null,null,2
21,Addison,vt.uscongress.northwest.1810,1810-09,1810,General,"Vermont 1810 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Asa Aldis,AA0064,null,null,NA
22,Addison,vt.uscongress.northwest.1810,1810-09,1810,General,"Vermont 1810 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Heman Allen,AH0032,Republican,A03,NA
23,Addison,vt.uscongress.northwest.1810,1810-09,1810,General,"Vermont 1810 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Timothy Allen,AT0057,null,null,NA
24,Addison,vt.uscongress.northwest.1810,1810-09,1810,General,"Vermont 1810 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Amos W. Barnum,BA0249,null,null,1
25,Addison,vt.uscongress.northwest.1810,1810-09,1810,General,"Vermont 1810 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Jonas Brigham,BJ1127,null,null,NA
26,Addison,vt.uscongress.northwest.1810,1810-09,1810,General,"Vermont 1810 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Jack Brownman,BJ1126,null,null,NA
27,Addison,vt.uscongress.northwest.1810,1810-09,1810,General,"Vermont 1810 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Ebenezer Butler,BE0166,null,null,NA
28,Addison,vt.uscongress.northwest.1810,1810-09,1810,General,"Vermont 1810 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Isaac Butler,BI0086,null,null,NA
29,Addison,vt.uscongress.northwest.1810,1810-09,1810,General,"Vermont 1810 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Abel Carpenter,CA0223,null,null,NA
30,Addison,vt.uscongress.northwest.1810,1810-09,1810,General,"Vermont 1810 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Daniel Chipman,CD0204,Federalist,null,1
31,Addison,vt.uscongress.northwest.1810,1810-09,1810,General,"Vermont 1810 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Moses Chittenden,CM0095,null,null,1
32,Addison,vt.uscongress.northwest.1810,1810-09,1810,General,"Vermont 1810 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Truman Chittenden,CT0025,null,null,NA
33,Addison,vt.uscongress.northwest.1810,1810-09,1810,General,"Vermont 1810 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Elijah Deeyun,DE0091,null,null,NA
34,Addison,vt.uscongress.northwest.1810,1810-09,1810,General,"Vermont 1810 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Jeva French,FJ0366,null,null,NA
35,Addison,vt.uscongress.northwest.1810,1810-09,1810,General,"Vermont 1810 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,William Goodrich,GW0107,null,null,1
36,Addison,vt.uscongress.northwest.1810,1810-09,1810,General,"Vermont 1810 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Alpheus Hale,HA0224,null,null,NA
37,Addison,vt.uscongress.northwest.1810,1810-09,1810,General,"Vermont 1810 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Jonathan Hoit,HJ0975,null,null,NA
38,Addison,vt.uscongress.northwest.1810,1810-09,1810,General,"Vermont 1810 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Ezra Hoyt,HE0151,null,null,1
39,Addison,vt.uscongress.northwest.1810,1810-09,1810,General,"Vermont 1810 U.S. House of Representatives, Northwest District",U.S. House of Representatives,ON125,Eleazer Hutchings,HE0150,null,null,NA
