election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,candidate_num,district,vote
vt.uscongress.secondballot.easterndistrict.1795,1795-02,1795,General,"Vermont 1795 U.S. House of Representatives, Eastern District, Ballot 2",U.S. House of Representatives,ON125,Daniel Buck,BD0212,Federalist,A01,1,Eastern,1198
vt.uscongress.secondballot.easterndistrict.1795,1795-02,1795,General,"Vermont 1795 U.S. House of Representatives, Eastern District, Ballot 2",U.S. House of Representatives,ON125,Nathaniel Niles,NN0014,Republican,A03,2,Eastern,842
vt.uscongress.secondballot.easterndistrict.1795,1795-02,1795,General,"Vermont 1795 U.S. House of Representatives, Eastern District, Ballot 2",U.S. House of Representatives,ON125,Jonathan Hunt,HJ1284,null,null,3,Eastern,59
vt.uscongress.secondballot.easterndistrict.1795,1795-02,1795,General,"Vermont 1795 U.S. House of Representatives, Eastern District, Ballot 2",U.S. House of Representatives,ON125,Stephen Jacob,JS0060,null,null,4,Eastern,39
vt.uscongress.secondballot.easterndistrict.1795,1795-02,1795,General,"Vermont 1795 U.S. House of Representatives, Eastern District, Ballot 2",U.S. House of Representatives,ON125,Lewis R. Morris,ML0045,Federalist,null,5,Eastern,7
vt.uscongress.secondballot.easterndistrict.1795,1795-02,1795,General,"Vermont 1795 U.S. House of Representatives, Eastern District, Ballot 2",U.S. House of Representatives,ON125,Samuel Cutler,CS0216,null,null,6,Eastern,5
vt.uscongress.secondballot.easterndistrict.1795,1795-02,1795,General,"Vermont 1795 U.S. House of Representatives, Eastern District, Ballot 2",U.S. House of Representatives,ON125,Paul Brigham,BP0101,null,null,7,Eastern,4
vt.uscongress.secondballot.easterndistrict.1795,1795-02,1795,General,"Vermont 1795 U.S. House of Representatives, Eastern District, Ballot 2",U.S. House of Representatives,ON125,Cornelius Lynde,LC0073,null,null,8,Eastern,4
vt.uscongress.secondballot.easterndistrict.1795,1795-02,1795,General,"Vermont 1795 U.S. House of Representatives, Eastern District, Ballot 2",U.S. House of Representatives,ON125,Stephen R. Bradley,BS0312,null,null,9,Eastern,2
vt.uscongress.secondballot.easterndistrict.1795,1795-02,1795,General,"Vermont 1795 U.S. House of Representatives, Eastern District, Ballot 2",U.S. House of Representatives,ON125,James Whitlaw,WJ0968,null,null,10,Eastern,2
vt.uscongress.secondballot.easterndistrict.1795,1795-02,1795,General,"Vermont 1795 U.S. House of Representatives, Eastern District, Ballot 2",U.S. House of Representatives,ON125,Lot Hall,HL0043,Federalist,null,11,Eastern,1
