candidate_num,county,election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,vote
1,Windham,vt.uscongress.southeast.secondballot.1804,1804-12,1804,General,"Vermont 1804 U.S. House of Representatives, Southeast District, Ballot 2",U.S. House of Representatives,ON125,James Elliot,EJ0292,Federalist,A01,1207
2,Windham,vt.uscongress.southeast.secondballot.1804,1804-12,1804,General,"Vermont 1804 U.S. House of Representatives, Southeast District, Ballot 2",U.S. House of Representatives,ON125,Mark Richards,RM0056,Republican,A03,422
3,Windham,vt.uscongress.southeast.secondballot.1804,1804-12,1804,General,"Vermont 1804 U.S. House of Representatives, Southeast District, Ballot 2",U.S. House of Representatives,ON125,Samuel Fletcher,FS0133,null,null,6
4,Windham,vt.uscongress.southeast.secondballot.1804,1804-12,1804,General,"Vermont 1804 U.S. House of Representatives, Southeast District, Ballot 2",U.S. House of Representatives,ON125,Lewis R. Morris,ML0045,Federalist,null,1
5,Windham,vt.uscongress.southeast.secondballot.1804,1804-12,1804,General,"Vermont 1804 U.S. House of Representatives, Southeast District, Ballot 2",U.S. House of Representatives,ON125,Amasa Paine,PA0117,null,null,2
6,Windham,vt.uscongress.southeast.secondballot.1804,1804-12,1804,General,"Vermont 1804 U.S. House of Representatives, Southeast District, Ballot 2",U.S. House of Representatives,ON125,Paul Brigham,BP0101,null,null,1
7,Windham,vt.uscongress.southeast.secondballot.1804,1804-12,1804,General,"Vermont 1804 U.S. House of Representatives, Southeast District, Ballot 2",U.S. House of Representatives,ON125,Alexander Campbell,CA0208,null,null,NA
8,Windham,vt.uscongress.southeast.secondballot.1804,1804-12,1804,General,"Vermont 1804 U.S. House of Representatives, Southeast District, Ballot 2",U.S. House of Representatives,ON125,Watson Crosley,CW0286,null,null,1
9,Windham,vt.uscongress.southeast.secondballot.1804,1804-12,1804,General,"Vermont 1804 U.S. House of Representatives, Southeast District, Ballot 2",U.S. House of Representatives,ON125,Aseph Fletcher,FA0083,null,null,1
10,Windham,vt.uscongress.southeast.secondballot.1804,1804-12,1804,General,"Vermont 1804 U.S. House of Representatives, Southeast District, Ballot 2",U.S. House of Representatives,ON125,scattering,null,null,null,NA
1,Windsor,vt.uscongress.southeast.secondballot.1804,1804-12,1804,General,"Vermont 1804 U.S. House of Representatives, Southeast District, Ballot 2",U.S. House of Representatives,ON125,James Elliot,EJ0292,Federalist,A01,787
2,Windsor,vt.uscongress.southeast.secondballot.1804,1804-12,1804,General,"Vermont 1804 U.S. House of Representatives, Southeast District, Ballot 2",U.S. House of Representatives,ON125,Mark Richards,RM0056,Republican,A03,748
3,Windsor,vt.uscongress.southeast.secondballot.1804,1804-12,1804,General,"Vermont 1804 U.S. House of Representatives, Southeast District, Ballot 2",U.S. House of Representatives,ON125,Samuel Fletcher,FS0133,null,null,2
4,Windsor,vt.uscongress.southeast.secondballot.1804,1804-12,1804,General,"Vermont 1804 U.S. House of Representatives, Southeast District, Ballot 2",U.S. House of Representatives,ON125,Lewis R. Morris,ML0045,Federalist,null,5
5,Windsor,vt.uscongress.southeast.secondballot.1804,1804-12,1804,General,"Vermont 1804 U.S. House of Representatives, Southeast District, Ballot 2",U.S. House of Representatives,ON125,Amasa Paine,PA0117,null,null,NA
6,Windsor,vt.uscongress.southeast.secondballot.1804,1804-12,1804,General,"Vermont 1804 U.S. House of Representatives, Southeast District, Ballot 2",U.S. House of Representatives,ON125,Paul Brigham,BP0101,null,null,NA
7,Windsor,vt.uscongress.southeast.secondballot.1804,1804-12,1804,General,"Vermont 1804 U.S. House of Representatives, Southeast District, Ballot 2",U.S. House of Representatives,ON125,Alexander Campbell,CA0208,null,null,NA
8,Windsor,vt.uscongress.southeast.secondballot.1804,1804-12,1804,General,"Vermont 1804 U.S. House of Representatives, Southeast District, Ballot 2",U.S. House of Representatives,ON125,Watson Crosley,CW0286,null,null,NA
9,Windsor,vt.uscongress.southeast.secondballot.1804,1804-12,1804,General,"Vermont 1804 U.S. House of Representatives, Southeast District, Ballot 2",U.S. House of Representatives,ON125,Aseph Fletcher,FA0083,null,null,NA
10,Windsor,vt.uscongress.southeast.secondballot.1804,1804-12,1804,General,"Vermont 1804 U.S. House of Representatives, Southeast District, Ballot 2",U.S. House of Representatives,ON125,scattering,null,null,null,26
