candidate_num,county,election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,vote
1,Addison,vt.uscongress.western.secondballot.1793,1793-03,1793,General,"Vermont 1793 U.S. House of Representatives, Western District, Ballot 2",U.S. House of Representatives,ON125,Israel Smith,SI0092,null,null,513
2,Addison,vt.uscongress.western.secondballot.1793,1793-03,1793,General,"Vermont 1793 U.S. House of Representatives, Western District, Ballot 2",U.S. House of Representatives,ON125,Matthew Lyon,LM0053,null,null,313
3,Addison,vt.uscongress.western.secondballot.1793,1793-03,1793,General,"Vermont 1793 U.S. House of Representatives, Western District, Ballot 2",U.S. House of Representatives,ON125,Isaac Tichenor,TI0032,Federalist,null,25
4,Addison,vt.uscongress.western.secondballot.1793,1793-03,1793,General,"Vermont 1793 U.S. House of Representatives, Western District, Ballot 2",U.S. House of Representatives,ON125,Samuel Hitchcock,HS0250,null,null,NA
5,Addison,vt.uscongress.western.secondballot.1793,1793-03,1793,General,"Vermont 1793 U.S. House of Representatives, Western District, Ballot 2",U.S. House of Representatives,ON125,Chipman,null,null,null,NA
6,Addison,vt.uscongress.western.secondballot.1793,1793-03,1793,General,"Vermont 1793 U.S. House of Representatives, Western District, Ballot 2",U.S. House of Representatives,ON125,Shumway,null,null,null,NA
7,Addison,vt.uscongress.western.secondballot.1793,1793-03,1793,General,"Vermont 1793 U.S. House of Representatives, Western District, Ballot 2",U.S. House of Representatives,ON125,N. Smith,SN0074,null,null,NA
8,Addison,vt.uscongress.western.secondballot.1793,1793-03,1793,General,"Vermont 1793 U.S. House of Representatives, Western District, Ballot 2",U.S. House of Representatives,ON125,Wales,null,null,null,NA
1,Bennington,vt.uscongress.western.secondballot.1793,1793-03,1793,General,"Vermont 1793 U.S. House of Representatives, Western District, Ballot 2",U.S. House of Representatives,ON125,Israel Smith,SI0092,null,null,551
2,Bennington,vt.uscongress.western.secondballot.1793,1793-03,1793,General,"Vermont 1793 U.S. House of Representatives, Western District, Ballot 2",U.S. House of Representatives,ON125,Matthew Lyon,LM0053,null,null,229
3,Bennington,vt.uscongress.western.secondballot.1793,1793-03,1793,General,"Vermont 1793 U.S. House of Representatives, Western District, Ballot 2",U.S. House of Representatives,ON125,Isaac Tichenor,TI0032,Federalist,null,49
4,Bennington,vt.uscongress.western.secondballot.1793,1793-03,1793,General,"Vermont 1793 U.S. House of Representatives, Western District, Ballot 2",U.S. House of Representatives,ON125,Samuel Hitchcock,HS0250,null,null,NA
5,Bennington,vt.uscongress.western.secondballot.1793,1793-03,1793,General,"Vermont 1793 U.S. House of Representatives, Western District, Ballot 2",U.S. House of Representatives,ON125,Chipman,null,null,null,NA
6,Bennington,vt.uscongress.western.secondballot.1793,1793-03,1793,General,"Vermont 1793 U.S. House of Representatives, Western District, Ballot 2",U.S. House of Representatives,ON125,Shumway,null,null,null,NA
7,Bennington,vt.uscongress.western.secondballot.1793,1793-03,1793,General,"Vermont 1793 U.S. House of Representatives, Western District, Ballot 2",U.S. House of Representatives,ON125,N. Smith,SN0074,null,null,NA
8,Bennington,vt.uscongress.western.secondballot.1793,1793-03,1793,General,"Vermont 1793 U.S. House of Representatives, Western District, Ballot 2",U.S. House of Representatives,ON125,Wales,null,null,null,NA
1,Chittenden,vt.uscongress.western.secondballot.1793,1793-03,1793,General,"Vermont 1793 U.S. House of Representatives, Western District, Ballot 2",U.S. House of Representatives,ON125,Israel Smith,SI0092,null,null,351
2,Chittenden,vt.uscongress.western.secondballot.1793,1793-03,1793,General,"Vermont 1793 U.S. House of Representatives, Western District, Ballot 2",U.S. House of Representatives,ON125,Matthew Lyon,LM0053,null,null,252
3,Chittenden,vt.uscongress.western.secondballot.1793,1793-03,1793,General,"Vermont 1793 U.S. House of Representatives, Western District, Ballot 2",U.S. House of Representatives,ON125,Isaac Tichenor,TI0032,Federalist,null,23
4,Chittenden,vt.uscongress.western.secondballot.1793,1793-03,1793,General,"Vermont 1793 U.S. House of Representatives, Western District, Ballot 2",U.S. House of Representatives,ON125,Samuel Hitchcock,HS0250,null,null,NA
5,Chittenden,vt.uscongress.western.secondballot.1793,1793-03,1793,General,"Vermont 1793 U.S. House of Representatives, Western District, Ballot 2",U.S. House of Representatives,ON125,Chipman,null,null,null,NA
6,Chittenden,vt.uscongress.western.secondballot.1793,1793-03,1793,General,"Vermont 1793 U.S. House of Representatives, Western District, Ballot 2",U.S. House of Representatives,ON125,Shumway,null,null,null,NA
7,Chittenden,vt.uscongress.western.secondballot.1793,1793-03,1793,General,"Vermont 1793 U.S. House of Representatives, Western District, Ballot 2",U.S. House of Representatives,ON125,N. Smith,SN0074,null,null,NA
8,Chittenden,vt.uscongress.western.secondballot.1793,1793-03,1793,General,"Vermont 1793 U.S. House of Representatives, Western District, Ballot 2",U.S. House of Representatives,ON125,Wales,null,null,null,NA
1,Rutland,vt.uscongress.western.secondballot.1793,1793-03,1793,General,"Vermont 1793 U.S. House of Representatives, Western District, Ballot 2",U.S. House of Representatives,ON125,Israel Smith,SI0092,null,null,576
2,Rutland,vt.uscongress.western.secondballot.1793,1793-03,1793,General,"Vermont 1793 U.S. House of Representatives, Western District, Ballot 2",U.S. House of Representatives,ON125,Matthew Lyon,LM0053,null,null,925
3,Rutland,vt.uscongress.western.secondballot.1793,1793-03,1793,General,"Vermont 1793 U.S. House of Representatives, Western District, Ballot 2",U.S. House of Representatives,ON125,Isaac Tichenor,TI0032,Federalist,null,73
4,Rutland,vt.uscongress.western.secondballot.1793,1793-03,1793,General,"Vermont 1793 U.S. House of Representatives, Western District, Ballot 2",U.S. House of Representatives,ON125,Samuel Hitchcock,HS0250,null,null,NA
5,Rutland,vt.uscongress.western.secondballot.1793,1793-03,1793,General,"Vermont 1793 U.S. House of Representatives, Western District, Ballot 2",U.S. House of Representatives,ON125,Chipman,null,null,null,NA
6,Rutland,vt.uscongress.western.secondballot.1793,1793-03,1793,General,"Vermont 1793 U.S. House of Representatives, Western District, Ballot 2",U.S. House of Representatives,ON125,Shumway,null,null,null,NA
7,Rutland,vt.uscongress.western.secondballot.1793,1793-03,1793,General,"Vermont 1793 U.S. House of Representatives, Western District, Ballot 2",U.S. House of Representatives,ON125,N. Smith,SN0074,null,null,NA
8,Rutland,vt.uscongress.western.secondballot.1793,1793-03,1793,General,"Vermont 1793 U.S. House of Representatives, Western District, Ballot 2",U.S. House of Representatives,ON125,Wales,null,null,null,NA
