election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,candidate_num,district,vote
vt.uscongress1.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,William C. Bradley,BW0418,Republican,A03,1,One,1961
vt.uscongress1.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,Phineas White,WP0105,Federalist,A01,2,One,1455
vt.uscongress1.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,Calvin Sheldon,SC0145,Republican,A03,3,One,420
vt.uscongress1.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,Orsamus C. Merrill,MO0010,Republican,A03,4,One,15
vt.uscongress1.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,Samuel Elliot,ES0058,Federalist,A01,5,One,13
vt.uscongress1.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,Joseph Burr,BJ1101,null,null,6,One,7
vt.uscongress1.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,Alexander Campbell,CA0208,null,null,7,One,5
vt.uscongress1.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,Samuel Fay,FS0003,null,null,8,One,3
vt.uscongress1.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,Jonas Galusha,GJ0613,null,null,9,One,3
vt.uscongress1.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,John Roberts,RJ0501,null,null,10,One,3
vt.uscongress1.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,Nathan H. Battum,BN0081,null,null,11,One,2
vt.uscongress1.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,Joseph Boyden,BJ1100,null,null,12,One,2
vt.uscongress1.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,Amos Brown,BA0252,null,null,13,One,2
vt.uscongress1.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,Myron Clark,CM0097,null,null,14,One,2
vt.uscongress1.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,Theophilus Crawford,CT0117,null,null,15,One,2
vt.uscongress1.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,Oliver Hanks,HO0036,null,null,16,One,2
vt.uscongress1.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,David Henry,HD0167,null,null,17,One,2
vt.uscongress1.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,Elisha Hopkins,HE0155,null,null,18,One,2
vt.uscongress1.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,Jonathan Hunt,HJ0949,null,null,19,One,2
vt.uscongress1.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,"William Stutney, Jr.",SW0378,null,null,20,One,2
vt.uscongress1.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,Benjamin Swift,SB0127,null,null,21,One,2
vt.uscongress1.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,Peter R. Taft,TP0045,null,null,22,One,2
vt.uscongress1.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,Aaron Barney,BA0246,null,null,23,One,1
vt.uscongress1.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,John Bartlett,BJ1086,null,null,24,One,1
vt.uscongress1.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,Barzillai Burges,BB0152,null,null,25,One,1
vt.uscongress1.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,David Burr,BD0205,null,null,26,One,1
vt.uscongress1.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,Josiah Burton,BJ1102,null,null,27,One,1
vt.uscongress1.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,Darius Clark,CD0151,null,null,28,One,1
vt.uscongress1.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,David Colvin,CD0150,null,null,29,One,1
vt.uscongress1.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,"Jason Duncan, Jr.",DJ0464,null,null,30,One,1
vt.uscongress1.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,Martin Field,FM0005,null,null,31,One,1
vt.uscongress1.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,Jairus Hall,HJ0944,null,null,32,One,1
vt.uscongress1.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,William Hall,HW0333,Federalist,null,33,One,1
vt.uscongress1.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,Edward Houghton,HE0154,null,null,34,One,1
vt.uscongress1.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,"Asa Keyes, 2nd",KA0058,null,null,35,One,1
vt.uscongress1.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,Benjamin Lee,LB0028,null,null,36,One,1
vt.uscongress1.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,Andrew Lyman,LA0103,null,null,37,One,1
vt.uscongress1.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,Rollin C. Mallory,MR0206,null,null,38,One,1
vt.uscongress1.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,John Mason,MJ0872,null,null,39,One,1
vt.uscongress1.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,Seth Moore,MS0154,null,null,40,One,1
vt.uscongress1.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,John S. Pettibone,PJ0499,null,null,41,One,1
vt.uscongress1.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,John Phelps,PJ0486,null,null,42,One,1
vt.uscongress1.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,Hazelton Price,PH0073,null,null,43,One,1
vt.uscongress1.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,David Rugg,RD0087,null,null,44,One,1
vt.uscongress1.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,Richard Skinner,SR0206,null,null,45,One,1
vt.uscongress1.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,Zadowick Stanton,SZ0006,null,null,46,One,1
vt.uscongress1.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,Cornelius P. Van Ness,VC0022,null,null,47,One,1
vt.uscongress1.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,Lemuel Whitney,WL0006,null,null,48,One,1
vt.uscongress1.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,Joseph Window,WJ0791,null,null,49,One,1
vt.uscongress1.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,Solomon Wright,WS0114,null,null,50,One,1
vt.uscongress1.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,scattering,null,null,null,51,One,1
