candidate_num,county,election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,vote
1,Windham,vt.uscongress2.2.1820,1820-12,1820,General,"Vermont 1820 U.S. House of Representatives, District 2, Ballot 2",U.S. House of Representatives,ON125,Phinehas White,WP0105,Federalist,A01,734
2,Windham,vt.uscongress2.2.1820,1820-12,1820,General,"Vermont 1820 U.S. House of Representatives, District 2, Ballot 2",U.S. House of Representatives,ON125,Mark Richards,RM0056,Republican,A03,493
3,Windham,vt.uscongress2.2.1820,1820-12,1820,General,"Vermont 1820 U.S. House of Representatives, District 2, Ballot 2",U.S. House of Representatives,ON125,James Elliot,EJ0292,Federalist,A01,225
4,Windham,vt.uscongress2.2.1820,1820-12,1820,General,"Vermont 1820 U.S. House of Representatives, District 2, Ballot 2",U.S. House of Representatives,ON125,Samuel Elliot,ES0058,Federalist,A01,91
5,Windham,vt.uscongress2.2.1820,1820-12,1820,General,"Vermont 1820 U.S. House of Representatives, District 2, Ballot 2",U.S. House of Representatives,ON125,Jonathan Hunt Jr.,HJ0949,null,null,84
6,Windham,vt.uscongress2.2.1820,1820-12,1820,General,"Vermont 1820 U.S. House of Representatives, District 2, Ballot 2",U.S. House of Representatives,ON125,Aaron Leland,LA0135,Republican,A03,NA
7,Windham,vt.uscongress2.2.1820,1820-12,1820,General,"Vermont 1820 U.S. House of Representatives, District 2, Ballot 2",U.S. House of Representatives,ON125,William Hall Jr.,HW0333,Federalist,A01,12
8,Windham,vt.uscongress2.2.1820,1820-12,1820,General,"Vermont 1820 U.S. House of Representatives, District 2, Ballot 2",U.S. House of Representatives,ON125,Martin Field,FM0005,null,null,NA
9,Windham,vt.uscongress2.2.1820,1820-12,1820,General,"Vermont 1820 U.S. House of Representatives, District 2, Ballot 2",U.S. House of Representatives,ON125,Linus Austin,AL0016,null,null,1
10,Windham,vt.uscongress2.2.1820,1820-12,1820,General,"Vermont 1820 U.S. House of Representatives, District 2, Ballot 2",U.S. House of Representatives,ON125,Edward Richards,RE0081,null,null,1
1,Windsor,vt.uscongress2.2.1820,1820-12,1820,General,"Vermont 1820 U.S. House of Representatives, District 2, Ballot 2",U.S. House of Representatives,ON125,Phinehas White,WP0105,Federalist,A01,112
2,Windsor,vt.uscongress2.2.1820,1820-12,1820,General,"Vermont 1820 U.S. House of Representatives, District 2, Ballot 2",U.S. House of Representatives,ON125,Mark Richards,RM0056,Republican,A03,270
3,Windsor,vt.uscongress2.2.1820,1820-12,1820,General,"Vermont 1820 U.S. House of Representatives, District 2, Ballot 2",U.S. House of Representatives,ON125,James Elliot,EJ0292,Federalist,A01,2
4,Windsor,vt.uscongress2.2.1820,1820-12,1820,General,"Vermont 1820 U.S. House of Representatives, District 2, Ballot 2",U.S. House of Representatives,ON125,Samuel Elliot,ES0058,Federalist,A01,NA
5,Windsor,vt.uscongress2.2.1820,1820-12,1820,General,"Vermont 1820 U.S. House of Representatives, District 2, Ballot 2",U.S. House of Representatives,ON125,Jonathan Hunt Jr.,HJ0949,null,null,4
6,Windsor,vt.uscongress2.2.1820,1820-12,1820,General,"Vermont 1820 U.S. House of Representatives, District 2, Ballot 2",U.S. House of Representatives,ON125,Aaron Leland,LA0135,Republican,A03,19
7,Windsor,vt.uscongress2.2.1820,1820-12,1820,General,"Vermont 1820 U.S. House of Representatives, District 2, Ballot 2",U.S. House of Representatives,ON125,William Hall Jr.,HW0333,Federalist,A01,NA
8,Windsor,vt.uscongress2.2.1820,1820-12,1820,General,"Vermont 1820 U.S. House of Representatives, District 2, Ballot 2",U.S. House of Representatives,ON125,Martin Field,FM0005,null,null,2
9,Windsor,vt.uscongress2.2.1820,1820-12,1820,General,"Vermont 1820 U.S. House of Representatives, District 2, Ballot 2",U.S. House of Representatives,ON125,Linus Austin,AL0016,null,null,NA
10,Windsor,vt.uscongress2.2.1820,1820-12,1820,General,"Vermont 1820 U.S. House of Representatives, District 2, Ballot 2",U.S. House of Representatives,ON125,Edward Richards,RE0081,null,null,NA
