election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,candidate_num,district,vote
vt.uscongress2.4.1821,1821-05,1821,General,"Vermont 1821 U.S. House of Representatives, District 2, Ballot 4",U.S. House of Representatives,ON125,Mark Richards,RM0056,Republican,A03,1,Two,1187
vt.uscongress2.4.1821,1821-05,1821,General,"Vermont 1821 U.S. House of Representatives, District 2, Ballot 4",U.S. House of Representatives,ON125,Phinehas White,WP0105,Federalist,A01,2,Two,1075
vt.uscongress2.4.1821,1821-05,1821,General,"Vermont 1821 U.S. House of Representatives, District 2, Ballot 4",U.S. House of Representatives,ON125,James Elliot,EJ0292,Federalist,null,3,Two,215
vt.uscongress2.4.1821,1821-05,1821,General,"Vermont 1821 U.S. House of Representatives, District 2, Ballot 4",U.S. House of Representatives,ON125,Aaron Leland,LA0135,Republican,A03,4,Two,108
vt.uscongress2.4.1821,1821-05,1821,General,"Vermont 1821 U.S. House of Representatives, District 2, Ballot 4",U.S. House of Representatives,ON125,Thomas G. Fessenden,FT0059,null,null,5,Two,100
vt.uscongress2.4.1821,1821-05,1821,General,"Vermont 1821 U.S. House of Representatives, District 2, Ballot 4",U.S. House of Representatives,ON125,Martin Field,FM0005,null,null,6,Two,15
vt.uscongress2.4.1821,1821-05,1821,General,"Vermont 1821 U.S. House of Representatives, District 2, Ballot 4",U.S. House of Representatives,ON125,Samuel Elliot,ES0058,null,null,7,Two,13
vt.uscongress2.4.1821,1821-05,1821,General,"Vermont 1821 U.S. House of Representatives, District 2, Ballot 4",U.S. House of Representatives,ON125,"William Hall, Jr.",HW0333,Federalist,null,8,Two,3
vt.uscongress2.4.1821,1821-05,1821,General,"Vermont 1821 U.S. House of Representatives, District 2, Ballot 4",U.S. House of Representatives,ON125,John Aiken,AJ0231,null,null,9,Two,1
vt.uscongress2.4.1821,1821-05,1821,General,"Vermont 1821 U.S. House of Representatives, District 2, Ballot 4",U.S. House of Representatives,ON125,E. Allbee,AE0052,null,null,10,Two,1
vt.uscongress2.4.1821,1821-05,1821,General,"Vermont 1821 U.S. House of Representatives, District 2, Ballot 4",U.S. House of Representatives,ON125,"Jonathan Hunt, Jr.",HJ0949,null,null,11,Two,1
vt.uscongress2.4.1821,1821-05,1821,General,"Vermont 1821 U.S. House of Representatives, District 2, Ballot 4",U.S. House of Representatives,ON125,Daniel Kellogg,KD0036,null,null,12,Two,1
vt.uscongress2.4.1821,1821-05,1821,General,"Vermont 1821 U.S. House of Representatives, District 2, Ballot 4",U.S. House of Representatives,ON125,Cephas L. Rockwood,RC0033,null,null,13,Two,1
