election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,candidate_num,overview_vote
vt.uscongress2.7.1821,1821-10,1821,General,"Vermont 1821 U.S. House of Representatives, District 2, Ballot 7",U.S. House of Representatives,ON125,Phineas White,WP0105,Federalist,A01,1,1234
vt.uscongress2.7.1821,1821-10,1821,General,"Vermont 1821 U.S. House of Representatives, District 2, Ballot 7",U.S. House of Representatives,ON125,Mark Richards,RM0056,Republican,A03,2,1046
vt.uscongress2.7.1821,1821-10,1821,General,"Vermont 1821 U.S. House of Representatives, District 2, Ballot 7",U.S. House of Representatives,ON125,James Elliot,EJ0292,Federalist,null,3,71
vt.uscongress2.7.1821,1821-10,1821,General,"Vermont 1821 U.S. House of Representatives, District 2, Ballot 7",U.S. House of Representatives,ON125,"William Hall, Jr.",HW0333,Federalist,null,4,39
vt.uscongress2.7.1821,1821-10,1821,General,"Vermont 1821 U.S. House of Representatives, District 2, Ballot 7",U.S. House of Representatives,ON125,Martin Field,FM0005,null,null,5,29
vt.uscongress2.7.1821,1821-10,1821,General,"Vermont 1821 U.S. House of Representatives, District 2, Ballot 7",U.S. House of Representatives,ON125,Samuel Elliot,ES0058,null,null,6,12
vt.uscongress2.7.1821,1821-10,1821,General,"Vermont 1821 U.S. House of Representatives, District 2, Ballot 7",U.S. House of Representatives,ON125,"Jonathan Hunt, Jr.",HJ0949,null,null,7,7
vt.uscongress2.7.1821,1821-10,1821,General,"Vermont 1821 U.S. House of Representatives, District 2, Ballot 7",U.S. House of Representatives,ON125,Aaron Leland,LA0135,Republican,A03,8,7
vt.uscongress2.7.1821,1821-10,1821,General,"Vermont 1821 U.S. House of Representatives, District 2, Ballot 7",U.S. House of Representatives,ON125,Joseph Elliot,EJ0231,null,null,9,6
vt.uscongress2.7.1821,1821-10,1821,General,"Vermont 1821 U.S. House of Representatives, District 2, Ballot 7",U.S. House of Representatives,ON125,Daniel Kellogg,KD0036,null,null,10,1
vt.uscongress2.7.1821,1821-10,1821,General,"Vermont 1821 U.S. House of Representatives, District 2, Ballot 7",U.S. House of Representatives,ON125,Charles Mann,MC0100,null,null,11,1
