candidate_num,county,election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,vote
1,Orange,vt.uscongress3.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,George E. Wales,WG0119,Republican,A03,622
2,Orange,vt.uscongress3.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,Horace Everett,EH0029,Federalist,A01,173
3,Orange,vt.uscongress3.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,Elias Keyes,KE0050,Republican,A03,4
4,Orange,vt.uscongress3.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,Jabez Delano,DJ0445,null,null,NA
5,Orange,vt.uscongress3.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,Titus Hutchinson,HT0218,null,null,NA
6,Orange,vt.uscongress3.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,Edward Ingalls,IE0010,null,null,NA
7,Orange,vt.uscongress3.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,Moses Haven,HM0113,null,null,NA
8,Orange,vt.uscongress3.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,Aaron Leland,LA0135,null,null,NA
9,Orange,vt.uscongress3.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,Phineas T. Wales,WP0063,null,null,NA
10,Orange,vt.uscongress3.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,Dudley Chase,CD0206,null,null,2
11,Orange,vt.uscongress3.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,Thomas Emmerson,ET0036,null,null,NA
12,Orange,vt.uscongress3.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,William Heaton,HW0226,null,null,2
13,Orange,vt.uscongress3.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,Elihu Luce,LE0070,null,null,NA
14,Orange,vt.uscongress3.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,Joel Black,BJ1083,null,null,NA
15,Orange,vt.uscongress3.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,John Bridge,BJ1087,null,null,NA
16,Orange,vt.uscongress3.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,John Brown,BJ1140,null,null,NA
17,Orange,vt.uscongress3.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,Lebbeus Cheese,CL0043,null,null,1
18,Orange,vt.uscongress3.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,Isaac N. Cushman,CI0014,null,null,NA
19,Orange,vt.uscongress3.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,Rodolphus Dewey,DR0073,null,null,NA
20,Orange,vt.uscongress3.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,Thomas H. Hammond,HT0030,null,null,NA
21,Orange,vt.uscongress3.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,Charles Leavent,LC0050,null,null,NA
22,Orange,vt.uscongress3.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,Samuel C. Loudand,LS0118,null,null,NA
23,Orange,vt.uscongress3.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,Rollin C. Mallory,MR0206,null,null,NA
24,Orange,vt.uscongress3.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,William Nutting,NW0048,null,null,1
25,Orange,vt.uscongress3.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,James Parker,PJ0483,null,null,NA
26,Orange,vt.uscongress3.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,Jonathan Shead,SJ1123,null,null,NA
27,Orange,vt.uscongress3.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,Edward Simons,SE0178,null,null,NA
28,Orange,vt.uscongress3.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,William Thayer,TW0173,null,null,1
29,Orange,vt.uscongress3.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,Ebenezer E. Wales,WE0178,null,null,NA
30,Orange,vt.uscongress3.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,Phineas White,WP0105,null,null,NA
1,Windsor,vt.uscongress3.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,George E. Wales,WG0119,Republican,A03,2141
2,Windsor,vt.uscongress3.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,Horace Everett,EH0029,Federalist,A01,771
3,Windsor,vt.uscongress3.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,Elias Keyes,KE0050,Republican,A03,185
4,Windsor,vt.uscongress3.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,Jabez Delano,DJ0445,null,null,6
5,Windsor,vt.uscongress3.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,Titus Hutchinson,HT0218,null,null,6
6,Windsor,vt.uscongress3.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,Edward Ingalls,IE0010,null,null,4
7,Windsor,vt.uscongress3.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,Moses Haven,HM0113,null,null,3
8,Windsor,vt.uscongress3.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,Aaron Leland,LA0135,null,null,3
9,Windsor,vt.uscongress3.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,Phineas T. Wales,WP0063,null,null,3
10,Windsor,vt.uscongress3.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,Dudley Chase,CD0206,null,null,NA
11,Windsor,vt.uscongress3.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,Thomas Emmerson,ET0036,null,null,2
12,Windsor,vt.uscongress3.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,William Heaton,HW0226,null,null,NA
13,Windsor,vt.uscongress3.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,Elihu Luce,LE0070,null,null,2
14,Windsor,vt.uscongress3.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,Joel Black,BJ1083,null,null,1
15,Windsor,vt.uscongress3.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,John Bridge,BJ1087,null,null,1
16,Windsor,vt.uscongress3.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,John Brown,BJ1140,null,null,1
17,Windsor,vt.uscongress3.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,Lebbeus Cheese,CL0043,null,null,NA
18,Windsor,vt.uscongress3.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,Isaac N. Cushman,CI0014,null,null,1
19,Windsor,vt.uscongress3.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,Rodolphus Dewey,DR0073,null,null,1
20,Windsor,vt.uscongress3.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,Thomas H. Hammond,HT0030,null,null,1
21,Windsor,vt.uscongress3.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,Charles Leavent,LC0050,null,null,1
22,Windsor,vt.uscongress3.1824,1824-09,1824,General,"Vermont 1824 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,Samuel C. Loudand,LS0118,null,null,1
