candidate_num,county,election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,vote
1,Kings,ny.uscongress1.1800,1800,1800,General,"New York 1800 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,John Smith,SJ0689,Republican,A03,338
2,Kings,ny.uscongress1.1800,1800,1800,General,"New York 1800 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,Silas Wood,WS0084,Federalist,A01,238
3,Kings,ny.uscongress1.1800,1800,1800,General,"New York 1800 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,William Denning,DW0080,Republican,A03,NA
4,Kings,ny.uscongress1.1800,1800,1800,General,"New York 1800 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,Benjamin Hunting,HB0116,Republican,A03,NA
5,Kings,ny.uscongress1.1800,1800,1800,General,"New York 1800 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,Ebenezer Purdy,PE0055,Republican,A03,NA
6,Kings,ny.uscongress1.1800,1800,1800,General,"New York 1800 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,John I. Skidmore,SJ0669,Republican,A03,NA
7,Kings,ny.uscongress1.1800,1800,1800,General,"New York 1800 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,Abraham Montfort,MA0107,Republican,A03,NA
8,Kings,ny.uscongress1.1800,1800,1800,General,"New York 1800 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,Joseph Pettit,PJ0298,Republican,A03,NA
9,Kings,ny.uscongress1.1800,1800,1800,General,"New York 1800 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,Johah Hallet,HJ0511,Republican,A03,NA
10,Kings,ny.uscongress1.1800,1800,1800,General,"New York 1800 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,Selah Strong,SS0176,Federalist,A01,NA
1,Queens,ny.uscongress1.1800,1800,1800,General,"New York 1800 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,John Smith,SJ0689,Republican,A03,830
2,Queens,ny.uscongress1.1800,1800,1800,General,"New York 1800 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,Silas Wood,WS0084,Federalist,A01,762
3,Queens,ny.uscongress1.1800,1800,1800,General,"New York 1800 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,William Denning,DW0080,Republican,A03,2
4,Queens,ny.uscongress1.1800,1800,1800,General,"New York 1800 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,Benjamin Hunting,HB0116,Republican,A03,2
5,Queens,ny.uscongress1.1800,1800,1800,General,"New York 1800 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,Ebenezer Purdy,PE0055,Republican,A03,2
6,Queens,ny.uscongress1.1800,1800,1800,General,"New York 1800 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,John I. Skidmore,SJ0669,Republican,A03,1
7,Queens,ny.uscongress1.1800,1800,1800,General,"New York 1800 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,Abraham Montfort,MA0107,Republican,A03,1
8,Queens,ny.uscongress1.1800,1800,1800,General,"New York 1800 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,Joseph Pettit,PJ0298,Republican,A03,1
9,Queens,ny.uscongress1.1800,1800,1800,General,"New York 1800 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,Johah Hallet,HJ0511,Republican,A03,1
10,Queens,ny.uscongress1.1800,1800,1800,General,"New York 1800 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,Selah Strong,SS0176,Federalist,A01,NA
