id,state,year,congress,district
ga.uscongress.upperdistrict.1789,GA,1789,1,3
ga.uscongress.middledistrict.1789,GA,1789,1,2
ga.uscongress.lowerdistrict.1789,GA,1789,1,1
ga.uscongress.SouthernDistrict.1791,GA,1791,2,1
ga.uscongress.MiddleDistrict.1791,GA,1791,2,2
ga.uscongress.NorthernDistrict.1791,GA,1791,2,3
ga.uscongress.1792,GA,1792,3,0
ga.uscongress.special.1792,GA,1792,2,1
ga.uscongress.1795,GA,1795,4,0
ga.uscongress.1796,GA,1796,5,0
ga.uscongress.1798,GA,1798,6,0
ga.uscongress.1800,GA,1800,7,0
ga.uscongress.1801,GA,1801,7,0
ga.specialuscongress1.1802,GA,1802,7,0
ga.uscongress.1802,GA,1802,8,0
ga.specialuscongress2.1802,GA,1802,7,0
ga.uscongress.1803,GA,1803,8,0
ga.uscongress.1804,GA,1804,9,0
ga.specialuscongress1.1806,GA,1806,9,0
ga.specialuscongress2.1806,GA,1806,9,0
ga.uscongress.1806,GA,1806,10,0
ga.uscongress.1808,GA,1808,11,0
ga.uscongress.1810,GA,1810,12,0
ga.uscongress.1812,GA,1812,13,0
ga.uscongress.special.1812,GA,1812,12,0
ga.uscongress.special.1813,GA,1813,13,0
ga.uscongress.1814,GA,1814,14,0
ga.specialuscongress.1816,GA,1816,14,0
ga.uscongress.1816,GA,1816,15,0
ga.uscongress.1818,GA,1818,16,0
ga.uscongress.special1.1819,GA,1819,15,0
ga.uscongress.special2.1819,GA,1819,16,0
ga.uscongress.1820,GA,1820,17,0
ga.uscongress.1822,GA,1822,18,0
ga.uscongress.1824,GA,1824,19,0
ga.uscongress.special.1824,GA,1824,18,0
