id,state,year,congress,district
in.uscongress.1816,IN,1816,15,0
in.uscongress.1817,IN,1817,15,0
in.uscongress.1818,IN,1818,16,0
in.uscongress.1820,IN,1820,17,0
in.usrepresentative.2nd.1822,IN,1822,18,2
in.usrepresentative.3rd.1822,IN,1822,18,3
in.usrepresentative.1st.1822,IN,1822,18,1
in.uscongress.special.1822,IN,1822,17,0
in.usrepresentative.2nd.1824,IN,1824,19,2
in.usrepresentative.1st.special.1824,IN,1824,18,1
in.usrepresentative.1st.1824,IN,1824,19,1
in.usrepresentative.3rd.1824,IN,1824,19,3
