id,state,year,congress,district
ky.uscongresssoutherndistrict.1792,KY,1792,3,1
ky.uscongressnortherndistrict.1792,KY,1792,3,2
ky.uscongresssoutherndistrict.1796,KY,1796,5,1
ky.uscongressnortherndistrict.1796,KY,1796,5,2
ky.uscongresssoutherndistrict.1799,KY,1799,6,1
ky.uscongressnortherndistrict.1799,KY,1799,6,2
ky.uscongressnortherndistrict.1801,KY,1801,7,2
ky.uscongresssoutherndistrict.1801,KY,1801,7,1
ky.uscongress4.1803,KY,1803,8,4
ky.uscongress5.1803,KY,1803,8,5
ky.uscongress2.1803,KY,1803,8,2
ky.uscongress1.1803,KY,1803,8,1
ky.uscongress6.1803,KY,1803,8,6
ky.uscongress3.1803,KY,1803,8,3
ky.uscongress1.1804,KY,1804,9,1
ky.uscongress6.1804,KY,1804,9,6
ky.uscongress2.1804,KY,1804,9,2
ky.uscongress5.1804,KY,1804,9,5
ky.uscongress4.1804,KY,1804,9,4
ky.uscongress3.1804,KY,1804,9,3
ky.uscongress5.1806,KY,1806,10,5
ky.uscongress6.1806,KY,1806,10,6
ky.uscongress1.1806,KY,1806,10,1
ky.uscongress4.1806,KY,1806,10,4
ky.uscongress3.1806,KY,1806,10,3
ky.uscongress2.1806,KY,1806,10,2
ky.uscongress5.1808,KY,1808,11,5
ky.uscongress1.1808,KY,1808,11,1
ky.uscongress6.1808,KY,1808,11,6
ky.uscongress4.1808,KY,1808,11,4
ky.uscongress3.1808,KY,1808,11,3
ky.uscongress2.1808,KY,1808,11,2
ky.uscongress6.1810,KY,1810,12,6
ky.uscongress4.1810,KY,1810,12,4
ky.uscongress3.1810,KY,1810,12,3
ky.uscongress2.1810,KY,1810,12,2
ky.uscongress5.1810,KY,1810,12,5
ky.uscongress5.1810.special,KY,1810,11,5
ky.uscongress1.1810,KY,1810,12,1
ky.uscongress6.1812,KY,1812,13,6
ky.uscongress3.1812,KY,1812,13,3
ky.uscongress2.1812,KY,1812,13,2
ky.uscongress5.1812,KY,1812,13,5
ky.uscongress1.1812,KY,1812,13,1
ky.uscongress10.1812,KY,1812,13,10
ky.uscongress4.1812,KY,1812,13,4
ky.uscongress8.1812,KY,1812,13,8
ky.uscongress7.1812,KY,1812,13,7
ky.uscongress9.1812,KY,1812,13,9
ky.uscongress8.special.1813,KY,1813,13,8
ky.uscongress5.1814,KY,1814,14,5
ky.uscongress4.1814,KY,1814,14,4
ky.specialelectionuscongress2.1814,KY,1814,13,2
ky.uscongress9.1814,KY,1814,14,9
ky.uscongress7.1814,KY,1814,14,7
ky.uscongress2.1814,KY,1814,14,2
ky.uscongress1.1814,KY,1814,14,1
ky.uscongress8.1814,KY,1814,14,8
ky.uscongress10.1814,KY,1814,14,10
ky.uscongress6.1814,KY,1814,14,6
ky.uscongress3.1814,KY,1814,14,3
ky.uscongress2.special.1815,KY,1815,14,2
ky.uscongress10.1816,KY,1816,15,10
ky.uscongress3.1816,KY,1816,15,3
ky.uscongress1.1816,KY,1816,15,1
ky.uscongress4.1816,KY,1816,15,4
ky.specialuscongress1.1816,KY,1816,14,1
ky.uscongress2.1816,KY,1816,15,2
ky.uscongress9.1816,KY,1816,15,9
ky.uscongress5.1816,KY,1816,15,5
ky.uscongress6.1816,KY,1816,15,6
ky.uscongress8.1816,KY,1816,15,8
ky.uscongress7.1816,KY,1816,15,7
ky.uscongress7.1818,KY,1818,16,7
ky.uscongress2.1818,KY,1818,16,2
ky.uscongress5.1818,KY,1818,16,5
ky.uscongress1.1818,KY,1818,16,1
ky.uscongress4.1818,KY,1818,16,4
ky.uscongress6.1818,KY,1818,16,6
ky.uscongress8.1818,KY,1818,16,8
ky.uscongress9.1818,KY,1818,16,9
ky.uscongress10.1818,KY,1818,16,10
ky.uscongress3.1818,KY,1818,16,3
ky.uscongress1.1820,KY,1820,17,1
ky.uscongress8.1820,KY,1820,17,8
ky.uscongress2.1820,KY,1820,17,2
ky.uscongress9.1820,KY,1820,17,9
ky.uscongress10.1820,KY,1820,17,10
ky.uscongress3.1820,KY,1820,17,3
ky.uscongress4.1820,KY,1820,17,4
ky.uscongress6.1820,KY,1820,17,6
ky.uscongress7.1820,KY,1820,17,7
ky.uscongress5.1820,KY,1820,17,5
ky.uscongress8.1821,KY,1821,17,8
ky.uscongress7.1821,KY,1821,17,7
ky.uscongress12.1822,KY,1822,18,12
ky.uscongress11.1822,KY,1822,18,11
ky.uscongress6.1822,KY,1822,18,6
ky.uscongress10.1822,KY,1822,18,10
ky.uscongress5.1822,KY,1822,18,5
ky.uscongress2.1822,KY,1822,18,2
ky.uscongress8.1822,KY,1822,18,8
ky.uscongress3.1822,KY,1822,18,3
ky.uscongress7.1822,KY,1822,18,7
ky.uscongress9.1822,KY,1822,18,9
ky.uscongress4.1822,KY,1822,18,4
ky.uscongress1.1822,KY,1822,18,1
ky.uscongress5.1824,KY,1824,19,5
ky.uscongress1.1824,KY,1824,19,1
ky.uscongress4.1824,KY,1824,19,4
ky.uscongress6.1824,KY,1824,19,6
ky.uscongress9.1824,KY,1824,19,9
ky.uscongress10.1824,KY,1824,19,10
ky.uscongress8.1824,KY,1824,19,8
ky.uscongress2.1824,KY,1824,19,2
ky.uscongress7.1824,KY,1824,19,7
ky.uscongress3.1824,KY,1824,19,3
ky.uscongress11.1824,KY,1824,19,11
ky.uscongress12.1824,KY,1824,19,12
ky.specialcongress3.1825,KY,1825,19,3
ky.uscongress5.1826,KY,1826,19,5
ky.uscongress12.1826,KY,1826,19,12
