id,state,year,congress,district
pa.uscongress4.1796,PA,1796,5,4
pa.uscongress10.1796,PA,1796,5,10
pa.uscongress3.1796,PA,1796,5,3
pa.uscongress5.specialelection.1796,PA,1796,5,5
pa.uscongress9.1796,PA,1796,5,9
pa.uscongress1.1796,PA,1796,5,1
pa.uscongress11.1796,PA,1796,5,11
pa.uscongress12.1796,PA,1796,5,12
pa.uscongress2.1796,PA,1796,5,2
pa.uscongress6.1796,PA,1796,5,6
pa.uscongress5.1796,PA,1796,5,5
pa.uscongress7.1796,PA,1796,5,7
pa.uscongress8.1796,PA,1796,5,8
pa.uscongress11.1800,PA,1800,7,11
pa.uscongress8.1800,PA,1800,7,8
pa.uscongress5.1800,PA,1800,7,5
pa.uscongress7.1800,PA,1800,7,7
pa.uscongress6.1800,PA,1800,7,6
pa.uscongress4.1800,PA,1800,7,4
pa.uscongress3.1800,PA,1800,7,3
pa.uscongress2.1800,PA,1800,7,2
pa.uscongress1.1800,PA,1800,7,1
pa.uscongress9.1800,PA,1800,7,9
pa.uscongress12.1800,PA,1800,7,12
pa.uscongress10.1800,PA,1800,7,10
pa.congress.atlarge.1788,PA,1788,1,1788
pa.uscongress4.1801,PA,1801,7,4
pa.uscongress4.specialelection.1801,PA,1801,7,4
pa.uscongress12.specialelection.1801,PA,1801,7,12
pa.uscongress5.1802,PA,1802,8,5
pa.uscongress9.1802,PA,1802,8,9
pa.uscongress6.1802,PA,1802,8,6
pa.uscongress11.1802,PA,1802,8,11
pa.uscongress1.1802,PA,1802,8,1
pa.uscongress3.1802,PA,1802,8,3
pa.uscongress2.1802,PA,1802,8,2
pa.uscongress10.1802,PA,1802,8,10
pa.uscongress7.1802,PA,1802,8,7
pa.uscongress8.1802,PA,1802,8,8
pa.uscongress4.1802,PA,1802,8,4
pa.special.congress.5.1821,PA,1821,17,5
pa.special.congress.10.1821,PA,1821,17,10
pa.uscongress9.1806,PA,1806,10,9
pa.uscongress6.1806,PA,1806,10,6
pa.uscongress8.1806,PA,1806,10,8
pa.uscongress1.1806,PA,1806,10,1
pa.uscongress1.specialelection.1806,PA,1806,10,1
pa.uscongress11.1806,PA,1806,10,11
pa.uscongress10.1806,PA,1806,10,10
pa.uscongress2.1806,PA,1806,10,2
pa.uscongress5.1806,PA,1806,10,5
pa.uscongress3.1806,PA,1806,10,3
pa.uscongress4.1806,PA,1806,10,4
pa.uscongress7.1806,PA,1806,10,7
pa.uscongress11.1804,PA,1804,9,11
pa.uscongress10.1804,PA,1804,9,10
pa.uscongress7.1804,PA,1804,9,7
pa.uscongress3.1804,PA,1804,9,3
pa.uscongress8.1804,PA,1804,9,8
pa.uscongress5.1804,PA,1804,9,5
pa.uscongress2.1804,PA,1804,9,2
pa.uscongress6.1804,PA,1804,9,6
pa.uscongress9.1804,PA,1804,9,9
pa.uscongress1.1804,PA,1804,9,1
pa.uscongress4.1804,PA,1804,9,4
pa.uscongress5.specialelection.1797,PA,1797,5,5
pa.uscongress10.1798,PA,1798,6,10
pa.uscongress4.special.1798,PA,1798,6,4
pa.uscongress12.1798,PA,1798,6,12
pa.uscongress11.1798,PA,1798,6,11
pa.uscongress3.1798,PA,1798,6,3
pa.uscongress8.1798,PA,1798,6,8
pa.uscongress2.1798,PA,1798,6,2
pa.uscongress9.1798,PA,1798,6,9
pa.uscongress6.1798,PA,1798,6,6
pa.uscongress1.1798,PA,1798,6,1
pa.uscongress1.special.1798,PA,1798,6,1
pa.uscongress4.1798,PA,1798,6,4
pa.uscongress5.1798,PA,1798,6,5
pa.uscongress7.1798,PA,1798,6,7
pa.specialelectionuscongress8.1824,PA,1824,19,8
pa.uscongress8.1810,PA,1810,12,8
pa.uscongress4.1810,PA,1810,12,4
pa.uscongress2.1810,PA,1810,12,2
pa.uscongress5.1810,PA,1810,12,5
pa.uscongress7.1810,PA,1810,12,7
pa.uscongress6.1810,PA,1810,12,6
pa.uscongress11.1810,PA,1810,12,11
pa.uscongress10.1810,PA,1810,12,10
pa.uscongress9.1810,PA,1810,12,9
pa.uscongress3.1810,PA,1810,12,3
pa.uscongress1.1810,PA,1810,12,1
pa.uscongress5.1791,PA,1791,2,5
pa.uscongress8.1791,PA,1791,2,8
pa.uscongress1.1791,PA,1791,2,1
pa.uscongress4.1791,PA,1791,2,4
pa.uscongress7.1791,PA,1791,2,7
pa.uscongress3.1791,PA,1791,2,3
pa.uscongress2.1791,PA,1791,2,2
pa.uscongress6.1791,PA,1791,2,6
pa.uscongress11.specialelection.1805,PA,1805,9,11
pa.uscongress4.specialelection.1805,PA,1805,9,4
pa.uscongress4.1794,PA,1794,4,4
pa.uscongress12.1794,PA,1794,4,12
pa.uscongress5.1794,PA,1794,4,5
pa.uscongress7.1794,PA,1794,4,7
pa.uscongress8.1794,PA,1794,4,8
pa.uscongress6.1794,PA,1794,4,6
pa.uscongress11.1794,PA,1794,4,11
pa.uscongress1.1794,PA,1794,4,1
pa.uscongress3.1794,PA,1794,4,3
pa.uscongress9.1794,PA,1794,4,9
pa.uscongress2.1794,PA,1794,4,2
pa.uscongress10.1794,PA,1794,4,10
pa.congress.cumberlandcounty.1794,PA,1794,4,1794
pa.congress.buckscounty.1794,PA,1794,4,1794
