id,state,year,congress,district
tn.uscongress.1796,TN,1796,5,0
tn.ushouserepresentatives.1797,TN,1797,5,0
tn.congress.1799,TN,1799,6,0
tn.ushouserepresentativespecial.1801,TN,1801,7,0
tn.congress.1801,TN,1801,7,0
tn.congress.1803,TN,1803,8,0
tn.uscongressdistrict3.1805,TN,1805,9,3
tn.congress.hamilton.1805,TN,1805,9,2
tn.congressdistrict1.1805,TN,1805,9,1
tn.congress.hamilton.1807,TN,1807,10,2
tn.congress.mero.1807,TN,1807,10,3
tn.congress.washington.1807,TN,1807,10,1
tn.congress.mero.1809,TN,1809,11,3
tn.congress.hamilton.1809,TN,1809,11,2
tn.congress.washington.1809,TN,1809,11,1
tn.congress.3.1811,TN,1811,12,3
tn.congress.1.1811,TN,1811,12,1
tn.congress.2.1811,TN,1811,12,2
tn.congress.3.1813,TN,1813,13,3
tn.congress.2.1813,TN,1813,13,2
tn.congress.6.1813,TN,1813,13,6
tn.congress.1.1813,TN,1813,13,1
tn.congress.5.1813,TN,1813,13,5
tn.congress.4.1813,TN,1813,13,4
tn.special.congress.5.1814,TN,1814,13,5
tn.congress.6.1815,TN,1815,14,6
tn.congress.3.1815,TN,1815,14,3
tn.congress.2.1815,TN,1815,14,2
tn.congress.4.1815,TN,1815,14,4
tn.congress.1.1815,TN,1815,14,1
tn.congress.5.1815,TN,1815,14,5
tn.special.congress.2.1815,TN,1815,14,2
tn.congress.4.1817,TN,1817,15,4
tn.congress.2.1817,TN,1817,15,2
tn.congress.5.1817,TN,1817,15,5
tn.congress.3.1817,TN,1817,15,3
tn.congress.6.1817,TN,1817,15,6
tn.congress.1.1817,TN,1817,15,1
tn.congress.5.1819,TN,1819,16,5
tn.congress.2.1819,TN,1819,16,2
tn.congress.3.1819,TN,1819,16,3
tn.congress.6.1819,TN,1819,16,6
tn.congress.1.1819,TN,1819,16,1
tn.congress.4.1819,TN,1819,16,4
tn.congress.1.1821,TN,1821,17,1
tn.congress.6.1821,TN,1821,17,6
tn.congress.3.1821,TN,1821,17,3
tn.congress.2.1821,TN,1821,17,2
tn.congress.5.1821,TN,1821,17,5
tn.congress.4.1821,TN,1821,17,4
tn.congress.4th.1823,TN,1823,18,4
tn.congress.8th.1823,TN,1823,18,8
tn.congress.3rd.1823,TN,1823,18,3
tn.congress.7th.1823,TN,1823,18,7
tn.congress.9th.1823,TN,1823,18,9
tn.congress.1st.1823,TN,1823,18,1
tn.congress.6th.1823,TN,1823,18,6
tn.congress.2nd.1823,TN,1823,18,2
tn.congress.5th.1823,TN,1823,18,5
tn.congress.2nd.1825,TN,1825,19,2
tn.congress.8th.1825,TN,1825,19,8
tn.congress.7th.1825,TN,1825,19,7
tn.congress.1st.1825,TN,1825,19,1
tn.congress.5th.1825,TN,1825,19,5
tn.congress.9th.1825,TN,1825,19,9
tn.congress.6th.1825,TN,1825,19,6
tn.congress.4th.1825,TN,1825,19,4
tn.congress.3rd.1825,TN,1825,19,3
