id,state,year,congress,district
vt.uscongress.western.1791,VT,1791,2,1
vt.uscongress.western.secondballot.1791,VT,1791,2,1
vt.uscongress.eastern.1791,VT,1791,2,2
vt.uscongress.western.1793,VT,1793,3,1
vt.uscongress.western.secondballot.1793,VT,1793,3,1
vt.uscongress.eastern.1793,VT,1793,3,2
vt.uscongress.western.1794,VT,1794,4,1
vt.uscongress.eastern.1794,VT,1794,4,2
vt.uscongress.secondballot.westerndistrict.1795,VT,1795,4,1
vt.uscongress.secondballot.easterndistrict.1795,VT,1795,4,2
vt.uscongress.western.1796,VT,1796,5,1
vt.uscongress.2.1796,VT,1796,5,2
vt.uscongress.eastern.1796,VT,1796,5,2
vt.uscongress.western.thirdballot.1797,VT,1797,5,1
vt.uscongress.eastern.special.1797,VT,1797,5,2
vt.uscongress.runoff.western.1798,VT,1798,6,1
vt.uscongress.western.1798,VT,1798,6,1
vt.uscongress.eastern.1798,VT,1798,6,2
vt.uscongress.western.1800,VT,1800,7,1
vt.uscongress.eastern.1800,VT,1800,7,2
vt.congress.eastern.runoff.1800,VT,1800,7,2
vt.uscongress.southwest.1802,VT,1802,8,1
vt.uscongress.southeast.1802,VT,1802,8,2
vt.uscongress.northeast.1802,VT,1802,8,3
vt.uscongress.northwest.1802,VT,1802,8,4
vt.uscongress.southeast.secondballot.1803,VT,1803,8,2
vt.uscongress.northwest.secondballot.1803,VT,1803,8,4
vt.uscongress.northwest.thirdballot.1803,VT,1803,8,4
vt.uscongress.southwest.1804,VT,1804,9,1
vt.uscongress.southeast.1804,VT,1804,9,2
vt.uscongress.southeast.secondballot.1804,VT,1804,9,2
vt.uscongress.northeast.secondballot.1804,VT,1804,9,3
vt.uscongress.northeast.1804,VT,1804,9,3
vt.uscongress.northwest.1804,VT,1804,9,4
vt.uscongress.northeast.3.1805,VT,1805,9,3
vt.uscongress.southeast.secondballot.1808,VT,1808,11,2
vt.uscongress.northwest.secondballot.1808,VT,1808,11,4
vt.uscongress.southwest.1810,VT,1810,12,1
vt.uscongress.southeast.1810,VT,1810,12,2
vt.uscongress.northeast.1810,VT,1810,12,3
vt.uscongress.northwest.1810,VT,1810,12,4
vt.uscongress.1812,VT,1812,13,0
vt.uscongress.1814,VT,1814,14,0
vt.uscongress.1816,VT,1816,15,0
vt.uscongress.1818,VT,1818,16,0
vt.uscongress1.1820,VT,1820,17,1
vt.uscongress2.1820,VT,1820,17,2
vt.uscongress3.1820,VT,1820,17,3
vt.uscongress3.2.1820,VT,1820,17,3
vt.uscongress3.secondballot,VT,1820,17,3
vt.uscongress4.1820,VT,1820,17,4
vt.uscongress5.1820,VT,1820,17,5
vt.uscongress6.1820,VT,1820,17,6
vt.uscongress3.thirdballot.1821,VT,1821,17,3
vt.uscongress.1822,VT,1822,18,0
vt.uscongress.special.1824,VT,1824,18,0
vt.uscongress1.1824,VT,1824,19,1
vt.uscongress2.1824,VT,1824,19,2
vt.uscongress3.1824,VT,1824,19,3
vt.uscongress4.1824,VT,1824,19,4
vt.uscongress5.1824,VT,1824,19,5
