nnv_county,ahcb_county,notes
Abbeville,ABBEVILLE,
Chester,CHESTER,
Chesterfield,CHESTERFIELD,
Clarendon,CLARENDON,
Darlington,DARLINGTON,
Edgefield,EDGEFIELD,
Fairfield,FAIRFIELD,
Greenville,GREENVILLE,
Kershaw,KERSHAW,
Lancaster,LANCASTER,
Laurens,LAURENS,
All Saints,All Saints P.,misspelling
Claremont,CLAREMONT (ext),extinct county
Kingston,KINGSTON (ext),extinct county
Liberty,LIBERTY (ext),
Marlborough,MARLBORO,misspelling
Orange,,data anomaly: election return for extinct county
Pendleton,PENDLETON (ext),extinct county
"Saint George's, Dorcester",St. George-Dor P.,misspelling
Winton,WINTON (ext),extinct county
Winyaw,WINYAW (ext),extinct county
Newberry,NEWBERRY,
Richland,RICHLAND,
Spartanburg,SPARTANBURG,
Union,UNION,
Williamsburg,WILLIAMSBURG,
York,YORK,
