nnv_county,ahcb_county,notes
Allegany,ALLEGANY,
Anne Arundel,ANNE ARUNDEL,
Baltimore,BALTIMORE,
Calvert,CALVERT,
Caroline,CAROLINE,
Cecil,CECIL,
Charles,CHARLES,
Dorchester,DORCHESTER,
Frederick,FREDERICK,
Harford,HARFORD,
Kent,KENT,
Montgomery,,data anomaly: changing variable name over time
Prince George's,,data anomaly: changing variable name over time
Queen Anne's,QUEEN ANNES,
Saint Mary's,ST. MARYS,misspelling
Somerset,SOMERSET,
Talbot,TALBOT,
Washington,WASHINGTON,
Worcester,WORCESTER,
