candidate_num,county,election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,vote
1,Kent,md.assembly.kent.county.1817,1817,1817,General,"Maryland 1817 House of Delegates, Kent County",House of Delegates,ON063,William Knight,KW0024,null,null,488
2,Kent,md.assembly.kent.county.1817,1817,1817,General,"Maryland 1817 House of Delegates, Kent County",House of Delegates,ON063,Thomas B. Hynson,HT0040,null,null,487
3,Kent,md.assembly.kent.county.1817,1817,1817,General,"Maryland 1817 House of Delegates, Kent County",House of Delegates,ON063,John B. Eccleston,EJ0059,null,null,482
4,Kent,md.assembly.kent.county.1817,1817,1817,General,"Maryland 1817 House of Delegates, Kent County",House of Delegates,ON063,George Neal,NG0004,null,null,475
5,Kent,md.assembly.kent.county.1817,1817,1817,General,"Maryland 1817 House of Delegates, Kent County",House of Delegates,ON063,Thomas Whittington,WT0058,null,null,356
6,Kent,md.assembly.kent.county.1817,1817,1817,General,"Maryland 1817 House of Delegates, Kent County",House of Delegates,ON063,Thomas Wilson,WT0046,null,null,167
7,Kent,md.assembly.kent.county.1817,1817,1817,General,"Maryland 1817 House of Delegates, Kent County",House of Delegates,ON063,Benjamin Massey,MB0026,null,null,27
8,Kent,md.assembly.kent.county.1817,1817,1817,General,"Maryland 1817 House of Delegates, Kent County",House of Delegates,ON063,Unit Angier,AU0000,null,null,27
9,Kent,md.assembly.kent.county.1817,1817,1817,General,"Maryland 1817 House of Delegates, Kent County",House of Delegates,ON063,Simon Wickes,WS0069,null,null,21
10,Kent,md.assembly.kent.county.1817,1817,1817,General,"Maryland 1817 House of Delegates, Kent County",House of Delegates,ON063,George W. Wilson,WG0026,null,null,12
11,Kent,md.assembly.kent.county.1817,1817,1817,General,"Maryland 1817 House of Delegates, Kent County",House of Delegates,ON063,Isaac Freeman,FI0001,null,null,9
12,Kent,md.assembly.kent.county.1817,1817,1817,General,"Maryland 1817 House of Delegates, Kent County",House of Delegates,ON063,Joseph Mitchell,MJ0297,null,null,9
13,Kent,md.assembly.kent.county.1817,1817,1817,General,"Maryland 1817 House of Delegates, Kent County",House of Delegates,ON063,Malachi Meeds,MM0018,null,null,6
14,Kent,md.assembly.kent.county.1817,1817,1817,General,"Maryland 1817 House of Delegates, Kent County",House of Delegates,ON063,James E. Barroll,BJ0395,null,null,5
15,Kent,md.assembly.kent.county.1817,1817,1817,General,"Maryland 1817 House of Delegates, Kent County",House of Delegates,ON063,William Graves,GW0042,null,null,4
16,Kent,md.assembly.kent.county.1817,1817,1817,General,"Maryland 1817 House of Delegates, Kent County",House of Delegates,ON063,Richard Barroll,BR0068,null,null,3
17,Kent,md.assembly.kent.county.1817,1817,1817,General,"Maryland 1817 House of Delegates, Kent County",House of Delegates,ON063,James Bowers,BJ0293,null,null,3
18,Kent,md.assembly.kent.county.1817,1817,1817,General,"Maryland 1817 House of Delegates, Kent County",House of Delegates,ON063,Richard S. Thomas,TR0030,null,null,2
19,Kent,md.assembly.kent.county.1817,1817,1817,General,"Maryland 1817 House of Delegates, Kent County",House of Delegates,ON063,William Moffitt,MW0109,null,null,2
20,Kent,md.assembly.kent.county.1817,1817,1817,General,"Maryland 1817 House of Delegates, Kent County",House of Delegates,ON063,William B. Everett,EW0026,null,null,2
21,Kent,md.assembly.kent.county.1817,1817,1817,General,"Maryland 1817 House of Delegates, Kent County",House of Delegates,ON063,David Chambers,CD0223,null,null,1
22,Kent,md.assembly.kent.county.1817,1817,1817,General,"Maryland 1817 House of Delegates, Kent County",House of Delegates,ON063,James MacClean,MJ0343,null,null,1
23,Kent,md.assembly.kent.county.1817,1817,1817,General,"Maryland 1817 House of Delegates, Kent County",House of Delegates,ON063,Henry Tilghman,TH0012,null,null,1
24,Kent,md.assembly.kent.county.1817,1817,1817,General,"Maryland 1817 House of Delegates, Kent County",House of Delegates,ON063,Nathaniel Hynson,HN0008,null,null,1
25,Kent,md.assembly.kent.county.1817,1817,1817,General,"Maryland 1817 House of Delegates, Kent County",House of Delegates,ON063,Cuthbert Hall,HC0044,null,null,1
26,Kent,md.assembly.kent.county.1817,1817,1817,General,"Maryland 1817 House of Delegates, Kent County",House of Delegates,ON063,Thomas Carville,CT0224,null,null,1
27,Kent,md.assembly.kent.county.1817,1817,1817,General,"Maryland 1817 House of Delegates, Kent County",House of Delegates,ON063,Joseph Porter,PJ0020,null,null,1
28,Kent,md.assembly.kent.county.1817,1817,1817,General,"Maryland 1817 House of Delegates, Kent County",House of Delegates,ON063,Josias Gears,GJ0149,null,null,1
29,Kent,md.assembly.kent.county.1817,1817,1817,General,"Maryland 1817 House of Delegates, Kent County",House of Delegates,ON063,William Crane,CW0032,null,null,NA
