candidate_num,county,election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,vote
1,Saint Mary's,md.assembly.saint.marys.county.1821,1821,1821,General,"Maryland 1821 House of Delegates, Saint Mary's County",House of Delegates,ON063,Clement Dorsey,DC0019,Federalist,A01,636
2,Saint Mary's,md.assembly.saint.marys.county.1821,1821,1821,General,"Maryland 1821 House of Delegates, Saint Mary's County",House of Delegates,ON063,John L. Millard,MJ0311,Federalist,A01,592
3,Saint Mary's,md.assembly.saint.marys.county.1821,1821,1821,General,"Maryland 1821 House of Delegates, Saint Mary's County",House of Delegates,ON063,William H. Llewellin,LW0067,Federalist,A01,556
4,Saint Mary's,md.assembly.saint.marys.county.1821,1821,1821,General,"Maryland 1821 House of Delegates, Saint Mary's County",House of Delegates,ON063,Samuel Maddox,MS0048,Federalist,A01,490
5,Saint Mary's,md.assembly.saint.marys.county.1821,1821,1821,General,"Maryland 1821 House of Delegates, Saint Mary's County",House of Delegates,ON063,"John R. Plater, Jr.",PJ0155,Federalist,A01,459
6,Saint Mary's,md.assembly.saint.marys.county.1821,1821,1821,General,"Maryland 1821 House of Delegates, Saint Mary's County",House of Delegates,ON063,George Plater,PG0035,Federalist,A01,375
7,Saint Mary's,md.assembly.saint.marys.county.1821,1821,1821,General,"Maryland 1821 House of Delegates, Saint Mary's County",House of Delegates,ON063,George Thomas,TG0036,Republican,A03,287
8,Saint Mary's,md.assembly.saint.marys.county.1821,1821,1821,General,"Maryland 1821 House of Delegates, Saint Mary's County",House of Delegates,ON063,John Jordan,JJ0092,Republican,A03,227
9,Saint Mary's,md.assembly.saint.marys.county.1821,1821,1821,General,"Maryland 1821 House of Delegates, Saint Mary's County",House of Delegates,ON063,Alexander W. Reeder,RA0015,Federalist,A01,184
10,Saint Mary's,md.assembly.saint.marys.county.1821,1821,1821,General,"Maryland 1821 House of Delegates, Saint Mary's County",House of Delegates,ON063,Charles Massey,MC0023,Federalist,A01,93
