election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,candidate_num,overview_vote
md.assembly.saint.marys.county.1821,1821,1821,General,"Maryland 1821 House of Delegates, Saint Mary's County",House of Delegates,ON063,Clement Dorsey,DC0019,Federalist,A01,1,636
md.assembly.saint.marys.county.1821,1821,1821,General,"Maryland 1821 House of Delegates, Saint Mary's County",House of Delegates,ON063,John L. Millard,MJ0311,Federalist,A01,2,592
md.assembly.saint.marys.county.1821,1821,1821,General,"Maryland 1821 House of Delegates, Saint Mary's County",House of Delegates,ON063,William H. Llewellin,LW0067,Federalist,A01,3,556
md.assembly.saint.marys.county.1821,1821,1821,General,"Maryland 1821 House of Delegates, Saint Mary's County",House of Delegates,ON063,Samuel Maddox,MS0048,Federalist,A01,4,490
md.assembly.saint.marys.county.1821,1821,1821,General,"Maryland 1821 House of Delegates, Saint Mary's County",House of Delegates,ON063,"John R. Plater, Jr.",PJ0155,Federalist,A01,5,459
md.assembly.saint.marys.county.1821,1821,1821,General,"Maryland 1821 House of Delegates, Saint Mary's County",House of Delegates,ON063,George Plater,PG0035,Federalist,A01,6,375
md.assembly.saint.marys.county.1821,1821,1821,General,"Maryland 1821 House of Delegates, Saint Mary's County",House of Delegates,ON063,George Thomas,TG0036,Republican,A03,7,287
md.assembly.saint.marys.county.1821,1821,1821,General,"Maryland 1821 House of Delegates, Saint Mary's County",House of Delegates,ON063,John Jordan,JJ0092,Republican,A03,8,227
md.assembly.saint.marys.county.1821,1821,1821,General,"Maryland 1821 House of Delegates, Saint Mary's County",House of Delegates,ON063,Alexander W. Reeder,RA0015,Federalist,A01,9,184
md.assembly.saint.marys.county.1821,1821,1821,General,"Maryland 1821 House of Delegates, Saint Mary's County",House of Delegates,ON063,Charles Massey,MC0023,Federalist,A01,10,93
