candidate_num,county,election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,vote
1,Somerset,md.assembly.somerset.county.1817,1817,1817,General,"Maryland 1817 House of Delegates, Somerset County",House of Delegates,ON063,Thomas K. Carroll,CT0097,null,null,424
2,Somerset,md.assembly.somerset.county.1817,1817,1817,General,"Maryland 1817 House of Delegates, Somerset County",House of Delegates,ON063,Henry K. Long,LH0009,null,null,396
3,Somerset,md.assembly.somerset.county.1817,1817,1817,General,"Maryland 1817 House of Delegates, Somerset County",House of Delegates,ON063,James Murray,MJ0225,null,null,388
4,Somerset,md.assembly.somerset.county.1817,1817,1817,General,"Maryland 1817 House of Delegates, Somerset County",House of Delegates,ON063,Hampden Haynie,HH0026,null,null,362
5,Somerset,md.assembly.somerset.county.1817,1817,1817,General,"Maryland 1817 House of Delegates, Somerset County",House of Delegates,ON063,Levin R. King,KL0006,null,null,269
6,Somerset,md.assembly.somerset.county.1817,1817,1817,General,"Maryland 1817 House of Delegates, Somerset County",House of Delegates,ON063,George A. Dashiell,DG0017,null,null,2
7,Somerset,md.assembly.somerset.county.1817,1817,1817,General,"Maryland 1817 House of Delegates, Somerset County",House of Delegates,ON063,Josiah W. Heath,HJ0229,null,null,2
8,Somerset,md.assembly.somerset.county.1817,1817,1817,General,"Maryland 1817 House of Delegates, Somerset County",House of Delegates,ON063,Henry K. Carroll,CH0084,null,null,1
9,Somerset,md.assembly.somerset.county.1817,1817,1817,General,"Maryland 1817 House of Delegates, Somerset County",House of Delegates,ON063,John Rider,RJ0108,null,null,1
10,Somerset,md.assembly.somerset.county.1817,1817,1817,General,"Maryland 1817 House of Delegates, Somerset County",House of Delegates,ON063,William Roach,RW0051,null,null,1
11,Somerset,md.assembly.somerset.county.1817,1817,1817,General,"Maryland 1817 House of Delegates, Somerset County",House of Delegates,ON063,Levin Winder,WL0015,null,null,1
