candidate_num,county,election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,vote
1,Armstrong,pa.assembly.armstrongindianajeffersonwestmoreland.1805,1805-10,1805,General,"Pennsylvania 1805 House of Representatives, Armstrong, Indiana, Jefferson, and Westmoreland Counties",House of Representatives,ON064,Henry Allhouse,AH0014,Constitutionalist,A07,524
2,Armstrong,pa.assembly.armstrongindianajeffersonwestmoreland.1805,1805-10,1805,General,"Pennsylvania 1805 House of Representatives, Armstrong, Indiana, Jefferson, and Westmoreland Counties",House of Representatives,ON064,James MacComb,MJ0924,Constitutionalist,A07,516
3,Armstrong,pa.assembly.armstrongindianajeffersonwestmoreland.1805,1805-10,1805,General,"Pennsylvania 1805 House of Representatives, Armstrong, Indiana, Jefferson, and Westmoreland Counties",House of Representatives,ON064,John Sloan,SJ1037,Constitutionalist,A07,511
1,Indiana,pa.assembly.armstrongindianajeffersonwestmoreland.1805,1805-10,1805,General,"Pennsylvania 1805 House of Representatives, Armstrong, Indiana, Jefferson, and Westmoreland Counties",House of Representatives,ON064,Henry Allhouse,AH0014,Constitutionalist,A07,NA
2,Indiana,pa.assembly.armstrongindianajeffersonwestmoreland.1805,1805-10,1805,General,"Pennsylvania 1805 House of Representatives, Armstrong, Indiana, Jefferson, and Westmoreland Counties",House of Representatives,ON064,James MacComb,MJ0924,Constitutionalist,A07,NA
3,Indiana,pa.assembly.armstrongindianajeffersonwestmoreland.1805,1805-10,1805,General,"Pennsylvania 1805 House of Representatives, Armstrong, Indiana, Jefferson, and Westmoreland Counties",House of Representatives,ON064,John Sloan,SJ1037,Constitutionalist,A07,NA
1,Jefferson,pa.assembly.armstrongindianajeffersonwestmoreland.1805,1805-10,1805,General,"Pennsylvania 1805 House of Representatives, Armstrong, Indiana, Jefferson, and Westmoreland Counties",House of Representatives,ON064,Henry Allhouse,AH0014,Constitutionalist,A07,NA
2,Jefferson,pa.assembly.armstrongindianajeffersonwestmoreland.1805,1805-10,1805,General,"Pennsylvania 1805 House of Representatives, Armstrong, Indiana, Jefferson, and Westmoreland Counties",House of Representatives,ON064,James MacComb,MJ0924,Constitutionalist,A07,NA
3,Jefferson,pa.assembly.armstrongindianajeffersonwestmoreland.1805,1805-10,1805,General,"Pennsylvania 1805 House of Representatives, Armstrong, Indiana, Jefferson, and Westmoreland Counties",House of Representatives,ON064,John Sloan,SJ1037,Constitutionalist,A07,NA
1,Westmoreland,pa.assembly.armstrongindianajeffersonwestmoreland.1805,1805-10,1805,General,"Pennsylvania 1805 House of Representatives, Armstrong, Indiana, Jefferson, and Westmoreland Counties",House of Representatives,ON064,Henry Allhouse,AH0014,Constitutionalist,A07,2152
2,Westmoreland,pa.assembly.armstrongindianajeffersonwestmoreland.1805,1805-10,1805,General,"Pennsylvania 1805 House of Representatives, Armstrong, Indiana, Jefferson, and Westmoreland Counties",House of Representatives,ON064,James MacComb,MJ0924,Constitutionalist,A07,2165
3,Westmoreland,pa.assembly.armstrongindianajeffersonwestmoreland.1805,1805-10,1805,General,"Pennsylvania 1805 House of Representatives, Armstrong, Indiana, Jefferson, and Westmoreland Counties",House of Representatives,ON064,John Sloan,SJ1037,Constitutionalist,A07,2155
