candidate_num,county,election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,vote
1,Chester,pa.assembly.chester.1806,1806-10,1806,General,"Pennsylvania 1806 House of Representatives, Chester County",House of Representatives,ON064,James Kelton,KJ0198,Constitutionalist,A07,2437
2,Chester,pa.assembly.chester.1806,1806-10,1806,General,"Pennsylvania 1806 House of Representatives, Chester County",House of Representatives,ON064,Francis Gardner,GF0018,Constitutionalist,A07,2430
3,Chester,pa.assembly.chester.1806,1806-10,1806,General,"Pennsylvania 1806 House of Representatives, Chester County",House of Representatives,ON064,John Boyd,BJ1014,Constitutionalist,A07,2427
4,Chester,pa.assembly.chester.1806,1806-10,1806,General,"Pennsylvania 1806 House of Representatives, Chester County",House of Representatives,ON064,John G. Bull,BJ1041,Constitutionalist,A07,2420
5,Chester,pa.assembly.chester.1806,1806-10,1806,General,"Pennsylvania 1806 House of Representatives, Chester County",House of Representatives,ON064,Methuselah Davis,DM0042,Constitutionalist,A07,2316
6,Chester,pa.assembly.chester.1806,1806-10,1806,General,"Pennsylvania 1806 House of Representatives, Chester County",House of Representatives,ON064,Joseph Park,PJ0450,Republican,A03,2276
7,Chester,pa.assembly.chester.1806,1806-10,1806,General,"Pennsylvania 1806 House of Representatives, Chester County",House of Representatives,ON064,James John,JJ0192,Republican,A03,2251
8,Chester,pa.assembly.chester.1806,1806-10,1806,General,"Pennsylvania 1806 House of Representatives, Chester County",House of Representatives,ON064,John Ramsay,RJ0351,Republican,A03,2239
9,Chester,pa.assembly.chester.1806,1806-10,1806,General,"Pennsylvania 1806 House of Representatives, Chester County",House of Representatives,ON064,James Steel,SJ1070,Republican,A03,2231
10,Chester,pa.assembly.chester.1806,1806-10,1806,General,"Pennsylvania 1806 House of Representatives, Chester County",House of Representatives,ON064,William Harris,HW0325,Republican,A03,2220
