candidate_num,county,election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,vote
1,Northampton,pa.assembly.northamptonwayne.1806,1806-10,1806,General,"Pennsylvania 1806 House of Representatives, Northampton and Wayne Counties",House of Representatives,ON064,William Barnet,BW0282,Constitutionalist,A07,1528
2,Northampton,pa.assembly.northamptonwayne.1806,1806-10,1806,General,"Pennsylvania 1806 House of Representatives, Northampton and Wayne Counties",House of Representatives,ON064,Matthias Gress,GM0049,Constitutionalist,A07,1359
3,Northampton,pa.assembly.northamptonwayne.1806,1806-10,1806,General,"Pennsylvania 1806 House of Representatives, Northampton and Wayne Counties",House of Representatives,ON064,Abraham Rinker,RA0069,Constitutionalist,A07,1325
4,Northampton,pa.assembly.northamptonwayne.1806,1806-10,1806,General,"Pennsylvania 1806 House of Representatives, Northampton and Wayne Counties",House of Representatives,ON064,George Acker,AG0032,Constitutionalist,A07,1211
5,Northampton,pa.assembly.northamptonwayne.1806,1806-10,1806,General,"Pennsylvania 1806 House of Representatives, Northampton and Wayne Counties",House of Representatives,ON064,John Coolbaugh,CJ0712,Republican,A03,877
6,Northampton,pa.assembly.northamptonwayne.1806,1806-10,1806,General,"Pennsylvania 1806 House of Representatives, Northampton and Wayne Counties",House of Representatives,ON064,James Ralston,RJ0376,Republican,A03,853
7,Northampton,pa.assembly.northamptonwayne.1806,1806-10,1806,General,"Pennsylvania 1806 House of Representatives, Northampton and Wayne Counties",House of Representatives,ON064,Jacob Newhart,NJ0109,Republican,A03,842
8,Northampton,pa.assembly.northamptonwayne.1806,1806-10,1806,General,"Pennsylvania 1806 House of Representatives, Northampton and Wayne Counties",House of Representatives,ON064,Jonas Hartzell,HJ0734,Republican,A03,784
9,Northampton,pa.assembly.northamptonwayne.1806,1806-10,1806,General,"Pennsylvania 1806 House of Representatives, Northampton and Wayne Counties",House of Representatives,ON064,Daniel W. Dingman,DD0081,Republican,A03,NA
10,Northampton,pa.assembly.northamptonwayne.1806,1806-10,1806,General,"Pennsylvania 1806 House of Representatives, Northampton and Wayne Counties",House of Representatives,ON064,John Pallet,PJ0440,Republican,A03,NA
11,Northampton,pa.assembly.northamptonwayne.1806,1806-10,1806,General,"Pennsylvania 1806 House of Representatives, Northampton and Wayne Counties",House of Representatives,ON064,Jesse Walker,WJ0704,Republican,A03,NA
12,Northampton,pa.assembly.northamptonwayne.1806,1806-10,1806,General,"Pennsylvania 1806 House of Representatives, Northampton and Wayne Counties",House of Representatives,ON064,Philip Odenwelder,OP0011,Republican,A03,19
