election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,candidate_num,overview_vote
pa.assembly.northamptonwayne.1806,1806-10,1806,General,"Pennsylvania 1806 House of Representatives, Northampton and Wayne Counties",House of Representatives,ON064,William Barnet,BW0282,Constitutionalist,A07,1,1588
pa.assembly.northamptonwayne.1806,1806-10,1806,General,"Pennsylvania 1806 House of Representatives, Northampton and Wayne Counties",House of Representatives,ON064,Matthias Gress,GM0049,Constitutionalist,A07,2,1407
pa.assembly.northamptonwayne.1806,1806-10,1806,General,"Pennsylvania 1806 House of Representatives, Northampton and Wayne Counties",House of Representatives,ON064,Abraham Rinker,RA0069,Constitutionalist,A07,3,1375
pa.assembly.northamptonwayne.1806,1806-10,1806,General,"Pennsylvania 1806 House of Representatives, Northampton and Wayne Counties",House of Representatives,ON064,George Acker,AG0032,Constitutionalist,A07,4,1277
pa.assembly.northamptonwayne.1806,1806-10,1806,General,"Pennsylvania 1806 House of Representatives, Northampton and Wayne Counties",House of Representatives,ON064,John Coolbaugh,CJ0712,Republican,A03,5,1061
pa.assembly.northamptonwayne.1806,1806-10,1806,General,"Pennsylvania 1806 House of Representatives, Northampton and Wayne Counties",House of Representatives,ON064,James Ralston,RJ0376,Republican,A03,6,976
pa.assembly.northamptonwayne.1806,1806-10,1806,General,"Pennsylvania 1806 House of Representatives, Northampton and Wayne Counties",House of Representatives,ON064,Jacob Newhart,NJ0109,Republican,A03,7,968
pa.assembly.northamptonwayne.1806,1806-10,1806,General,"Pennsylvania 1806 House of Representatives, Northampton and Wayne Counties",House of Representatives,ON064,Jonas Hartzell,HJ0734,Republican,A03,8,883
pa.assembly.northamptonwayne.1806,1806-10,1806,General,"Pennsylvania 1806 House of Representatives, Northampton and Wayne Counties",House of Representatives,ON064,Daniel W. Dingman,DD0081,Republican,A03,9,71
pa.assembly.northamptonwayne.1806,1806-10,1806,General,"Pennsylvania 1806 House of Representatives, Northampton and Wayne Counties",House of Representatives,ON064,John Pallet,PJ0440,Republican,A03,10,63
pa.assembly.northamptonwayne.1806,1806-10,1806,General,"Pennsylvania 1806 House of Representatives, Northampton and Wayne Counties",House of Representatives,ON064,Jesse Walker,WJ0704,Republican,A03,11,23
pa.assembly.northamptonwayne.1806,1806-10,1806,General,"Pennsylvania 1806 House of Representatives, Northampton and Wayne Counties",House of Representatives,ON064,Philip Odenwelder,OP0011,Republican,A03,12,19
pa.assembly.northamptonwayne.1806,1806-10,1806,General,"Pennsylvania 1806 House of Representatives, Northampton and Wayne Counties",House of Representatives,ON064,George Palmer,PG0059,Republican,A03,13,19
pa.assembly.northamptonwayne.1806,1806-10,1806,General,"Pennsylvania 1806 House of Representatives, Northampton and Wayne Counties",House of Representatives,ON064,Daniel Shimmer,SD0142,Republican,A03,14,15
pa.assembly.northamptonwayne.1806,1806-10,1806,General,"Pennsylvania 1806 House of Representatives, Northampton and Wayne Counties",House of Representatives,ON064,Daniel Stroud,SD0143,Republican,A03,15,14
