candidate_num,county,election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,vote
1,Philadelphia,pa.assembly.philadelphia.1806,1806-10,1806,General,"Pennsylvania 1806 House of Representatives, Philadelphia County",House of Representatives,ON064,Jacob Shearer,SJ1092,Republican,A03,2521
2,Philadelphia,pa.assembly.philadelphia.1806,1806-10,1806,General,"Pennsylvania 1806 House of Representatives, Philadelphia County",House of Representatives,ON064,James Engle,EJ0177,Republican,A03,2519
3,Philadelphia,pa.assembly.philadelphia.1806,1806-10,1806,General,"Pennsylvania 1806 House of Representatives, Philadelphia County",House of Representatives,ON064,John Thompson,TJ0434,Republican,A03,2478
4,Philadelphia,pa.assembly.philadelphia.1806,1806-10,1806,General,"Pennsylvania 1806 House of Representatives, Philadelphia County",House of Representatives,ON064,Christian Sheetz,SC0129,Republican,A03,2475
5,Philadelphia,pa.assembly.philadelphia.1806,1806-10,1806,General,"Pennsylvania 1806 House of Representatives, Philadelphia County",House of Representatives,ON064,George S. Bensell,BG0117,Republican,A03,2447
6,Philadelphia,pa.assembly.philadelphia.1806,1806-10,1806,General,"Pennsylvania 1806 House of Representatives, Philadelphia County",House of Representatives,ON064,Michael Leib,LM0058,Republican,A03,2316
7,Philadelphia,pa.assembly.philadelphia.1806,1806-10,1806,General,"Pennsylvania 1806 House of Representatives, Philadelphia County",House of Representatives,ON064,Jacob Holgate,HJ0818,Federalist,A01,1652
8,Philadelphia,pa.assembly.philadelphia.1806,1806-10,1806,General,"Pennsylvania 1806 House of Representatives, Philadelphia County",House of Representatives,ON064,Jonathan Roberts,RJ0377,Federalist,A01,1499
9,Philadelphia,pa.assembly.philadelphia.1806,1806-10,1806,General,"Pennsylvania 1806 House of Representatives, Philadelphia County",House of Representatives,ON064,Jacob Coates,CJ0782,Federalist,A01,1494
10,Philadelphia,pa.assembly.philadelphia.1806,1806-10,1806,General,"Pennsylvania 1806 House of Representatives, Philadelphia County",House of Representatives,ON064,Nathan Jones,JN0018,Federalist,A01,1492
11,Philadelphia,pa.assembly.philadelphia.1806,1806-10,1806,General,"Pennsylvania 1806 House of Representatives, Philadelphia County",House of Representatives,ON064,Derick Peterson,PD0073,Federalist,A01,1470
12,Philadelphia,pa.assembly.philadelphia.1806,1806-10,1806,General,"Pennsylvania 1806 House of Representatives, Philadelphia County",House of Representatives,ON064,Joshua Humphreys,HJ0877,Federalist,A01,1440
