election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,candidate_num,district,vote
pa.assembly.philadelphiacity.1805,1805-10,1805,General,"Pennsylvania 1805 House of Representatives, Philadelphia City",House of Representatives,ON064,John Sergeant,SJ1073,Constitutionalist,A07,1,NA,NA
pa.assembly.philadelphiacity.1805,1805-10,1805,General,"Pennsylvania 1805 House of Representatives, Philadelphia City",House of Representatives,ON064,Lawrence Herbert,HL0035,Constitutionalist,A07,2,NA,NA
pa.assembly.philadelphiacity.1805,1805-10,1805,General,"Pennsylvania 1805 House of Representatives, Philadelphia City",House of Representatives,ON064,Joseph Sansom,SJ1074,Constitutionalist,A07,3,NA,NA
pa.assembly.philadelphiacity.1805,1805-10,1805,General,"Pennsylvania 1805 House of Representatives, Philadelphia City",House of Representatives,ON064,Samuel Carver,CS0177,Constitutionalist,A07,4,NA,NA
pa.assembly.philadelphiacity.1805,1805-10,1805,General,"Pennsylvania 1805 House of Representatives, Philadelphia City",House of Representatives,ON064,Joseph Hemphill,HJ0774,Constitutionalist,A07,5,NA,NA
pa.assembly.philadelphiacity.1805,1805-10,1805,General,"Pennsylvania 1805 House of Representatives, Philadelphia City",House of Representatives,ON064,Philip Odenheimer,OP0007,Republican,A03,6,NA,NA
pa.assembly.philadelphiacity.1805,1805-10,1805,General,"Pennsylvania 1805 House of Representatives, Philadelphia City",House of Representatives,ON064,James Pearson,PJ0476,Republican,A03,7,NA,NA
pa.assembly.philadelphiacity.1805,1805-10,1805,General,"Pennsylvania 1805 House of Representatives, Philadelphia City",House of Representatives,ON064,James Sharswood,SJ0999,Republican,A03,8,NA,NA
pa.assembly.philadelphiacity.1805,1805-10,1805,General,"Pennsylvania 1805 House of Representatives, Philadelphia City",House of Representatives,ON064,Hugh Ferguson,FH0026,Republican,A03,9,NA,NA
pa.assembly.philadelphiacity.1805,1805-10,1805,General,"Pennsylvania 1805 House of Representatives, Philadelphia City",House of Representatives,ON064,Jacob Mitchell,MJ0921,Republican,A03,10,NA,NA
pa.assembly.philadelphiacity.1805,1805-10,1805,General,"Pennsylvania 1805 House of Representatives, Philadelphia City",House of Representatives,ON064,Israel Israel,II0000,Constitutionalist,A07,11,NA,NA
