town,state,lat,lon,id,administrative_area_level_3,administrative_area_level_2
Albany,New York,42.6657453,-73.7983532,4581,NA,NA
Alfred,New York,42.2543333,-77.7896461,4584,NA,NA
Amesterdam,New York,42.9415923,-74.1905225,4586,NA,NA
Amsterdam,New York,42.9415923,-74.1905225,4586,NA,NA
Auburn,New York,42.9337096,-76.5673419,4590,NA,NA
Batavia,New York,42.9985582,-78.1808064,4595,NA,NA
Bath,New York,42.3360869,-77.3168523,4596,NA,NA
Brighton,New York,43.1159591674804,-77.57173157,8435,NA,NA
Brooklyn,New York,40.659806,-73.951035,4606,NA,NA
Buffalo,New York,42.8924919,-78.8596862,4608,NA,NA
Canadaigua,New York,42.8889987,-77.2803208,4609,NA,NA
Canandaigua,New York,42.8889987,-77.2803208,4609,NA,NA
Canandaiqua,New York,42.8889987,-77.2803208,4609,NA,NA
Canton,New York,44.5995095,-75.1706714,4611,NA,NA
Casenovia,New York,42.9282682,-75.8501814,4615,NA,NA
Catham,New York,42.36207,-73.599686,4617,NA,NA
Catskill,New York,42.2126036,-73.8599108,4613,NA,NA
Cattskill,New York,42.2126036,-73.8599108,4613,NA,NA
Cazanovia,New York,42.9282682,-75.8501814,4615,NA,NA
Cazenova,New York,42.9282682,-75.8501814,4615,NA,NA
Cazenovia,New York,42.9282682,-75.8501814,4615,NA,NA
Chatham,New York,42.36207,-73.599686,4617,NA,NA
Chester,New York,41.3569422,-74.2769204,4618,NA,NA
Cobelskill,New York,42.6790021,-74.4852336,4621,NA,NA
Coblekill,New York,42.6790021,-74.4852336,4621,NA,NA
Cobleskill,New York,42.6790021,-74.4852336,4621,NA,NA
Colonie,New York,42.7208726,-73.8317359,4625,NA,NA
Corinth,New York,43.2456617,-73.8303482,4626,NA,NA
Cornwall,New York,41.442589,-74.013898,4628,NA,NA
Cortlandt,New York,42.6008656,-76.1791268,4630,NA,NA
Coxackie,New York,42.3576381,-73.8079973,4631,NA,NA
Coxsackie,New York,42.3576381,-73.8079973,4631,NA,NA
Dansville,New York,42.5624825,-77.6969273,4634,NA,NA
Danville,New York,42.5624825,-77.6969273,4634,NA,NA
Delhi,New York,42.2783094,-74.9144211,4635,NA,NA
Florida,New York,41.3306407,-74.3542019,4657,NA,NA
Flushing,New York,40.765722,-73.823662,4659,NA,NA
Frankford,New York,43.0377535,-75.0715825,4661,NA,NA
Frankfort,New York,43.0377535,-75.0715825,4661,NA,NA
Genesco,New York,42.7989933,-77.8095577,4667,NA,NA
Genesee,New York,42.7989933,-77.8095577,4667,NA,NA
Geneseo,New York,42.7989933,-77.8095577,4667,NA,NA
Genesoe,New York,42.7989933,-77.8095577,4667,NA,NA
Goshen,New York,41.4016894,-74.3268127,4673,NA,NA
Gouverneur,New York,44.3365729,-75.4660346,4674,NA,NA
Grandville,New York,43.4134225,-73.270621,4676,NA,NA
Granville,New York,43.4134225,-73.270621,4676,NA,NA
Hamburgh,New York,42.7233954,-78.8348671,4682,NA,NA
Hamilton,New York,42.8284567,-75.553015,4683,NA,NA
Harrison,New York,41.0264443,-73.7237065,4684,NA,NA
Harverstraw,New York,41.1782452,-73.9433312,4686,NA,NA
Harwick,New York,41.2552441,-74.3547216,4861,NA,NA
haverstraw,New York,41.1782452,-73.9433312,4686,NA,NA
Haverstraw,New York,41.1782452,-73.9433312,4686,NA,NA
Hempstead,New York,40.7043737,-73.6194451,4687,NA,NA
Hempsted,New York,40.7043737,-73.6194451,4687,NA,NA
Herkemer,New York,43.0280782,-74.9933058,4688,NA,NA
Herkimer,New York,43.0280782,-74.9933058,4688,NA,NA
Homer,New York,42.6372333,-76.1853767,4691,NA,NA
Hudson,New York,42.2519047,-73.7860284,4696,NA,NA
Jamaica,New York,40.705638,-73.799422,4704,NA,NA
Johnstown,New York,43.0073347,-74.3750646,4707,NA,NA
Kingston,New York,41.9301241,-73.9967823,4711,NA,NA
Lansingburgh,New York,42.784466,-73.669441,4720,NA,NA
Le Roy,New York,42.9780121,-77.9908802,4724,NA,NA
LeRoy,New York,42.9780121,-77.9908802,4724,NA,NA
Liberty,New York,41.7965932,-74.7431951,4726,NA,NA
Lowville,New York,43.7866672,-75.4874165,4734,NA,NA
Malone,New York,44.8482211,-74.2895797,4737,NA,NA
Mamaroneck,New York,40.9344348,-73.726644,4739,NA,NA
Mamoroneck,New York,40.9344348,-73.726644,4739,NA,NA
Manilius,New York,43.0010574,-75.9816331,4740,NA,NA
Manilus,New York,43.0010574,-75.9816331,4740,NA,NA
Manlius,New York,43.0010574,-75.9816331,4740,NA,NA
Manluis,New York,43.0010574,-75.9816331,4740,NA,NA
Massena,New York,44.9290237,-74.8929731,4743,NA,NA
Middleton,New York,41.4449222,-74.4235731,4749,NA,NA
Middletown,New York,41.4449222,-74.4235731,4749,NA,NA
Milton,New York,43.2899412,-77.7925951,4690,NA,NA
Mohawk,New York,43.0093769,-75.0071392,4752,NA,NA
Monroe,New York,41.3203951,-74.1830199,4753,NA,NA
Montgomery,New York,41.5212657,-74.2386611,4755,NA,NA
Munroe,New York,41.3203951,-74.1830199,4753,NA,NA
New Hampstead,New York,41.1457088,-74.0510343,4763,NA,NA
New Hempstead,New York,41.1457088,-74.0510343,4763,NA,NA
New Hempsted,New York,41.1457088,-74.0510343,4763,NA,NA
New Paltz,New York,41.749942,-74.0797377,4765,NA,NA
