town,state,city_state,lat,lon,administrative_area_level_3,administrative_area_level_2,administrative_area_level_1,checked
Addison,Maine,"Addison, Maine",44.6184102,-67.7441645,NA,Washington County,Maine,TRUE
Albany,Maine,"Albany, Maine",44.35405078801056,-70.7351303100586,NA,Carroll County,New Hampshire,TRUE
Alfred,Maine,"Alfred, Maine",43.4764994,-70.7161687,NA,York County,Maine,TRUE
Alma,Maine,"Alma, Maine",44.1061869,-69.6036567,NA,Lincoln County,Maine,TRUE
Anson,Maine,"Anson, Maine",44.7983618,-69.8892408,NA,Somerset County,Maine,TRUE
Arundel,Maine,"Arundel, Maine",43.4243008,-70.5141622,NA,York County,Maine,TRUE
Athens,Maine,"Athens, Maine",44.92311420000001,-69.67282960000001,NA,Somerset County,Maine,TRUE
Atkinson,Maine,"Atkinson, Maine",45.1868588,-69.0910809,NA,Piscataquis County,Maine,TRUE
Avon,Maine,"Avon, Maine",44.788901576337494,-70.2791976928711,NA,Franklin County,Maine,TRUE
Bakerston,Maine,"Bakerston, Maine",44.070073775703484,-70.31318664550781,NA,Androscoggin County,Maine,TRUE
Bakerstown,Maine,"Bakerstown, Maine",44.06193297865353,-70.30975341796875,NA,Androscoggin County,Maine,TRUE
Baldwin,Maine,"Baldwin, Maine",43.81829219999999,-70.7359395,NA,Cumberland County,Maine,TRUE
Ballston,Maine,"Ballston, Maine",44.215186337858206,-69.500885009765625,NA,NA,New York,TRUE
Ballstown,Maine,"Ballstown, Maine",44.213463834743884,-69.49745178222656,NA,NA,Maine,TRUE
Balltown,Maine,"Balltown, Maine",44.21075694234126,-69.50294494628906,NA,Lincoln County,Maine,TRUE
Beaconfield,Maine,"Beaconfield, Maine",43.3999484,-70.6846789,Sanford,York County,Maine,NA
Belgrade,Maine,"Belgrade, Maine",44.468121822715794,-69.8311185836792,NA,Kennebec County,Maine,TRUE
Belmont,Maine,"Belmont, Maine",44.3776275,-69.111907,NA,Waldo County,Maine,TRUE
Berwick,Maine,"Berwick, Maine",43.26831989999999,-70.8635506,NA,York County,Maine,TRUE
Bethel,Maine,"Bethel, Maine",44.4044586,-70.7898806,NA,Oxford County,Maine,TRUE
Bingham,Maine,"Bingham, Maine",45.0586793,-69.88230589999999,NA,Somerset County,Maine,TRUE
Bloomfield,Maine,"Bloomfield, Maine",44.74039314152228,-69.69795227050781,Bar Harbor,Hancock County,Maine,TRUE
Blue Hill,Maine,"Blue Hill, Maine",44.4139662,-68.5866904,NA,Hancock County,Maine,TRUE
Boothbay,Maine,"Boothbay, Maine",43.8762865,-69.6337364,NA,Lincoln County,Maine,TRUE
Bowdoin,Maine,"Bowdoin, Maine",44.0495825,-69.96962429999999,NA,Sagadahoc County,Maine,TRUE
Bowdoinham,Maine,"Bowdoinham, Maine",44.0091821,-69.8968927,NA,Sagadahoc County,Maine,TRUE
Bridgeton,Maine,"Bridgeton, Maine",44.0548021,-70.7128685,NA,Cumberland County,Maine,TRUE
Bridgetown,Maine,"Bridgetown, Maine",44.0548021,-70.7128685,NA,Cumberland County,Maine,TRUE
Bridgton,Maine,"Bridgton, Maine",44.0548021,-70.7128685,NA,Cumberland County,Maine,TRUE
Bristol,Maine,"Bristol, Maine",43.93597831648643,-69.49127197265625,NA,Lincoln County,Maine,TRUE
Brooks,Maine,"Brooks, Maine",44.5503501,-69.120873,NA,Waldo County,Maine,TRUE
Brooksville,Maine,"Brooksville, Maine",44.34699060000001,-68.6847872,NA,Hancock County,Maine,TRUE
Brownfield,Maine,"Brownfield, Maine",43.9381275,-70.9086768,NA,Oxford County,Maine,TRUE
Buckfield,Maine,"Buckfield, Maine",44.2895134,-70.36533589999999,NA,Oxford County,Maine,TRUE
Buckland,Maine,"Buckland, Maine",42.5584017,-72.54176129999999,NA,NA,Massachusetts,NA
Bucksport,Maine,"Bucksport, Maine",44.6289696,-68.7701225,NA,Hancock County,Maine,TRUE
Buckston,Maine,"Buckston, Maine",44.62566377574355,-68.7744140625,NA,York County,Maine,TRUE
Buckstown,Maine,"Buckstown, Maine",44.62566377574355,-68.76617431640625,NA,NA,Maine,TRUE
Butterfield,Maine,"Butterfield, Maine",44.37000528941461,-70.36502838134766,NA,Oxford County,Maine,TRUE
Buxton,Maine,"Buxton, Maine",43.6378583,-70.5189422,NA,York County,Maine,TRUE
Cambden,Maine,"Cambden, Maine",44.2097928,-69.0647838,Camden,Knox County,Maine,TRUE
Camden,Maine,"Camden, Maine",44.2097928,-69.0647838,Camden,Knox County,Maine,TRUE
Canaan,Maine,"Canaan, Maine",44.7617295,-69.56143759999999,NA,Somerset County,Maine,TRUE
Cape Elisabeth,Maine,"Cape Elisabeth, Maine",43.563696,-70.2000467,NA,Cumberland County,Maine,TRUE
Cape Elizabeth,Maine,"Cape Elizabeth, Maine",43.563696,-70.2000467,NA,Cumberland County,Maine,TRUE
Carmel,Maine,"Carmel, Maine",44.7975688,-69.0511537,NA,Penobscot County,Maine,TRUE
Castine,Maine,"Castine, Maine",44.3888609,-68.7989582,NA,Hancock County,Maine,TRUE
Cherryfield,Maine,"Cherryfield, Maine",44.6072991,-67.9258366,NA,Washington County,Maine,TRUE
Chesterville,Maine,"Chesterville, Maine",44.55117449999999,-70.0861692,NA,Franklin County,Maine,TRUE
China,Maine,"China, Maine",44.4786791,-69.51726409999999,NA,Kennebec County,Maine,TRUE
Clinton,Maine,"Clinton, Maine",44.63782800000001,-69.5031267,NA,Kennebec County,Maine,TRUE
Colburnton,Maine,"Colburnton, Maine",44.88859354480099,-68.67193222045898,NA,NA,Maine,TRUE
Columbia,Maine,"Columbia, Maine",44.669418,-67.8039998,NA,Washington County,Maine,TRUE
Corinna,Maine,"Corinna, Maine",44.921174,-69.2617131,NA,Penobscot County,Maine,TRUE
Corinth,Maine,"Corinth, Maine",44.98613210000001,-68.9991802,NA,Penobscot County,Maine,TRUE
Cornish,Maine,"Cornish, Maine",43.80479769999999,-70.8011731,NA,York County,Maine,TRUE
Cornville,Maine,"Cornville, Maine",44.83672720000001,-69.67310669999999,NA,Somerset County,Maine,TRUE
Coxhall,Maine,"Coxhall, Maine",43.52291243104015,-70.6153106689453,NA,NA,Maine,TRUE
Cushing,Maine,"Cushing, Maine",44.01377979999999,-69.2614502,NA,Knox County,Maine,TRUE
Danville,Maine,"Danville, Maine",44.02229639999999,-70.2656097,NA,Androscoggin County,Maine,TRUE
Davistown,Maine,"Davistown, Maine",45.0872748,-70.78562409999999,North Franklin,Franklin County,Maine,TRUE
Dearborn,Maine,"Dearborn, Maine",44.563566525601935,-69.78996276855469,NA,Penobscot County,Maine,TRUE
Deer Island,Maine,"Deer Island, Maine",44.2245068,-68.67778059999999,NA,Hancock County,Maine,TRUE
Deer Isle,Maine,"Deer Isle, Maine",44.2245068,-68.67778059999999,NA,Hancock County,Maine,TRUE
Denmark,Maine,"Denmark, Maine",43.9703491,-70.8033966,NA,Oxford County,Maine,TRUE
Dennisville,Maine,"Dennisville, Maine",44.9288949,-67.26583029999999,NA,Washington County,Maine,TRUE
Dennysville,Maine,"Dennysville, Maine",44.9288949,-67.26583029999999,NA,Washington County,Maine,TRUE
Dexter,Maine,"Dexter, Maine",45.02391799999999,-69.2898156,Dexter,Penobscot County,Maine,TRUE
Dixfield,Maine,"Dixfield, Maine",44.5313932,-70.4563367,NA,Oxford County,Maine,TRUE
Dixmont,Maine,"Dixmont, Maine",44.6803471,-69.1628221,NA,Penobscot County,Maine,TRUE
Dresden,Maine,"Dresden, Maine",44.1070945,-69.7242215,NA,Lincoln County,Maine,TRUE
Duck Trap,Maine,"Duck Trap, Maine",44.284536706018905,-69.03190612792969,NA,NA,Maine,TRUE
Durham,Maine,"Durham, Maine",43.972476,-70.12299050000001,NA,Androscoggin County,Maine,TRUE
East Andover,Maine,"East Andover, Maine",44.6161727,-70.7147916,NA,Oxford County,Maine,TRUE
Eddington,Maine,"Eddington, Maine",44.82658439999999,-68.6935362,NA,Penobscot County,Maine,TRUE
Eden,Maine,"Eden, Maine",44.43091159999999,-68.3208501,Bar Harbor,Hancock County,Maine,TRUE
Edgecomb,Maine,"Edgecomb, Maine",43.9584129,-69.630602,NA,Lincoln County,Maine,TRUE
Edgecombe,Maine,"Edgecombe, Maine",43.9584129,-69.630602,NA,Lincoln County,Maine,TRUE
Elliot,Maine,"Elliot, Maine",43.1531427,-70.8000544,NA,York County,Maine,TRUE
Embden,Maine,"Embden, Maine",44.91811370000001,-69.8667243,NA,Somerset County,Maine,TRUE
Emden,Maine,"Emden, Maine",44.91811370000001,-69.8667243,NA,Somerset County,Maine,TRUE
Exeter,Maine,"Exeter, Maine",44.96218409999999,-69.1225343,NA,Penobscot County,Maine,TRUE
Fairfax,Maine,"Fairfax, Maine",44.52343698529045,-69.44149017333984,NA,Penobscot County,Maine,TRUE
Farmington,Maine,"Farmington, Maine",44.67049979999999,-70.1512169,Farmington,Franklin County,Maine,TRUE
Fayette,Maine,"Fayette, Maine",44.4089558,-70.0336654,NA,Kennebec County,Maine,TRUE
Foxcroft,Maine,"Foxcroft, Maine",45.20115109972014,-69.2303466796875,Houlton Town,Aroostook County,Maine,TRUE
Francisboro,Maine,"Francisboro, Maine",43.805792065273735,-70.811004638671875,NA,NA,Maine,TRUE
Frankfurt,Maine,"Frankfurt, Maine",44.6086733,-68.87446349999999,NA,Waldo County,Maine,TRUE
Freedom,Maine,"Freedom, Maine",44.5298272,-69.2967536,NA,Waldo County,Maine,TRUE
Freeman,Maine,"Freeman, Maine",44.86316961763613,-70.25550842285156,NA,Cumberland County,Maine,TRUE
Freeport,Maine,"Freeport, Maine",43.8570065,-70.1031201,Freeport,Cumberland County,Maine,TRUE
Friendship,Maine,"Friendship, Maine",43.9838019,-69.3341229,NA,Knox County,Maine,TRUE
Fryburgh,Maine,"Fryburgh, Maine",44.0164329,-70.9806357,NA,Oxford County,Maine,TRUE
Fryeburgh,Maine,"Fryeburgh, Maine",44.0164329,-70.9806357,NA,Oxford County,Maine,TRUE
Garland,Maine,"Garland, Maine",45.0383951,-69.1603205,NA,Penobscot County,Maine,TRUE
Georgetown,Maine,"Georgetown, Maine",43.8021196,-69.752359,NA,Sagadahoc County,Maine,TRUE
Gilead,Maine,"Gilead, Maine",44.39409149999999,-70.97271119999999,NA,Oxford County,Maine,TRUE
Goldboro,Maine,"Goldboro, Maine",44.47852,-68.039543,NA,Hancock County,Maine,TRUE
Goldsboro,Maine,"Goldsboro, Maine",44.47852,-68.039543,NA,Hancock County,Maine,TRUE
Gouldsboro,Maine,"Gouldsboro, Maine",44.47852,-68.039543,NA,Hancock County,Maine,TRUE
Gouldsborough,Maine,"Gouldsborough, Maine",44.47852,-68.039543,NA,Hancock County,Maine,TRUE
Gray,Maine,"Gray, Maine",43.885632,-70.33171949999999,NA,Cumberland County,Maine,TRUE
Green,Maine,"Green, Maine",44.189794,-70.14033119999999,NA,Androscoggin County,Maine,TRUE
Greene,Maine,"Greene, Maine",44.189794,-70.14033119999999,NA,Androscoggin County,Maine,TRUE
Greenwood,Maine,"Greenwood, Maine",44.3184011,-70.6508978,NA,Oxford County,Maine,TRUE
Guilford,Maine,"Guilford, Maine",45.1689375,-69.3844783,NA,Piscataquis County,Maine,TRUE
Hallis,Maine,"Hallis, Maine",43.6346754,-70.62089739999999,NA,York County,Maine,TRUE
Hampden,Maine,"Hampden, Maine",44.7445421,-68.8370436,Hampden,Penobscot County,Maine,TRUE
Hancock,Maine,"Hancock, Maine",44.5291357,-68.2537463,NA,Hancock County,Maine,NA
Harlem,Maine,"Harlem, Maine",44.451918357043986,-69.50569152832031,Maine Township,Cook County,Illinois,TRUE
Harmony,Maine,"Harmony, Maine",44.9739462,-69.5461603,NA,Somerset County,Maine,TRUE
Harpswell,Maine,"Harpswell, Maine",43.78447981381514,-69.998016357421875,NA,Cumberland County,Maine,TRUE
Harrington,Maine,"Harrington, Maine",44.6193327,-67.8109953,NA,Washington County,Maine,TRUE
Harrison,Maine,"Harrison, Maine",44.1103479,-70.6792289,NA,Cumberland County,Maine,TRUE
Harriston,Maine,"Harriston, Maine",44.1103479,-70.6792289,NA,Cumberland County,Maine,TRUE
Hartford,Maine,"Hartford, Maine",44.372845,-70.346726,NA,Oxford County,Maine,TRUE
Hebron,Maine,"Hebron, Maine",44.1981261,-70.4064465,NA,Oxford County,Maine,TRUE
Hermon,Maine,"Hermon, Maine",44.81007,-68.9133724,NA,Penobscot County,Maine,TRUE
Hiram,Maine,"Hiram, Maine",43.83506269999999,-70.8322512,NA,Oxford County,Maine,TRUE
Hiram Plantation,Maine,"Hiram Plantation, Maine",43.83452678223682,-70.828857421875,NA,Oxford County,Maine,TRUE
Hollis,Maine,"Hollis, Maine",43.6346754,-70.62089739999999,NA,York County,Maine,TRUE
Holmanstown,Maine,"Holmanstown, Maine",44.55842953117594,-70.55660247802734,NA,NA,Maine,TRUE
Hope,Maine,"Hope, Maine",44.2650248,-69.15894209999999,NA,Knox County,Maine,TRUE
Ilseborough,Maine,"Ilseborough, Maine",44.29388549999999,-68.9085778,NA,Waldo County,Maine,TRUE
Industry,Maine,"Industry, Maine",44.7473347,-70.0599702,NA,Franklin County,Maine,TRUE
Isleboro,Maine,"Isleboro, Maine",44.29388549999999,-68.9085778,NA,Waldo County,Maine,TRUE
Isleborough,Maine,"Isleborough, Maine",44.29388549999999,-68.9085778,NA,Waldo County,Maine,TRUE
Islesboro,Maine,"Islesboro, Maine",44.29388549999999,-68.9085778,NA,Waldo County,Maine,TRUE
Islesborough,Maine,"Islesborough, Maine",44.29388549999999,-68.9085778,NA,Waldo County,Maine,TRUE
Jackson,Maine,"Jackson, Maine",44.6147933,-69.1208748,NA,Waldo County,Maine,TRUE
Janesborough,Maine,"Janesborough, Maine",44.6625773,-67.5724938,NA,Washington County,Maine,TRUE
Jay,Maine,"Jay, Maine",44.5039265,-70.2161924,NA,Franklin County,Maine,TRUE
Jefferson,Maine,"Jefferson, Maine",44.2067419,-69.4525443,NA,Lincoln County,Maine,TRUE
Jonesboro,Maine,"Jonesboro, Maine",44.6625773,-67.5724938,NA,Washington County,Maine,TRUE
Jonesborough,Maine,"Jonesborough, Maine",44.6625773,-67.5724938,NA,Washington County,Maine,TRUE
