id,town,county,state,ccd_id,lat,lon,me_town_id
va.electors.2.1796,Williamsburg,NA,Virginia,7035,37.269293,-76.7067172,ME-VA0005
va.electors.1800,Richmond,Henrico,Virginia,7014,37.531399,-77.4760085,ME-VA0004
va.electors.1800,Williamsburg,NA,Virginia,7035,37.269293,-76.7067172,ME-VA0005
va.congress.3.1823,Petersburg,NA,Virginia,7004,37.2047302,-77.3923681,ME-VA0003
va.congress.8.1823,Williamsburg,NA,Virginia,7035,37.269293,-76.7067172,ME-VA0005
va.houseofdelegates.williamsburgcity.1823,Williamsburg,NA,Virginia,7035,37.269293,-76.7067172,ME-VA0005
va.statesenate.1.1.special.1823,Petersburg,NA,Virginia,7004,37.2047302,-77.3923681,ME-VA0003
va.statesenate.1.3.special.1823,Richmond,NA,Virginia,7014,37.531399,-77.4760085,ME-VA0004
va.statesenate.1.3.special.1823,Williamsburg,NA,Virginia,7035,37.269293,-76.7067172,ME-VA0005
va.congress.9.1823,Richmond,Henrico,Virginia,7014,37.531399,-77.4760085,ME-VA0004
va.houseofdelegates.richmondcity.1817,Richmond,NA,Virginia,7014,37.531399,-77.4760085,ME-VA0004
va.uscongress.13.1817,Williamsburg,NA,Virginia,7035,37.269293,-76.7067172,ME-VA0005
va.uscongress.23.1817,Richmond,Henrico,Virginia,7014,37.531399,-77.4760085,ME-VA0004
va.statesenate.1.4.special.1817,Richmond,Henrico,Virginia,7014,37.531399,-77.4760085,ME-VA0004
va.uscongress.13.1813,Williamsburg,NA,Virginia,7035,37.269293,-76.7067172,ME-VA0005
va.uscongress.23.1813,Richmond,Henrico,Virginia,7014,37.531399,-77.4760085,ME-VA0004
va.houseofdelegates.richmondcity.1807,Richmond,NA,Virginia,7014,37.531399,-77.4760085,ME-VA0004
va.uscongress.12.1807,Williamsburg,NA,Virginia,7035,37.269293,-76.7067172,ME-VA0005
va.uscongress.22.1807,Richmond,Henrico,Virginia,7014,37.531399,-77.4760085,ME-VA0004
va.presidential.1820,Richmond,Henrico,Virginia,7014,37.531399,-77.4760085,ME-VA0004
va.presidential.1820,Petersburg,Prince George,Virginia,7004,37.2047302,-77.3923681,ME-VA0003
va.presidential.1820,Williamsburg,NA,Virginia,7035,37.269293,-76.7067172,ME-VA0005
va.uscongress.12.1801,Williamsburg,NA,Virginia,7035,37.269293,-76.7067172,ME-VA0005
va.statesenate.1.3.1802,Williamsburg,NA,Virginia,7035,37.269293,-76.7067172,ME-VA0005
va.houseofdelegates.richmondcity.1802,Richmond,NA,Virginia,7014,37.531399,-77.4760085,ME-VA0004
va.statesenate.1.4.1802,Richmond,NA,Virginia,7014,37.531399,-77.4760085,ME-VA0004
va.houseofdelegates.richmondcity.1821,Richmond,NA,Virginia,7014,37.531399,-77.4760085,ME-VA0004
va.uscongress.23.1821,Richmond City,Henrico,Virginia,7014,37.531399,-77.4760085,ME-VA0004
va.uscongress.13.1821,Williamsburg,NA,Virginia,7035,37.269293,-76.7067172,ME-VA0005
va.houseofdelegates.petersburg.1821,Petersburg,NA,Virginia,7004,37.2047302,-77.3923681,ME-VA0003
va.uscongress.19.1821,Petersburg,Prince George,Virginia,7004,37.2047302,-77.3923681,ME-VA0003
va.statesenate.1.3.special.1821,Richmond,Henrico,Virginia,7014,37.531399,-77.4760085,ME-VA0004
va.statesenate.1.3.special.1821,Williamsburg,NA,Virginia,7035,37.269293,-76.7067172,ME-VA0005
va.statesenate.1.4.1806,Richmond,Henrico,Virginia,7014,37.531399,-77.4760085,ME-VA0004
va.statesenate.1.3.1806,Williamsburg,NA,Virginia,7035,37.269293,-76.7067172,ME-VA0005
va.houseofdelegates.richmondcity.1812,Richmond,NA,Virginia,7014,37.531399,-77.4760085,ME-VA0004
va.presidential.1812,Richmond,Henrico,Virginia,7014,37.531399,-77.4760085,ME-VA0004
va.presidential.1812,Williamsburg,NA,Virginia,7035,37.269293,-76.7067172,ME-VA0005
va.uscongress.13.1815,Williamsburg,NA,Virginia,7035,37.269293,-76.7067172,ME-VA0005
va.houseofdelegates.richmondcity.1815,Richmond,NA,Virginia,7014,37.531399,-77.4760085,ME-VA0004
va.houseofdelegates.petersburg.1822,Petersburg,NA,Virginia,7004,37.2047302,-77.3923681,ME-VA0003
va.statesenate.1.3.1822,Richmond,Henrico,Virginia,7014,37.531399,-77.4760085,ME-VA0004
va.statesenate.1.3.1822,Williamsburg,NA,Virginia,7035,37.269293,-76.7067172,ME-VA0005
va.houseofdelegates.richmondcity.1822,Richmond,NA,Virginia,7014,37.531399,-77.4760085,ME-VA0004
va.houseofdelegates.williamsburgcity.1822,Williamsburg,NA,Virginia,7035,37.269293,-76.7067172,ME-VA0005
va.statesenate.1.1.1822,Petersburg,NA,Virginia,7004,37.2047302,-77.3923681,ME-VA0003
va.houseofdelegates.richmondcity.1804,Richmond,NA,Virginia,7014,37.531399,-77.4760085,ME-VA0004
va.president.1804,Richmond,Henrico,Virginia,7014,37.531399,-77.4760085,ME-VA0004
va.president.1804,Williamsburg,NA,Virginia,7035,37.269293,-76.7067172,ME-VA0005
va.uscongress.23.special.1816,Richmond,Henrico,Virginia,7014,37.531399,-77.4760085,ME-VA0004
va.houseofdelegates.petersburgcity.1816,Petersburg,NA,Virginia,7004,37.2047302,-77.3923681,ME-VA0003
va.presidential.1816,Richmond,Henrico,Virginia,7014,37.531399,-77.4760085,ME-VA0004
va.presidential.1816,Petersburg,Prince George,Virginia,7004,37.2047302,-77.3923681,ME-VA0003
va.presidential.1816,Williamsburg,NA,Virginia,7035,37.269293,-76.7067172,ME-VA0005
va.houseofdelegates.richmondcity.1816,Richmond,NA,Virginia,7014,37.531399,-77.4760085,ME-VA0004
va.houseofdelegates.richmondcity.1808,Richmond,NA,Virginia,7014,37.531399,-77.4760085,ME-VA0004
va.presidential.1808,Williamsburg,NA,Virginia,7035,37.269293,-76.7067172,ME-VA0005
va.commoncouncil.richmondcity.jefferson.1814,Richmond,NA,Virginia,7014,37.531399,-77.4760085,ME-VA0004
va.electors.1824,Petersburg,NA,Virginia,7004,37.2047302,-77.3923681,ME-VA0003
va.electors.1824,Richmond,NA,Virginia,7014,37.531399,-77.4760085,ME-VA0004
va.electors.1824,Williamsburg,NA,Virginia,7035,37.269293,-76.7067172,ME-VA0005
va.convention.1824,Richmond,Henrico,Virginia,7014,37.531399,-77.4760085,ME-VA0004
va.convention.1824,Petersburg,NA,Virginia,7004,37.2047302,-77.3923681,ME-VA0003
va.commoncouncil.richmondcity.madison.1814,Richmond,NA,Virginia,7014,37.531399,-77.4760085,ME-VA0004
