election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,candidate_num,overview_vote
ct.congress.1796,1796-09,1796,General,Connecticut 1796 U.S. House of Representatives,U.S. House of Representatives,ON125,Uriah Tracy,TU0002,Federalist,A01,1,2494
ct.congress.1796,1796-09,1796,General,Connecticut 1796 U.S. House of Representatives,U.S. House of Representatives,ON125,Roger Griswold,GR0000,Federalist,A01,2,2403
ct.congress.1796,1796-09,1796,General,Connecticut 1796 U.S. House of Representatives,U.S. House of Representatives,ON125,Joshua Coit,CJ0025,Federalist,A01,3,2199
ct.congress.1796,1796-09,1796,General,Connecticut 1796 U.S. House of Representatives,U.S. House of Representatives,ON125,Zephaniah Swift,SZ0000,Federalist,A01,4,2176
ct.congress.1796,1796-09,1796,General,Connecticut 1796 U.S. House of Representatives,U.S. House of Representatives,ON125,Nathaniel Smith,SN0000,Federalist,A01,5,2153
ct.congress.1796,1796-09,1796,General,Connecticut 1796 U.S. House of Representatives,U.S. House of Representatives,ON125,Chauncey Goodrich,GC0000,Federalist,A01,6,1763
ct.congress.1796,1796-09,1796,General,Connecticut 1796 U.S. House of Representatives,U.S. House of Representatives,ON125,Samuel W. Dana,DS0003,Federalist,A01,7,1363
ct.congress.1796,1796-09,1796,General,Connecticut 1796 U.S. House of Representatives,U.S. House of Representatives,ON125,James Davenport,DJ0006,Federalist,A01,8,1117
ct.congress.1796,1796-09,1796,General,Connecticut 1796 U.S. House of Representatives,U.S. House of Representatives,ON125,David Daggett,DD0000,Federalist,A01,9,846
ct.congress.1796,1796-09,1796,General,Connecticut 1796 U.S. House of Representatives,U.S. House of Representatives,ON125,John Allen,AJ0006,Federalist,A01,10,604
ct.congress.1796,1796-09,1796,General,Connecticut 1796 U.S. House of Representatives,U.S. House of Representatives,ON125,William Edmond,EW0001,Federalist,A01,11,600
ct.congress.1796,1796-09,1796,General,Connecticut 1796 U.S. House of Representatives,U.S. House of Representatives,ON125,Jonathan Treadwell,TJ0009,Federalist,A01,12,492
ct.congress.1796,1796-09,1796,General,Connecticut 1796 U.S. House of Representatives,U.S. House of Representatives,ON125,Gideon Granger,GG0000,Federalist,A01,13,403
