candidate_num,county,election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,vote
1,Bullitt,ky.uscongress8.1814,1814,1814,General,"Kentucky 1814 U.S. House of Representatives, District 8",U.S. House of Representatives,ON125,Stephen Ormsby,OS0002,null,null,NA
2,Bullitt,ky.uscongress8.1814,1814,1814,General,"Kentucky 1814 U.S. House of Representatives, District 8",U.S. House of Representatives,ON125,James Moore,MJ0155,null,null,NA
3,Bullitt,ky.uscongress8.1814,1814,1814,General,"Kentucky 1814 U.S. House of Representatives, District 8",U.S. House of Representatives,ON125,John Mavity,MJ0162,null,null,NA
NA,Bullitt,ky.uscongress8.1814,1814,1814,General,"Kentucky 1814 U.S. House of Representatives, District 8",U.S. House of Representatives,ON125,NA,NA,NA,NA,NA
1,Henry,ky.uscongress8.1814,1814,1814,General,"Kentucky 1814 U.S. House of Representatives, District 8",U.S. House of Representatives,ON125,Stephen Ormsby,OS0002,null,null,NA
2,Henry,ky.uscongress8.1814,1814,1814,General,"Kentucky 1814 U.S. House of Representatives, District 8",U.S. House of Representatives,ON125,James Moore,MJ0155,null,null,NA
3,Henry,ky.uscongress8.1814,1814,1814,General,"Kentucky 1814 U.S. House of Representatives, District 8",U.S. House of Representatives,ON125,John Mavity,MJ0162,null,null,NA
NA,Henry,ky.uscongress8.1814,1814,1814,General,"Kentucky 1814 U.S. House of Representatives, District 8",U.S. House of Representatives,ON125,NA,NA,NA,NA,NA
1,Jefferson,ky.uscongress8.1814,1814,1814,General,"Kentucky 1814 U.S. House of Representatives, District 8",U.S. House of Representatives,ON125,Stephen Ormsby,OS0002,null,null,NA
2,Jefferson,ky.uscongress8.1814,1814,1814,General,"Kentucky 1814 U.S. House of Representatives, District 8",U.S. House of Representatives,ON125,James Moore,MJ0155,null,null,NA
3,Jefferson,ky.uscongress8.1814,1814,1814,General,"Kentucky 1814 U.S. House of Representatives, District 8",U.S. House of Representatives,ON125,John Mavity,MJ0162,null,null,NA
NA,Jefferson,ky.uscongress8.1814,1814,1814,General,"Kentucky 1814 U.S. House of Representatives, District 8",U.S. House of Representatives,ON125,NA,NA,NA,NA,NA
1,Shelby,ky.uscongress8.1814,1814,1814,General,"Kentucky 1814 U.S. House of Representatives, District 8",U.S. House of Representatives,ON125,Stephen Ormsby,OS0002,null,null,NA
2,Shelby,ky.uscongress8.1814,1814,1814,General,"Kentucky 1814 U.S. House of Representatives, District 8",U.S. House of Representatives,ON125,James Moore,MJ0155,null,null,NA
3,Shelby,ky.uscongress8.1814,1814,1814,General,"Kentucky 1814 U.S. House of Representatives, District 8",U.S. House of Representatives,ON125,John Mavity,MJ0162,null,null,NA
NA,Shelby,ky.uscongress8.1814,1814,1814,General,"Kentucky 1814 U.S. House of Representatives, District 8",U.S. House of Representatives,ON125,NA,NA,NA,NA,NA
