candidate_num,county,election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,vote
1,Cumberland,ma.uscongress.eastern.3.special.1801,1801-06,1801,Special,"Massachusetts 1801 U.S. House of Representatives, District Eastern 3, Special",U.S. House of Representatives,ON125,Richard Cutts,CR0035,Republican,A03,24
2,Cumberland,ma.uscongress.eastern.3.special.1801,1801-06,1801,Special,"Massachusetts 1801 U.S. House of Representatives, District Eastern 3, Special",U.S. House of Representatives,ON125,John Lord,LJ0185,null,null,16
3,Cumberland,ma.uscongress.eastern.3.special.1801,1801-06,1801,Special,"Massachusetts 1801 U.S. House of Representatives, District Eastern 3, Special",U.S. House of Representatives,ON125,Benjamin Greene,GB0020,null,null,15
4,Cumberland,ma.uscongress.eastern.3.special.1801,1801-06,1801,Special,"Massachusetts 1801 U.S. House of Representatives, District Eastern 3, Special",U.S. House of Representatives,ON125,Prentiss Mullen,MP0060,null,null,NA
5,Cumberland,ma.uscongress.eastern.3.special.1801,1801-06,1801,Special,"Massachusetts 1801 U.S. House of Representatives, District Eastern 3, Special",U.S. House of Representatives,ON125,Moses Sweat,SM0011,null,null,NA
1,York,ma.uscongress.eastern.3.special.1801,1801-06,1801,Special,"Massachusetts 1801 U.S. House of Representatives, District Eastern 3, Special",U.S. House of Representatives,ON125,Richard Cutts,CR0035,Republican,A03,611
2,York,ma.uscongress.eastern.3.special.1801,1801-06,1801,Special,"Massachusetts 1801 U.S. House of Representatives, District Eastern 3, Special",U.S. House of Representatives,ON125,John Lord,LJ0185,null,null,378
3,York,ma.uscongress.eastern.3.special.1801,1801-06,1801,Special,"Massachusetts 1801 U.S. House of Representatives, District Eastern 3, Special",U.S. House of Representatives,ON125,Benjamin Greene,GB0020,null,null,99
4,York,ma.uscongress.eastern.3.special.1801,1801-06,1801,Special,"Massachusetts 1801 U.S. House of Representatives, District Eastern 3, Special",U.S. House of Representatives,ON125,Prentiss Mullen,MP0060,null,null,11
5,York,ma.uscongress.eastern.3.special.1801,1801-06,1801,Special,"Massachusetts 1801 U.S. House of Representatives, District Eastern 3, Special",U.S. House of Representatives,ON125,Moses Sweat,SM0011,null,null,5
