election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,candidate_num,overview_vote
nh.uscongress.1790,1790-08,1790,General,New Hampshire 1790 U.S. House of Representatives,U.S. House of Representatives,ON125,Samuel Livermore,LS0047,Federalist,A01,1,3585
nh.uscongress.1790,1790-08,1790,General,New Hampshire 1790 U.S. House of Representatives,U.S. House of Representatives,ON125,Jeremiah Smith,SJ0471,Federalist,A01,2,1876
nh.uscongress.1790,1790-08,1790,General,New Hampshire 1790 U.S. House of Representatives,U.S. House of Representatives,ON125,Nicholas Gilman,GN0015,null,null,3,1681
nh.uscongress.1790,1790-08,1790,General,New Hampshire 1790 U.S. House of Representatives,U.S. House of Representatives,ON125,John Samuel Sherburne,SJ0474,null,null,4,1591
nh.uscongress.1790,1790-08,1790,General,New Hampshire 1790 U.S. House of Representatives,U.S. House of Representatives,ON125,Abiel Foster,FA0029,Federalist,A01,5,1213
nh.uscongress.1790,1790-08,1790,General,New Hampshire 1790 U.S. House of Representatives,U.S. House of Representatives,ON125,James Sheafe,SJ0463,Federalist,A01,6,1111
nh.uscongress.1790,1790-08,1790,General,New Hampshire 1790 U.S. House of Representatives,U.S. House of Representatives,ON125,Nathaniel Peabody,PN0034,null,null,7,1002
nh.uscongress.1790,1790-08,1790,General,New Hampshire 1790 U.S. House of Representatives,U.S. House of Representatives,ON125,Phillips White,WP0055,null,null,8,NA
nh.uscongress.1790,1790-08,1790,General,New Hampshire 1790 U.S. House of Representatives,U.S. House of Representatives,ON125,William Page,PW0114,null,null,9,NA
nh.uscongress.1790,1790-08,1790,General,New Hampshire 1790 U.S. House of Representatives,U.S. House of Representatives,ON125,Benjamin Bellows,BB0023,null,null,10,NA
nh.uscongress.1790,1790-08,1790,General,New Hampshire 1790 U.S. House of Representatives,U.S. House of Representatives,ON125,Joshua Atherton,AJ0151,null,null,11,NA
nh.uscongress.1790,1790-08,1790,General,New Hampshire 1790 U.S. House of Representatives,U.S. House of Representatives,ON125,Simon Olcott,OS0017,Federalist,A01,12,NA
nh.uscongress.1790,1790-08,1790,General,New Hampshire 1790 U.S. House of Representatives,U.S. House of Representatives,ON125,Amos Cogswell,CA0016,null,null,13,NA
nh.uscongress.1790,1790-08,1790,General,New Hampshire 1790 U.S. House of Representatives,U.S. House of Representatives,ON125,Dana,null,null,null,14,NA
nh.uscongress.1790,1790-08,1790,General,New Hampshire 1790 U.S. House of Representatives,U.S. House of Representatives,ON125,Elisha Payne,PE0134,null,null,15,NA
nh.uscongress.1790,1790-08,1790,General,New Hampshire 1790 U.S. House of Representatives,U.S. House of Representatives,ON125,John Bell,BJ0559,null,null,16,NA
nh.uscongress.1790,1790-08,1790,General,New Hampshire 1790 U.S. House of Representatives,U.S. House of Representatives,ON125,Joshua Wentworth,WJ0318,null,null,17,NA
nh.uscongress.1790,1790-08,1790,General,New Hampshire 1790 U.S. House of Representatives,U.S. House of Representatives,ON125,Woodbury Langdon,LW0088,null,null,18,NA
nh.uscongress.1790,1790-08,1790,General,New Hampshire 1790 U.S. House of Representatives,U.S. House of Representatives,ON125,Jonathan Freeman,FJ0138,Federalist,A01,19,NA
nh.uscongress.1790,1790-08,1790,General,New Hampshire 1790 U.S. House of Representatives,U.S. House of Representatives,ON125,Aaron Hutchinton,HA0058,null,null,20,NA
nh.uscongress.1790,1790-08,1790,General,New Hampshire 1790 U.S. House of Representatives,U.S. House of Representatives,ON125,John Pickering,PJ0232,null,null,21,NA
nh.uscongress.1790,1790-08,1790,General,New Hampshire 1790 U.S. House of Representatives,U.S. House of Representatives,ON125,Thomas Cogswell,CT0136,null,null,22,NA
nh.uscongress.1790,1790-08,1790,General,New Hampshire 1790 U.S. House of Representatives,U.S. House of Representatives,ON125,Ladd,null,null,null,23,NA
nh.uscongress.1790,1790-08,1790,General,New Hampshire 1790 U.S. House of Representatives,U.S. House of Representatives,ON125,Oliver Peabody,PO0014,Federalist,A01,24,NA
nh.uscongress.1790,1790-08,1790,General,New Hampshire 1790 U.S. House of Representatives,U.S. House of Representatives,ON125,Charles Henzell,HC0149,null,null,25,NA
nh.uscongress.1790,1790-08,1790,General,New Hampshire 1790 U.S. House of Representatives,U.S. House of Representatives,ON125,Elihu Hyde,HE0175,null,null,26,NA
nh.uscongress.1790,1790-08,1790,General,New Hampshire 1790 U.S. House of Representatives,U.S. House of Representatives,ON125,Elisha Ticknor,TE0082,null,null,27,NA
nh.uscongress.1790,1790-08,1790,General,New Hampshire 1790 U.S. House of Representatives,U.S. House of Representatives,ON125,scattering,null,null,null,28,1329
