election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,candidate_num,district,vote
sc.uscongress.georgetown.1814,1814,1814,General,"South Carolina 1814 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,Benjamin Huger,HB0145,Federalist,A01,1,Three,1712
sc.uscongress.georgetown.1814,1814,1814,General,"South Carolina 1814 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,Benjamin Huger,HB0145,Federalist,A01,1,Darlington,355
sc.uscongress.georgetown.1814,1814,1814,General,"South Carolina 1814 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,Benjamin Huger,HB0145,Federalist,A01,1,Georgetown,169
sc.uscongress.georgetown.1814,1814,1814,General,"South Carolina 1814 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,Benjamin Huger,HB0145,Federalist,A01,1,Horry,511
sc.uscongress.georgetown.1814,1814,1814,General,"South Carolina 1814 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,Benjamin Huger,HB0145,Federalist,A01,1,Marion,412
sc.uscongress.georgetown.1814,1814,1814,General,"South Carolina 1814 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,Benjamin Huger,HB0145,Federalist,A01,1,Marlborough,229
sc.uscongress.georgetown.1814,1814,1814,General,"South Carolina 1814 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,Benjamin Huger,HB0145,Federalist,A01,1,Williamsburg,36
sc.uscongress.georgetown.1814,1814,1814,General,"South Carolina 1814 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,Theodore Gourdin,GT0086,Republican,A03,2,Three,1605
sc.uscongress.georgetown.1814,1814,1814,General,"South Carolina 1814 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,Theodore Gourdin,GT0086,Republican,A03,2,Darlington,357
sc.uscongress.georgetown.1814,1814,1814,General,"South Carolina 1814 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,Theodore Gourdin,GT0086,Republican,A03,2,Georgetown,310
sc.uscongress.georgetown.1814,1814,1814,General,"South Carolina 1814 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,Theodore Gourdin,GT0086,Republican,A03,2,Horry,48
sc.uscongress.georgetown.1814,1814,1814,General,"South Carolina 1814 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,Theodore Gourdin,GT0086,Republican,A03,2,Marion,340
sc.uscongress.georgetown.1814,1814,1814,General,"South Carolina 1814 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,Theodore Gourdin,GT0086,Republican,A03,2,Marlborough,209
sc.uscongress.georgetown.1814,1814,1814,General,"South Carolina 1814 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,Theodore Gourdin,GT0086,Republican,A03,2,Williamsburg,341
