election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,candidate_num,district,vote
sc.uscongress.orangeburg.1812,1812,1812,General,"South Carolina 1812 U.S. House of Representatives, District 4",U.S. House of Representatives,ON125,John J. Chappell,CJ1050,Republican,A03,1,Four,1579
sc.uscongress.orangeburg.1812,1812,1812,General,"South Carolina 1812 U.S. House of Representatives, District 4",U.S. House of Representatives,ON125,John J. Chappell,CJ1050,Republican,A03,1,Barnwell,189
sc.uscongress.orangeburg.1812,1812,1812,General,"South Carolina 1812 U.S. House of Representatives, District 4",U.S. House of Representatives,ON125,John J. Chappell,CJ1050,Republican,A03,1,Lexington,518
sc.uscongress.orangeburg.1812,1812,1812,General,"South Carolina 1812 U.S. House of Representatives, District 4",U.S. House of Representatives,ON125,John J. Chappell,CJ1050,Republican,A03,1,Orangeburgh,514
sc.uscongress.orangeburg.1812,1812,1812,General,"South Carolina 1812 U.S. House of Representatives, District 4",U.S. House of Representatives,ON125,John J. Chappell,CJ1050,Republican,A03,1,Richland,358
sc.uscongress.orangeburg.1812,1812,1812,General,"South Carolina 1812 U.S. House of Representatives, District 4",U.S. House of Representatives,ON125,Edmund Bacon,BE0206,Republican,A03,2,Four,739
sc.uscongress.orangeburg.1812,1812,1812,General,"South Carolina 1812 U.S. House of Representatives, District 4",U.S. House of Representatives,ON125,Edmund Bacon,BE0206,Republican,A03,2,Barnwell,638
sc.uscongress.orangeburg.1812,1812,1812,General,"South Carolina 1812 U.S. House of Representatives, District 4",U.S. House of Representatives,ON125,Edmund Bacon,BE0206,Republican,A03,2,Lexington,11
sc.uscongress.orangeburg.1812,1812,1812,General,"South Carolina 1812 U.S. House of Representatives, District 4",U.S. House of Representatives,ON125,Edmund Bacon,BE0206,Republican,A03,2,Orangeburgh,4
sc.uscongress.orangeburg.1812,1812,1812,General,"South Carolina 1812 U.S. House of Representatives, District 4",U.S. House of Representatives,ON125,Edmund Bacon,BE0206,Republican,A03,2,Richland,86
sc.uscongress.orangeburg.1812,1812,1812,General,"South Carolina 1812 U.S. House of Representatives, District 4",U.S. House of Representatives,ON125,John Bynum,BJ1373,Republican,A03,3,Four,185
sc.uscongress.orangeburg.1812,1812,1812,General,"South Carolina 1812 U.S. House of Representatives, District 4",U.S. House of Representatives,ON125,John Bynum,BJ1373,Republican,A03,3,Barnwell,13
sc.uscongress.orangeburg.1812,1812,1812,General,"South Carolina 1812 U.S. House of Representatives, District 4",U.S. House of Representatives,ON125,John Bynum,BJ1373,Republican,A03,3,Lexington,63
sc.uscongress.orangeburg.1812,1812,1812,General,"South Carolina 1812 U.S. House of Representatives, District 4",U.S. House of Representatives,ON125,John Bynum,BJ1373,Republican,A03,3,Orangeburgh,14
sc.uscongress.orangeburg.1812,1812,1812,General,"South Carolina 1812 U.S. House of Representatives, District 4",U.S. House of Representatives,ON125,John Bynum,BJ1373,Republican,A03,3,Richland,95
