candidate_num,county,election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,vote
1,Charles City,va.uscongress.10.1789,1789,1789,General,"Virginia 1789 U.S. House of Representatives, District 10",U.S. House of Representatives,ON125,Samuel Griffin,GS0114,null,null,NA
2,Charles City,va.uscongress.10.1789,1789,1789,General,"Virginia 1789 U.S. House of Representatives, District 10",U.S. House of Representatives,ON125,Benjamin Harrison,HB0152,null,null,NA
3,Charles City,va.uscongress.10.1789,1789,1789,General,"Virginia 1789 U.S. House of Representatives, District 10",U.S. House of Representatives,ON125,"Miles Selden, Jr.",SM0110,null,null,NA
1,Chesterfield,va.uscongress.10.1789,1789,1789,General,"Virginia 1789 U.S. House of Representatives, District 10",U.S. House of Representatives,ON125,Samuel Griffin,GS0114,null,null,NA
2,Chesterfield,va.uscongress.10.1789,1789,1789,General,"Virginia 1789 U.S. House of Representatives, District 10",U.S. House of Representatives,ON125,Benjamin Harrison,HB0152,null,null,NA
3,Chesterfield,va.uscongress.10.1789,1789,1789,General,"Virginia 1789 U.S. House of Representatives, District 10",U.S. House of Representatives,ON125,"Miles Selden, Jr.",SM0110,null,null,NA
1,Elizabeth City,va.uscongress.10.1789,1789,1789,General,"Virginia 1789 U.S. House of Representatives, District 10",U.S. House of Representatives,ON125,Samuel Griffin,GS0114,null,null,NA
2,Elizabeth City,va.uscongress.10.1789,1789,1789,General,"Virginia 1789 U.S. House of Representatives, District 10",U.S. House of Representatives,ON125,Benjamin Harrison,HB0152,null,null,NA
3,Elizabeth City,va.uscongress.10.1789,1789,1789,General,"Virginia 1789 U.S. House of Representatives, District 10",U.S. House of Representatives,ON125,"Miles Selden, Jr.",SM0110,null,null,NA
1,Hanover,va.uscongress.10.1789,1789,1789,General,"Virginia 1789 U.S. House of Representatives, District 10",U.S. House of Representatives,ON125,Samuel Griffin,GS0114,null,null,NA
2,Hanover,va.uscongress.10.1789,1789,1789,General,"Virginia 1789 U.S. House of Representatives, District 10",U.S. House of Representatives,ON125,Benjamin Harrison,HB0152,null,null,NA
3,Hanover,va.uscongress.10.1789,1789,1789,General,"Virginia 1789 U.S. House of Representatives, District 10",U.S. House of Representatives,ON125,"Miles Selden, Jr.",SM0110,null,null,NA
1,Henrico,va.uscongress.10.1789,1789,1789,General,"Virginia 1789 U.S. House of Representatives, District 10",U.S. House of Representatives,ON125,Samuel Griffin,GS0114,null,null,NA
2,Henrico,va.uscongress.10.1789,1789,1789,General,"Virginia 1789 U.S. House of Representatives, District 10",U.S. House of Representatives,ON125,Benjamin Harrison,HB0152,null,null,NA
3,Henrico,va.uscongress.10.1789,1789,1789,General,"Virginia 1789 U.S. House of Representatives, District 10",U.S. House of Representatives,ON125,"Miles Selden, Jr.",SM0110,null,null,NA
1,James City,va.uscongress.10.1789,1789,1789,General,"Virginia 1789 U.S. House of Representatives, District 10",U.S. House of Representatives,ON125,Samuel Griffin,GS0114,null,null,NA
2,James City,va.uscongress.10.1789,1789,1789,General,"Virginia 1789 U.S. House of Representatives, District 10",U.S. House of Representatives,ON125,Benjamin Harrison,HB0152,null,null,NA
3,James City,va.uscongress.10.1789,1789,1789,General,"Virginia 1789 U.S. House of Representatives, District 10",U.S. House of Representatives,ON125,"Miles Selden, Jr.",SM0110,null,null,NA
1,New Kent,va.uscongress.10.1789,1789,1789,General,"Virginia 1789 U.S. House of Representatives, District 10",U.S. House of Representatives,ON125,Samuel Griffin,GS0114,null,null,NA
2,New Kent,va.uscongress.10.1789,1789,1789,General,"Virginia 1789 U.S. House of Representatives, District 10",U.S. House of Representatives,ON125,Benjamin Harrison,HB0152,null,null,NA
3,New Kent,va.uscongress.10.1789,1789,1789,General,"Virginia 1789 U.S. House of Representatives, District 10",U.S. House of Representatives,ON125,"Miles Selden, Jr.",SM0110,null,null,NA
1,Warwick,va.uscongress.10.1789,1789,1789,General,"Virginia 1789 U.S. House of Representatives, District 10",U.S. House of Representatives,ON125,Samuel Griffin,GS0114,null,null,NA
2,Warwick,va.uscongress.10.1789,1789,1789,General,"Virginia 1789 U.S. House of Representatives, District 10",U.S. House of Representatives,ON125,Benjamin Harrison,HB0152,null,null,NA
3,Warwick,va.uscongress.10.1789,1789,1789,General,"Virginia 1789 U.S. House of Representatives, District 10",U.S. House of Representatives,ON125,"Miles Selden, Jr.",SM0110,null,null,NA
1,York,va.uscongress.10.1789,1789,1789,General,"Virginia 1789 U.S. House of Representatives, District 10",U.S. House of Representatives,ON125,Samuel Griffin,GS0114,null,null,NA
2,York,va.uscongress.10.1789,1789,1789,General,"Virginia 1789 U.S. House of Representatives, District 10",U.S. House of Representatives,ON125,Benjamin Harrison,HB0152,null,null,NA
3,York,va.uscongress.10.1789,1789,1789,General,"Virginia 1789 U.S. House of Representatives, District 10",U.S. House of Representatives,ON125,"Miles Selden, Jr.",SM0110,null,null,NA
