election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,candidate_num,district,vote
vt.uscongress.southeast.1806,1806-09,1806,General,"Vermont 1806 U.S. House of Representatives, Southeast District",U.S. House of Representatives,ON125,James Elliot,EJ0292,Federalist,null,1,Southeast,2239
vt.uscongress.southeast.1806,1806-09,1806,General,"Vermont 1806 U.S. House of Representatives, Southeast District",U.S. House of Representatives,ON125,William Hunter,HW0335,null,null,2,NA,NA
vt.uscongress.southeast.1806,1806-09,1806,General,"Vermont 1806 U.S. House of Representatives, Southeast District",U.S. House of Representatives,ON125,Elijah Knight,KE0039,null,null,3,NA,NA
vt.uscongress.southeast.1806,1806-09,1806,General,"Vermont 1806 U.S. House of Representatives, Southeast District",U.S. House of Representatives,ON125,Aaron Leland,LA0135,null,null,4,NA,NA
vt.uscongress.southeast.1806,1806-09,1806,General,"Vermont 1806 U.S. House of Representatives, Southeast District",U.S. House of Representatives,ON125,Mark Richards,RM0056,null,null,5,NA,NA
vt.uscongress.southeast.1806,1806-09,1806,General,"Vermont 1806 U.S. House of Representatives, Southeast District",U.S. House of Representatives,ON125,Lewis R. Morris,ML0045,Federalist,null,6,NA,NA
vt.uscongress.southeast.1806,1806-09,1806,General,"Vermont 1806 U.S. House of Representatives, Southeast District",U.S. House of Representatives,ON125,William Strong,SW0343,null,null,7,NA,NA
vt.uscongress.southeast.1806,1806-09,1806,General,"Vermont 1806 U.S. House of Representatives, Southeast District",U.S. House of Representatives,ON125,Elias Keyes,KE0050,null,null,8,NA,NA
vt.uscongress.southeast.1806,1806-09,1806,General,"Vermont 1806 U.S. House of Representatives, Southeast District",U.S. House of Representatives,ON125,Samuel Porter,PS0176,null,null,9,NA,NA
vt.uscongress.southeast.1806,1806-09,1806,General,"Vermont 1806 U.S. House of Representatives, Southeast District",U.S. House of Representatives,ON125,Titus Hutchinson,HT0218,null,null,10,NA,NA
vt.uscongress.southeast.1806,1806-09,1806,General,"Vermont 1806 U.S. House of Representatives, Southeast District",U.S. House of Representatives,ON125,Pascal P. Enos,EP0028,null,null,11,NA,NA
vt.uscongress.southeast.1806,1806-09,1806,General,"Vermont 1806 U.S. House of Representatives, Southeast District",U.S. House of Representatives,ON125,Israel Smith,SI0092,null,null,12,NA,NA
vt.uscongress.southeast.1806,1806-09,1806,General,"Vermont 1806 U.S. House of Representatives, Southeast District",U.S. House of Representatives,ON125,James Roberts,RJ0495,null,null,13,NA,NA
vt.uscongress.southeast.1806,1806-09,1806,General,"Vermont 1806 U.S. House of Representatives, Southeast District",U.S. House of Representatives,ON125,Charles Marsh,MC0079,Federalist,null,14,NA,NA
vt.uscongress.southeast.1806,1806-09,1806,General,"Vermont 1806 U.S. House of Representatives, Southeast District",U.S. House of Representatives,ON125,Stephen Jacob,JS0060,null,null,15,NA,NA
